date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2014-10-09,sz.300398,21.7800,26.1400,21.7800,26.1400,18.1500,33300,868936.0000,3,0.166500,1,44.022040,7.524600,31.957490,6.469684,44.396389,0,
2014-10-10,sz.300398,28.7500,28.7500,28.7500,28.7500,26.1400,10900,313375.0000,3,0.054500,1,9.984700,8.275909,35.148349,7.115663,48.829234,0,9.984697781178276
2014-10-13,sz.300398,31.6300,31.6300,31.6300,31.6300,28.7500,14900,471287.0000,3,0.074500,1,10.017400,9.104939,38.669296,7.828467,53.720649,0,10.017391304347822
2014-10-14,sz.300398,34.7900,34.7900,34.7900,34.7900,31.6300,19000,661010.0000,3,0.095000,1,9.990500,10.014569,42.532558,8.610571,59.087619,0,9.990515333544113
2014-10-15,sz.300398,38.2700,38.2700,38.2700,38.2700,34.7900,48160,1843083.0000,3,0.240800,1,10.002900,11.016314,46.787036,9.471875,64.998079,0,10.002874389192318
2014-10-16,sz.300398,42.1000,42.1000,42.1000,42.1000,38.2700,134015,5642031.0000,3,0.670075,1,10.007800,12.118809,51.469408,10.419806,71.502983,0,10.007839038411293
2014-10-17,sz.300398,46.3100,46.3100,46.3100,46.3100,42.1000,2823841,130772076.0000,3,14.119205,1,10.000000,13.330690,56.616349,11.461786,78.653281,0,10.000000000000009
2014-10-20,sz.300398,46.4800,46.4900,44.8800,44.9500,46.3100,10604687,483739408.0000,3,53.023435,1,-2.936700,12.939203,54.953679,11.125184,76.343446,0,-2.936730727704595
2014-10-21,sz.300398,45.5000,49.2900,45.5000,47.5600,44.9500,7599073,360933600.0000,3,37.995365,1,5.806500,13.690512,58.144538,11.771163,80.776291,0,5.8064516129032295
2014-10-22,sz.300398,47.1000,49.3800,47.1000,48.3500,47.5600,5274941,253747252.0000,3,26.374705,1,1.661100,13.917920,59.110353,11.966689,82.118033,0,1.6610597140454209
2014-10-23,sz.300398,47.9000,49.8800,47.6300,48.4500,48.3500,4290912,209313477.0000,3,21.454560,1,0.206800,13.946705,59.232608,11.991439,82.287874,0,0.20682523267838704
2014-10-24,sz.300398,48.4000,50.0000,48.2000,48.8600,48.4500,3943734,193893097.0000,3,19.718670,1,0.846200,14.064727,59.733854,12.092914,82.984222,0,0.8462332301341524
2014-10-27,sz.300398,48.7700,49.8200,46.0700,47.0100,48.8600,3893050,185258257.0000,3,19.465250,1,-3.786300,13.532190,57.472134,11.635037,79.842167,0,-3.7863282848956237
2014-10-28,sz.300398,48.5000,51.7100,48.2100,50.2500,47.0100,4887327,246637055.0000,3,24.436635,1,6.892200,6.467453,51.281448,11.211078,11.258394,0,6.892150606253988
2014-10-29,sz.300398,50.2500,52.8500,50.0100,52.5000,50.2500,5458563,280260768.0000,3,27.292815,1,4.477600,6.757040,53.577632,11.713066,11.762501,0,4.477611940298498
2014-10-30,sz.300398,52.0000,52.9900,51.5100,52.0000,52.5000,3493692,181930912.0000,3,17.468460,1,-0.952400,6.692688,53.067369,11.601513,11.650477,0,-0.952380952380949
2014-10-31,sz.300398,52.6800,55.2600,51.7000,54.5100,52.0000,4455396,238199965.0000,3,22.276980,1,4.826900,7.015738,55.628890,12.161510,12.212837,0,4.826923076923073
2014-11-03,sz.300398,53.8800,58.2000,53.6100,57.2100,54.5100,5203151,291380560.0000,3,26.015755,1,4.953200,7.363243,58.384311,12.763896,12.817765,0,4.953219592735292
2014-11-04,sz.300398,57.0000,58.1900,54.9200,55.2500,57.2100,4435027,249647696.0000,3,22.175135,1,-3.426000,7.110981,56.384080,12.326608,12.378632,0,-3.425974479986016
2014-11-05,sz.300398,54.8200,56.9800,54.5100,55.2200,55.2500,2797729,156090597.0000,3,13.988645,1,-0.054300,7.107119,56.353464,12.319915,12.371910,0,-0.05429864253393424
2014-11-06,sz.300398,55.1000,58.5000,55.0000,58.0800,55.2200,3884761,221016200.0000,3,19.423805,1,5.179300,7.475217,59.272169,12.957998,13.012687,0,5.179282868525892
