date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-04-24,sz.300438,17.8400,21.4100,17.8400,21.4100,14.8700,10600,225694.0000,3,0.050476,1,43.981170,3.771623,28.069028,2.489229,288.174391,0,
2015-04-27,sz.300438,23.5500,23.5500,23.5500,23.5500,21.4100,3000,70650.0000,3,0.014286,1,9.995300,4.148609,30.874620,2.738036,316.978370,0,9.995329285380672
2015-04-28,sz.300438,25.9100,25.9100,25.9100,25.9100,23.5500,6300,163233.0000,3,0.030000,1,10.021200,4.564350,33.968637,3.012421,348.743506,0,10.021231422505306
2015-04-29,sz.300438,28.5000,28.5000,28.5000,28.5000,25.9100,4200,119700.0000,3,0.020000,1,9.996100,5.020609,37.364190,3.313547,383.604397,0,9.996140486298732
2015-04-30,sz.300438,31.3500,31.3500,31.3500,31.3500,28.5000,10000,313500.0000,3,0.047619,1,10.000000,5.522670,41.100609,3.644902,421.964837,0,10.000000000000009
2015-05-04,sz.300438,34.4900,34.4900,34.4900,34.4900,31.3500,8142,280817.0000,3,0.038771,1,10.016000,6.075818,45.217225,4.009973,464.228619,0,10.015948963317388
2015-05-05,sz.300438,37.9400,37.9400,37.9400,37.9400,34.4900,55300,2098082.0000,3,0.263333,1,10.002900,6.683576,49.740259,4.411087,510.664941,0,10.00289939112784
2015-05-06,sz.300438,41.7300,41.7300,41.7300,41.7300,37.9400,136494,5695894.0000,3,0.649971,1,9.989500,7.351229,54.709040,4.851730,561.677596,0,9.989457037427506
2015-05-07,sz.300438,45.9000,45.9000,45.9000,45.9000,41.7300,366944,16842729.0000,3,1.747352,1,9.992800,8.085823,60.176011,5.336554,617.804976,0,9.992810927390373
2015-05-08,sz.300438,50.4900,50.4900,49.1800,50.4900,45.9000,2348499,118353958.0000,3,11.183329,1,10.000000,8.894406,66.193613,5.870210,679.585474,0,10.000000000000009
2015-05-11,sz.300438,55.5400,55.5400,55.5400,55.5400,50.4900,129400,7186876.0000,3,0.616190,1,10.002000,9.784022,72.814285,6.457347,747.557481,0,10.001980590215886
2015-05-12,sz.300438,61.0900,61.0900,61.0900,61.0900,55.5400,647724,39569459.0000,3,3.084400,1,9.992800,10.761720,80.090469,7.102617,822.259390,0,9.992797983435375
2015-05-13,sz.300438,67.2000,67.2000,67.2000,67.2000,61.0900,213902,14374214.0000,3,1.018581,1,10.001600,11.838068,88.100827,7.812995,904.498788,0,10.001636929120972
2015-05-14,sz.300438,73.9200,73.9200,73.9200,73.9200,67.2000,53630,3964329.0000,3,0.255381,1,10.000000,13.021875,96.910910,8.594294,994.948667,0,10.000000000000009
2015-05-15,sz.300438,81.3100,81.3100,81.3100,81.3100,73.9200,196270,15958713.0000,3,0.934619,1,9.997300,14.323710,106.599379,9.453491,1094.416614,0,9.997294372294373
2015-05-18,sz.300438,89.4400,89.4400,89.4400,89.4400,81.3100,36715,3283789.0000,3,0.174833,1,9.998800,15.755905,117.258006,10.398724,1203.844816,0,9.998770138974301
2015-05-19,sz.300438,98.3800,98.3800,96.0000,98.3800,89.4400,1606681,157994999.0000,3,7.650862,1,9.995500,17.330791,128.978562,11.438131,1324.175458,0,9.995527728085873
