date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-06-12,sz.300473,37.9600,41.4100,37.9600,41.4100,28.7600,3400,140449.0000,3,0.013600,1,43.984700,5.696011,31.432119,6.270135,59.398769,0,
2015-06-15,sz.300473,45.5500,45.5500,45.5500,45.5500,41.4100,2700,122985.0000,3,0.010800,1,9.997600,6.265475,34.574572,6.896997,65.337212,0,9.997585124366104
2015-06-16,sz.300473,50.1100,50.1100,50.1100,50.1100,45.5500,2600,130286.0000,3,0.010400,1,10.011000,6.892710,38.035824,7.587453,71.878105,0,10.010976948408356
2015-06-17,sz.300473,55.1200,55.1200,55.1200,55.1200,50.1100,11200,617344.0000,3,0.044800,1,9.998000,7.581844,41.838648,8.346047,79.064481,0,9.998004390341242
2015-06-18,sz.300473,60.6300,60.6300,60.6300,60.6300,55.1200,17100,1036773.0000,3,0.068400,1,9.996400,8.339753,46.020995,9.180349,86.968060,0,9.996371552975347
2015-06-19,sz.300473,66.6900,66.6900,66.6900,66.6900,60.6300,67300,4488237.0000,3,0.269200,1,9.995100,9.173316,50.620817,10.097930,95.660563,0,9.995051954477962
2015-06-23,sz.300473,73.3600,73.3600,73.3600,73.3600,66.6900,460127,33754916.0000,3,1.840508,1,10.001500,10.090785,55.683658,11.107874,105.228054,0,10.001499475183696
2015-06-24,sz.300473,80.7000,80.7000,80.7000,80.7000,73.3600,46200,3728340.0000,3,0.184800,1,10.005400,11.100413,61.255060,12.219267,115.756597,0,10.005452562704487
2015-06-25,sz.300473,88.7700,88.7700,88.7700,88.7700,80.7000,177300,15738921.0000,3,0.709200,1,10.000000,12.210455,67.380565,13.441194,127.332256,0,9.999999999999986
2015-06-26,sz.300473,85.9900,85.9900,79.8900,79.8900,88.7700,3243800,263838431.0000,3,12.975200,1,-10.003400,10.988996,60.640232,12.096621,114.594727,0,-10.003379520108135
2015-06-29,sz.300473,71.9000,73.0000,71.9000,71.9000,79.8900,1569800,112918186.0000,3,6.279200,1,-10.001200,9.889959,54.575450,10.886807,103.133820,0,-10.001251721116533
2015-06-30,sz.300473,64.7100,72.0000,64.7100,66.3800,71.9000,8945249,592569936.0000,3,35.780996,1,-7.677300,9.130675,50.385512,10.050991,95.215897,0,-7.677329624478457
2015-07-01,sz.300473,64.0000,69.9900,60.0200,61.1000,66.3800,7331365,482460816.0000,3,29.325460,1,-7.954200,8.404402,46.377746,9.251515,87.642231,0,-7.954203073214816
2015-07-02,sz.300473,58.8000,60.9900,54.9900,54.9900,61.1000,5389530,306623984.0000,3,21.558120,1,-10.000000,7.563962,41.739972,8.326363,78.878008,0,-9.999999999999998
2015-07-03,sz.300473,52.8000,58.5000,50.1800,53.3300,54.9900,4717615,254552534.0000,3,18.870460,1,-3.018700,7.335626,40.479954,8.075013,76.496893,0,-3.018730678305148
2015-07-06,sz.300473,58.6600,58.6600,53.0100,56.5000,53.3300,6348607,361694560.0000,3,25.394428,1,5.944100,7.771665,42.886132,8.555001,81.043962,0,5.944121507594224
2015-07-07,sz.300473,53.7700,54.9000,50.8500,50.8500,56.5000,2237790,115537997.0000,3,8.951160,1,-10.000000,6.994498,38.597519,7.699501,72.939566,0,-9.999999999999998
2015-07-08,sz.300473,45.7700,47.7700,45.7700,45.7700,50.8500,3882701,178568524.0000,3,15.530804,1,-9.990200,6.295736,34.741562,6.930308,65.652781,0,-9.990167158308749
2015-07-09,sz.300473,44.7300,50.3500,44.7300,50.3500,45.7700,4577947,226651933.0000,3,18.311788,1,10.006500,6.925723,38.217996,7.623793,72.222362,0,10.006554511688881
2015-07-10,sz.300473,55.3000,55.3900,52.8100,55.3900,50.3500,1411175,77695727.0000,3,5.644700,1,10.009900,7.618983,42.043590,8.386930,79.451771,0,10.009930486593843
2015-07-13,sz.300473,60.9300,60.9300,58.7000,60.9300,55.3900,3885683,236088005.0000,3,15.542732,1,10.001800,8.381018,46.248709,9.225774,87.398382,0,10.001805380032502
2015-07-14,sz.300473,65.0000,67.0200,62.5800,67.0200,60.9300,8685879,571884096.0000,3,34.743516,1,9.995100,9.218708,50.871302,10.147897,96.133917,0,9.995076317085182
2015-07-15,sz.300473,64.0000,64.0200,60.3200,60.3200,67.0200,3538001,217011443.0000,3,14.152004,1,-9.997000,8.297112,45.785690,9.133410,86.523394,0,-9.99701581617427
2015-07-16,sz.300473,54.2900,62.6600,54.2900,57.2000,60.3200,5330083,307334144.0000,3,21.320332,1,-5.172400,7.867951,43.417465,8.660993,82.048046,0,-5.1724137931034475
