date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-06-10,sz.300475,11.5100,12.6700,11.5100,12.6700,8.8000,14700,186128.0000,3,0.029400,1,43.977270,4.363804,15.751077,5.203968,18.168147,0,
2015-06-11,sz.300475,13.9400,13.9400,13.9400,13.9400,12.6700,2200,30668.0000,3,0.004400,1,10.023700,4.801218,17.329914,5.725597,19.989263,0,10.023677979479073
2015-06-12,sz.300475,15.3300,15.3300,15.3300,15.3300,13.9400,2100,32193.0000,3,0.004200,1,9.971300,5.279962,19.057932,6.296513,21.982454,0,9.971305595408907
2015-06-15,sz.300475,16.8600,16.8600,16.8600,16.8600,15.3300,3671,61893.0000,3,0.007342,1,9.980400,5.806925,20.959996,6.924933,24.176397,0,9.980430528375738
2015-06-16,sz.300475,18.5500,18.5500,18.5500,18.5500,16.8600,5200,96460.0000,3,0.010400,1,10.023700,6.388995,23.060968,7.619069,26.599773,0,10.023724792408073
2015-06-17,sz.300475,20.4100,20.4100,20.4100,20.4100,18.5500,19700,402077.0000,3,0.039400,1,10.027000,7.029616,25.373281,8.383029,29.266920,0,10.026954177897561
2015-06-18,sz.300475,22.4500,22.4500,22.4500,22.4500,20.4100,12900,289605.0000,3,0.025800,1,9.995100,7.732233,27.909366,9.220922,32.192178,0,9.995100440960304
2015-06-19,sz.300475,24.7000,24.7000,24.7000,24.7000,22.4500,94019,2322269.0000,3,0.188038,1,10.022300,8.507179,30.706519,10.145067,35.418565,0,10.022271714922049
2015-06-23,sz.300475,27.1700,27.1700,27.1700,27.1700,24.7000,30700,834119.0000,3,0.061400,1,10.000000,9.357897,33.777171,11.159574,38.960422,0,10.000000000000009
2015-06-24,sz.300475,29.8900,29.8900,29.8900,29.8900,27.1700,18029,538886.0000,3,0.036058,1,10.011000,10.294720,37.158617,12.276764,42.860766,0,10.011041589988956
2015-06-25,sz.300475,32.8800,32.8800,32.8800,32.8800,29.8900,20200,664176.0000,3,0.040400,1,10.003400,11.324536,40.875722,13.504851,47.148276,0,10.003345600535308
2015-06-26,sz.300475,36.1700,36.1700,30.2200,36.1700,32.8800,24561277,869213568.0000,3,49.122554,1,10.006100,12.457679,44.965781,14.856157,51.865972,0,10.006082725060828
2015-06-29,sz.300475,32.6000,34.8000,32.5500,32.5500,36.1700,4994500,165065326.0000,3,9.989000,1,-10.008300,11.210877,40.465473,13.369309,46.675073,0,-10.008294166436283
2015-06-30,sz.300475,29.3000,34.9900,29.3000,30.8300,32.5500,17497450,532841040.0000,3,34.994900,1,-5.284200,10.618475,38.327205,12.662851,44.208679,0,-5.284178187403987
2015-07-01,sz.300475,30.2500,33.4000,28.0100,28.9200,30.8300,16049342,494869104.0000,3,32.098684,1,-6.195300,9.960632,35.952734,11.878354,41.469834,0,-6.195264352903007
