date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-03-09,sz.300503,9.2600,11.1200,9.2600,11.1200,7.7200,13804,153028.0000,3,0.055216,1,44.041500,2.447155,25.595187,5.025835,-43.989809,0,
2016-03-10,sz.300503,12.2300,12.2300,12.2300,12.2300,11.1200,2600,31798.0000,3,0.010400,1,9.982000,2.691431,28.150102,5.527515,-48.380878,0,9.982014388489224
2016-03-11,sz.300503,13.4500,13.4500,13.4500,13.4500,12.2300,6070,81641.0000,3,0.024280,1,9.975500,2.959914,30.958207,6.078911,-53.207098,0,9.97547015535567
2016-03-14,sz.300503,14.8000,14.8000,14.8000,14.8000,13.4500,6000,88800.0000,3,0.024000,1,10.037200,3.257005,34.065536,6.689062,-58.547587,0,10.037174721189611
2016-03-15,sz.300503,16.2800,16.2800,16.2800,16.2800,14.8000,3600,58608.0000,3,0.014400,1,10.000000,3.582706,37.472090,7.357968,-64.402346,0,10.000000000000009
2016-03-16,sz.300503,17.9100,17.9100,17.9100,17.9100,16.2800,8500,152235.0000,3,0.034000,1,10.012300,3.941417,41.223902,8.094668,-70.850492,0,10.012285012285016
2016-03-17,sz.300503,19.7000,19.7000,19.7000,19.7000,17.9100,59971,1181428.0000,3,0.239884,1,9.994400,4.335338,45.343991,8.903683,-77.931585,0,9.994416527079842
2016-03-18,sz.300503,21.6700,21.6700,21.6700,21.6700,19.7000,53941,1168901.0000,3,0.215764,1,10.000000,4.768872,49.878390,9.794052,-85.724744,0,10.000000000000009
2016-03-21,sz.300503,23.8400,23.8400,23.8400,23.8400,21.6700,61380,1463299.0000,3,0.245520,1,10.013800,5.246420,54.873134,10.774813,-94.309086,0,10.013844023996299
2016-03-22,sz.300503,26.2200,26.2200,26.2200,26.2200,23.8400,151410,3969970.0000,3,0.605640,1,9.983200,5.770181,60.351240,11.850486,-103.724171,0,9.983221476510074
2016-03-23,sz.300503,28.8400,28.8400,28.8400,28.8400,26.2200,277130,7992429.0000,3,1.108520,1,9.992400,6.346759,66.381761,13.034631,-114.088676,0,9.992372234935164
2016-03-24,sz.300503,31.7200,31.7200,31.7200,31.7200,28.8400,266226,8444688.0000,3,1.064904,1,9.986100,6.980555,73.010730,14.336286,-125.481720,0,9.986130374479885
2016-03-25,sz.300503,34.8900,34.8900,34.8900,34.8900,31.7200,129615,4522267.0000,3,0.518460,1,9.993700,7.678170,80.307200,15.769011,-138.021981,0,9.993694829760402
2016-03-28,sz.300503,38.3800,38.3800,38.3800,38.3800,34.8900,145047,5566903.0000,3,0.580188,1,10.002900,8.446207,88.340221,17.346364,-151.828135,0,10.002866150759537
2016-03-29,sz.300503,42.2200,42.2200,37.4400,38.7000,38.3800,17023487,676630304.0000,3,68.093948,1,0.833800,8.516629,89.076774,17.490992,-153.094028,0,0.8337675872850392
2016-03-30,sz.300503,39.0000,39.3000,36.5200,38.5000,38.7000,12652864,475692336.0000,3,50.611456,1,-0.516800,8.472616,88.616428,17.400599,-152.302845,0,-0.5167958656330796
2016-03-31,sz.300503,37.5500,39.7400,36.9000,37.8000,38.5000,10952356,417723968.0000,3,43.809424,1,-1.818200,8.318568,87.005221,17.084225,-149.533702,0,-1.81818181818183
2016-04-01,sz.300503,37.2400,37.6600,36.4000,36.6800,37.8000,6183280,228424045.0000,3,24.733120,1,-2.963000,8.072092,84.427288,16.578026,-145.103074,0,-2.962962962962956
