date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-06-24,sz.300518,26.6600,32.0000,26.6600,32.0000,22.2200,12598,399932.0000,3,0.053976,1,44.014400,5.931255,31.236781,14.031405,62.248242,0,
2016-06-27,sz.300518,35.2000,35.2000,35.2000,35.2000,32.0000,1500,52800.0000,3,0.006427,1,10.000000,6.524381,34.360459,15.434546,68.473066,0,10.000000000000009
2016-06-28,sz.300518,38.7200,38.7200,38.7200,38.7200,35.2000,1200,46464.0000,3,0.005141,1,10.000000,7.176819,37.796505,16.978000,75.320373,0,9.999999999999986
2016-06-29,sz.300518,42.5900,42.5900,42.5900,42.5900,38.7200,1700,72403.0000,3,0.007284,1,9.994800,7.894130,41.574204,18.674924,82.848520,0,9.994834710743806
2016-06-30,sz.300518,46.8500,46.8500,46.8500,46.8500,42.5900,5700,267045.0000,3,0.024422,1,10.002300,8.683729,45.732600,20.542854,91.135317,0,10.00234796900681
2016-07-01,sz.300518,51.5400,51.5400,51.5400,51.5400,46.8500,9146,471384.0000,3,0.039186,1,10.010700,9.553028,50.310741,22.599332,100.258575,0,10.010672358591233
2016-07-04,sz.300518,56.6900,56.6900,56.6900,56.6900,51.5400,6868,389346.0000,3,0.029426,1,9.992200,10.507590,55.337910,24.857511,110.276651,0,9.99223903764066
2016-07-05,sz.300518,62.3600,62.3600,62.3600,62.3600,56.6900,8300,517588.0000,3,0.035561,1,10.001800,11.558534,60.872677,27.343701,121.306262,0,10.001763979537849
2016-07-06,sz.300518,68.6000,68.6000,68.6000,68.6000,62.3600,8400,576240.0000,3,0.035990,1,10.006400,12.715129,66.963850,30.079825,133.444669,0,10.006414368184725
2016-07-07,sz.300518,75.4600,75.4600,75.4600,75.4600,68.6000,15058,1136276.0000,3,0.064516,1,10.000000,13.986642,73.660235,33.087808,146.789136,0,10.000000000000009
2016-07-08,sz.300518,83.0100,83.0100,83.0100,83.0100,75.4600,24624,2044038.0000,3,0.105501,1,10.005300,15.386047,81.030163,36.398342,161.475831,0,10.005300821627362
2016-07-11,sz.300518,91.3100,91.3100,91.3100,91.3100,83.0100,28105,2566267.0000,3,0.120416,1,9.998800,16.924467,89.132203,40.037738,177.621468,0,9.99879532586434
2016-07-12,sz.300518,100.4400,100.4400,100.4400,100.4400,91.3100,72242,7255986.0000,3,0.309520,1,9.998900,18.616728,98.044447,44.041073,195.381670,0,9.998904829701004
2016-07-13,sz.300518,110.4800,110.4800,110.4800,110.4800,100.4400,30856,3408970.0000,3,0.132202,1,9.996000,20.477660,107.844987,48.443427,214.912056,0,9.996017522899248
2016-07-14,sz.300518,121.5300,121.5300,121.5300,121.5300,110.4800,90640,11015479.0000,3,0.388346,1,10.001800,22.525796,118.631438,53.288646,236.407152,0,10.001810282404055
2016-07-15,sz.300518,133.6800,133.6800,133.6800,133.6800,121.5300,110525,14774982.0000,3,0.473543,1,9.997500,24.777820,130.491654,58.616196,260.042032,0,9.997531473710207
2016-07-18,sz.300518,147.0500,147.0500,147.0500,147.0500,133.6800,95039,13975484.0000,3,0.407194,1,10.001500,27.255973,143.542771,64.478692,286.050125,0,10.001496110113717
2016-07-19,sz.300518,161.7600,161.7600,161.7600,161.7600,147.0500,111924,18104826.0000,3,0.479537,1,10.003400,29.982497,157.901929,70.928754,314.664864,0,10.003400204012225
2016-07-20,sz.300518,177.9400,177.9400,177.9400,177.9400,161.7600,411152,73160386.0000,3,1.761577,1,10.002500,32.981488,173.696027,78.023383,346.139132,0,10.002472799208718
2016-07-21,sz.300518,190.4200,190.7000,173.7000,173.8000,177.9400,14678222,2693341120.0000,3,62.888698,1,-2.326600,32.214131,169.654768,76.208070,338.085765,0,-2.326626952905464
2016-07-22,sz.300518,167.5000,172.0000,157.7700,162.9900,173.8000,8337502,1378865936.0000,3,35.721945,1,-6.219800,30.210479,159.102593,71.468086,317.057531,0,-6.219792865362484
2016-07-25,sz.300518,159.1000,165.9900,153.3100,158.6500,162.9900,5521176,880926736.0000,3,23.655424,1,-2.662700,29.406053,154.866105,69.565077,308.615113,0,-2.662740045401557
2016-07-26,sz.300518,158.0900,166.8000,158.0900,162.6300,158.6500,5337168,873908144.0000,3,22.867044,1,2.508700,30.143753,158.751179,71.310233,316.357238,0,2.5086668767727582
2016-07-27,sz.300518,161.1000,161.9400,147.3000,151.1500,162.6300,5943057,914899520.0000,3,25.462969,1,-7.059000,28.015915,147.544984,66.276466,294.025681,0,-7.058968210047345
2016-07-28,sz.300518,149.9800,151.6800,143.2800,148.7000,151.1500,4003065,591464032.0000,3,17.151093,1,-1.620900,27.561803,145.153418,65.202187,289.259800,0,-1.620906384386378
2016-07-29,sz.300518,150.0000,154.4000,148.0000,150.0000,148.7000,4232548,641760624.0000,3,18.134310,1,0.874200,27.802760,146.422412,65.772212,291.788635,0,0.8742434431741941
2016-08-01,sz.300518,146.0100,146.5000,135.0000,135.0000,150.0000,4759208,653839824.0000,3,20.390780,1,-10.000000,25.022484,131.780171,59.194991,262.609772,0,-9.999999999999998
2016-08-02,sz.300518,136.9000,137.6600,134.2200,136.3500,135.0000,2542739,345588416.0000,3,10.894340,1,1.000000,25.272709,133.097973,59.786941,265.235869,0,1.0000000000000009
2016-08-03,sz.300518,135.5600,143.1600,134.7000,142.2600,136.3500,3940768,549796896.0000,3,16.884182,1,4.334400,26.368138,138.867016,62.378366,276.732342,0,4.334433443344321
2016-08-04,sz.300518,141.6900,147.3800,141.1400,142.4300,142.2600,3503153,505340304.0000,3,15.009225,1,0.119500,26.399647,139.032961,62.452908,277.063035,0,0.1194995079432104
2016-08-05,sz.300518,141.9000,142.4800,135.6200,137.2000,142.4300,3143419,437533248.0000,3,13.467948,1,-3.672000,25.430258,133.927700,60.159650,266.889338,0,-3.671979217861421
2016-08-08,sz.300518,135.0000,139.2000,130.5000,139.1800,137.2000,3141712,422794432.0000,3,13.460634,1,1.443100,25.797254,135.860475,61.027843,270.740948,0,1.4431486880466693
2016-08-09,sz.300518,138.0100,142.6800,138.0000,142.1400,139.1800,3403755,480044320.0000,3,14.583355,1,2.126700,26.345895,138.749878,62.325748,276.498911,0,2.1267423480384906
2016-08-10,sz.300518,141.2200,146.9500,141.1600,144.0000,142.1400,3658211,527582864.0000,3,15.673569,1,1.308600,26.690650,140.565516,63.141324,280.117090,0,1.3085690164626573
2016-08-11,sz.300518,142.0100,143.9600,138.0000,138.0000,144.0000,3227470,454369872.0000,3,13.828063,1,-4.166700,25.578539,134.708619,60.510435,268.445544,0,-4.1666666666666625
2016-08-12,sz.300518,138.1500,148.8800,138.1000,146.8900,138.0000,4738040,685402336.0000,3,20.300086,1,6.442000,27.226316,143.386587,64.408535,285.738884,0,6.442028985507231
2016-08-15,sz.300518,147.1400,152.7100,143.2100,150.8500,146.8900,4734878,701254688.0000,3,20.286538,1,2.695900,27.960309,147.252139,66.144922,293.442104,0,2.695894887330663
2016-08-16,sz.300518,150.0000,153.8800,147.1300,148.5000,150.8500,3746202,566342832.0000,3,16.050566,1,-1.557800,27.524733,144.958188,65.114490,288.870749,0,-1.557838912827303
2016-08-17,sz.300518,148.0000,154.8400,147.0000,153.3000,148.5000,3897166,594427728.0000,3,16.697369,1,3.232300,28.414421,149.643705,67.219201,298.207985,0,3.232323232323231
2016-08-18,sz.300518,152.5000,161.0000,152.0000,156.4700,153.3000,4532325,712674304.0000,3,19.418702,1,2.067800,29.001986,152.738099,68.609187,304.374452,0,2.0678408349641186
2016-08-19,sz.300518,156.4700,159.9800,151.5000,152.0000,156.4700,3586445,554290624.0000,3,15.366088,1,-2.856800,28.173464,148.374711,66.649175,295.679150,0,-2.856777657058862
2016-08-22,sz.300518,150.2300,151.7000,142.8000,142.8000,152.0000,2982716,436786640.0000,3,12.779417,1,-6.052600,26.468228,139.394136,62.615146,277.782781,0,-6.052631578947365
2016-08-23,sz.300518,142.5000,148.1100,142.2500,148.0000,142.8000,2276302,332840928.0000,3,9.752793,1,3.641500,27.432057,144.470113,64.895250,287.898120,0,3.6414565826330403
2016-08-24,sz.300518,145.6900,147.8700,141.2200,143.8000,148.0000,3340721,479575008.0000,3,14.313286,1,-2.837800,13.491364,133.747431,61.089677,25.831710,0,-2.837837837837831
2016-08-25,sz.300518,142.7000,143.5800,138.1600,142.6600,143.8000,2146038,302315216.0000,3,9.194679,1,-0.792800,13.384409,132.687125,60.605378,25.626925,0,-0.7927677329624627
2016-08-26,sz.300518,143.0100,143.8800,140.0500,140.0500,142.6600,1833335,260850284.0000,3,7.854906,1,-1.829500,13.139538,130.259581,59.496587,25.158074,0,-1.8295247441469153
2016-08-29,sz.300518,139.0000,140.9300,138.0000,138.6000,140.0500,1188298,165326592.0000,3,5.091251,1,-1.035300,13.003498,128.910945,58.880593,24.897601,0,-1.035344519814363
2016-08-30,sz.300518,139.5000,141.9600,138.9300,141.0000,138.6000,1456247,204792128.0000,3,6.239276,1,1.731600,13.228667,131.143170,59.900170,25.328729,0,1.7316017316017396
2016-08-31,sz.300518,140.0000,149.6500,140.0000,149.0000,141.0000,3528777,513217024.0000,3,15.119010,1,5.673800,13.979230,138.583917,63.298761,26.765819,0,5.673758865248235
2016-09-01,sz.300518,149.0000,149.9800,146.8800,147.0000,149.0000,2490707,369597728.0000,3,10.671410,1,-1.342300,13.791589,136.723730,62.449113,26.406547,0,-1.342281879194629
2016-09-02,sz.300518,145.4000,147.4400,141.7900,145.8500,147.0000,2749692,397840240.0000,3,11.781028,1,-0.782300,13.683696,135.654123,61.960566,26.199965,0,-0.78231292517007
2016-09-05,sz.300518,145.8000,147.5000,143.0300,145.9800,145.8500,1972137,286544576.0000,3,8.449602,1,0.089126,13.695893,135.775035,62.015793,26.223318,0,0.08913267055192797
2016-09-06,sz.300518,146.2000,152.1000,143.8900,151.4300,145.9800,3763821,559453712.0000,3,16.126054,1,3.733386,14.207213,140.844044,64.331083,27.202336,0,3.7333881353610154
2016-09-07,sz.300518,151.3000,151.4300,141.5000,142.6700,151.4300,3644568,535246672.0000,3,15.615116,1,-5.784848,13.385347,132.696426,60.609626,25.628721,0,-5.784851086310516
2016-09-08,sz.300518,142.6100,144.8900,137.8000,140.2100,142.6700,2687761,379259632.0000,3,11.515686,1,-1.724253,13.154549,130.408396,59.564559,25.186816,0,-1.724258779000476
2016-09-09,sz.300518,140.2100,140.4200,136.8200,137.5000,140.2100,1930848,267030360.0000,3,8.272699,1,-1.932820,12.900296,127.887843,58.413286,24.700001,0,-1.9328150631196084
2016-09-12,sz.300518,133.8000,136.3300,132.6200,132.9300,137.5000,1557609,208657597.0000,3,6.673560,1,-3.323642,12.471537,123.637316,56.471841,23.879063,0,-3.323636363636362
2016-09-13,sz.300518,134.4000,134.9500,131.6000,133.3900,132.9300,1134459,151242813.0000,3,4.860578,1,0.346052,12.514695,124.065159,56.667260,23.961696,0,0.34604679154439655
2016-09-14,sz.300518,132.6000,134.9700,132.0100,133.3900,133.3900,932119,124667890.0000,3,3.993655,1,0.000000,12.514695,124.065159,56.667260,23.961696,0,0.0
2016-09-19,sz.300518,133.3900,134.8700,133.1200,134.1100,133.3900,760432,101819327.0000,3,3.258063,1,0.539771,12.582245,124.734826,56.973133,24.091034,0,0.5397705974960809
