date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-07-05,sz.300522,22.2600,26.7100,22.2600,26.7100,18.5500,7600,199991.0000,3,0.045591,1,43.989200,8.071101,32.208653,7.918917,45.013787,0,
2016-07-06,sz.300522,29.3800,29.3800,29.3800,29.3800,26.7100,800,23504.0000,3,0.004799,1,9.996300,8.877909,35.428312,8.710512,49.513481,0,9.99625608386372
2016-07-07,sz.300522,32.3200,32.3200,32.3200,32.3200,29.3800,764,24692.0000,3,0.004583,1,10.006800,9.766304,38.973555,9.582157,54.468200,0,10.006807351940106
2016-07-08,sz.300522,35.5500,35.5500,35.5500,35.5500,32.3200,500,17775.0000,3,0.002999,1,9.993800,10.742330,42.868499,10.539779,59.911649,0,9.993811881188108
2016-07-11,sz.300522,39.1100,39.1100,39.1100,39.1100,35.5500,3402,133052.0000,3,0.020408,1,10.014100,11.818074,47.161378,11.595240,65.911240,0,10.014064697609015
2016-07-12,sz.300522,43.0200,43.0200,43.0200,43.0200,39.1100,3400,146268.0000,3,0.020396,1,9.997400,12.999579,51.876310,12.754467,72.500679,0,9.99744310917925
2016-07-13,sz.300522,47.3200,47.3200,47.3200,47.3200,43.0200,1300,61516.0000,3,0.007798,1,9.995300,14.298932,57.061529,14.029321,79.747376,0,9.995350999535102
2016-07-14,sz.300522,52.0500,52.0500,52.0500,52.0500,47.3200,2900,150945.0000,3,0.017397,1,9.995800,15.728221,62.765270,15.431660,87.718743,0,9.995773457311907
2016-07-15,sz.300522,57.2600,57.2600,57.2600,57.2600,52.0500,9600,549696.0000,3,0.057588,1,10.009600,17.302554,69.047827,16.976308,96.499044,0,10.00960614793469
2016-07-18,sz.300522,62.9900,62.9900,62.9900,62.9900,57.2600,20900,1316491.0000,3,0.125375,1,10.007000,19.034018,75.957433,18.675125,106.155690,0,10.006985679357317
2016-07-19,sz.300522,69.2900,69.2900,69.2900,69.2900,62.9900,9000,623610.0000,3,0.053989,1,10.001600,20.937722,83.554382,20.542934,116.772944,0,10.001587553579938
2016-07-20,sz.300522,76.2200,76.2200,76.2200,76.2200,69.2900,7900,602138.0000,3,0.047391,1,10.001400,23.031797,91.911026,22.597524,128.451924,0,10.001443209698358
2016-07-21,sz.300522,83.8400,83.8400,83.8400,83.8400,76.2200,16800,1408512.0000,3,0.100780,1,9.997400,25.334372,101.099717,24.856683,141.293746,0,9.997376016793492
2016-07-22,sz.300522,92.2200,92.2200,92.2200,92.2200,83.8400,231834,21379731.0000,3,1.390726,1,9.995200,27.866601,111.204865,27.341166,155.416379,0,9.995229007633588
2016-07-25,sz.300522,101.0000,101.0000,94.0100,94.0800,92.2200,8035500,777087472.0000,3,48.203359,1,2.016900,28.428647,113.447774,27.892614,158.550997,0,2.01691607026675
2016-07-26,sz.300522,93.0100,103.4900,93.0100,103.4900,94.0800,4162690,420703040.0000,3,24.971146,1,10.002100,31.272116,124.794963,30.682469,174.409467,0,10.002125850340127
2016-07-27,sz.300522,104.0000,113.5500,100.1600,111.9900,103.4900,9867324,1049636816.0000,3,59.192106,1,8.213400,33.840605,135.044815,33.202528,188.734334,0,8.213353947241275
2016-07-28,sz.300522,105.5100,108.4800,102.8100,106.2000,111.9900,5726831,607067344.0000,3,34.354115,1,-5.170100,32.091010,128.062857,31.485923,178.976572,0,-5.170104473613712
2016-07-29,sz.300522,104.9800,113.4000,103.1100,106.9700,106.2000,6083977,665961120.0000,3,36.496563,1,0.725100,32.323685,128.991373,31.714211,180.274236,0,0.7250470809792908
2016-08-01,sz.300522,101.6200,102.5000,96.2700,96.2700,106.9700,5352222,524730912.0000,3,32.106911,1,-10.002800,29.090410,116.088618,28.541900,162.241757,0,-10.00280452463308
2016-08-02,sz.300522,94.6100,97.7100,93.2700,95.0800,96.2700,4094218,389329312.0000,3,24.560396,1,-1.236100,28.730822,114.653639,28.189092,160.236275,0,-1.23610678300613
2016-08-03,sz.300522,94.2100,103.9900,94.2100,101.3700,95.0800,5259135,522851200.0000,3,31.548500,1,6.615500,30.631504,122.238529,30.053936,170.836677,0,6.615481699621384
2016-08-04,sz.300522,101.3600,111.0000,100.2800,105.3000,101.3700,5546279,588270432.0000,3,33.271020,1,3.876900,31.819053,126.977579,31.219093,177.459821,0,3.87688665285586
2016-08-05,sz.300522,105.9100,109.0000,103.0000,108.7000,105.3000,5225293,557823392.0000,3,31.345489,1,3.228900,32.846449,131.077519,32.227117,183.189768,0,3.228869895536568
2016-08-08,sz.300522,106.0000,108.0200,101.5000,106.7700,108.7000,4190919,440935168.0000,3,25.140486,1,-1.775500,32.263250,128.750200,31.654915,179.937180,0,-1.7755289788408568
2016-08-09,sz.300522,106.8000,115.9300,105.1000,114.8500,106.7700,5838190,647677360.0000,3,35.022136,1,7.567700,34.704826,138.493589,34.050454,193.554230,0,7.56766882082982
2016-08-10,sz.300522,113.0000,122.0000,111.3100,116.2000,114.8500,6234101,725471536.0000,3,37.397127,1,1.175400,35.112763,140.121506,34.450699,195.829356,0,1.1754462342185468
2016-08-11,sz.300522,113.6000,118.4900,108.5800,109.2000,116.2000,5387592,610147488.0000,3,32.319088,1,-6.024100,32.997536,131.680452,32.375356,184.032407,0,-6.024096385542165
2016-08-12,sz.300522,109.0000,118.4700,109.0000,116.4000,109.2000,5340369,612106160.0000,3,32.035807,1,6.593400,35.173198,140.362679,34.509995,196.166412,0,6.593406593406592
2016-08-15,sz.300522,116.2900,123.3600,114.5000,121.4500,116.4000,5667639,674413008.0000,3,33.999034,1,4.338500,36.699183,146.452297,36.007207,204.677068,0,4.338487972508598
2016-08-16,sz.300522,120.1000,127.6900,118.0600,124.1000,121.4500,4782704,588497376.0000,3,28.690486,1,2.182000,37.499947,149.647839,36.792872,209.143056,0,2.1819678880197646
2016-08-17,sz.300522,123.0000,130.2900,118.6000,129.3700,124.1000,5838135,725654336.0000,3,35.021806,1,4.246600,39.092411,156.002748,38.355309,218.024473,0,4.246575342465753
2016-08-18,sz.300522,126.0000,132.0000,126.0000,126.3000,129.3700,5478157,700594112.0000,3,32.862370,1,-2.373000,16.248995,139.303556,33.820759,27.411857,0,-2.373038571538999
2016-08-19,sz.300522,125.0200,128.0000,119.0800,120.3500,126.3000,4468041,547988192.0000,3,26.802885,1,-4.711000,15.483504,132.740958,32.227461,26.120483,0,-4.711005542359459
2016-08-22,sz.300522,120.3000,120.3500,112.0100,112.5000,120.3500,3478661,399710640.0000,3,20.867792,1,-6.522600,14.473570,124.082740,30.125379,24.416737,0,-6.522642293311176
2016-08-23,sz.300522,112.5000,118.6000,112.4100,116.4900,112.5000,3236024,375904912.0000,3,19.412262,1,3.546700,14.986900,128.483541,31.193826,25.282717,0,3.5466666666666535
2016-08-24,sz.300522,116.6000,116.8400,111.1000,113.1900,116.4900,3167122,358743904.0000,3,18.998932,1,-2.832900,14.562342,124.843781,30.310148,24.566493,0,-2.832861189801694
2016-08-25,sz.300522,111.0000,116.1900,107.1700,114.5300,113.1900,3546717,396465280.0000,3,21.276047,1,1.183800,14.734738,126.321744,30.668974,24.857323,0,1.1838501634420018
2016-08-26,sz.300522,113.8800,115.8800,110.6800,110.6800,114.5300,2449559,276888912.0000,3,14.694415,1,-3.361600,14.239420,122.075357,29.638017,24.021728,0,-3.3615646555487544
2016-08-29,sz.300522,108.5100,111.9700,107.3600,109.2500,110.6800,1775559,194559756.0000,3,10.651224,1,-1.292000,14.055445,120.498127,29.255090,23.711365,0,-1.2920130104806749
2016-08-30,sz.300522,108.9900,114.5000,108.9900,112.5800,109.2500,2595243,291078864.0000,3,15.568344,1,3.048100,14.483863,124.170976,30.146801,24.434100,0,3.0480549199084717
2016-08-31,sz.300522,111.6500,123.8000,111.5800,123.1000,112.5800,5243757,621540384.0000,3,31.456251,1,9.344500,15.837302,135.774091,32.963859,26.717336,0,9.34446615739919
2016-09-01,sz.300522,122.0000,125.8700,120.8100,122.5000,123.1000,5020811,619801472.0000,3,30.118842,1,-0.487400,15.760110,135.112317,32.803190,26.587114,0,-0.4874086108854536
2016-09-02,sz.300522,120.1000,131.5000,120.0500,125.3800,122.5000,5911770,746356256.0000,3,35.463527,1,2.351000,16.130633,138.288835,33.574400,27.212182,0,2.3510204081632624
2016-09-05,sz.300522,123.0000,126.9600,115.6800,115.9900,125.3800,4921869,598404944.0000,3,29.525309,1,-7.489233,14.922573,127.932062,31.059935,25.174198,0,-7.489232732493223
2016-09-06,sz.300522,115.9900,127.5900,114.2200,127.5900,115.9900,5414684,661078944.0000,3,32.481608,1,10.000860,16.414959,140.726371,34.166196,27.691835,0,10.000862143288213
2016-09-07,sz.300522,127.8800,130.9800,124.5000,129.4000,127.5900,5127142,656485616.0000,3,30.756701,1,1.418605,16.647822,142.722725,34.650880,28.084673,0,1.4186064738615833
2016-09-08,sz.300522,127.8000,129.9800,119.0000,121.3000,129.4000,4778218,594501216.0000,3,28.663575,1,-6.259653,15.605725,133.788767,32.481853,26.326668,0,-6.259659969088105
2016-09-09,sz.300522,122.0000,122.5900,115.5000,116.5000,121.3000,3504983,413999200.0000,3,21.025693,1,-3.957133,14.988186,128.494570,31.196503,25.284888,0,-3.9571310799670245
2016-09-12,sz.300522,110.0100,116.0500,110.0100,112.8000,116.5000,2432830,277227760.0000,3,14.594061,1,-3.175963,14.512167,124.413627,30.205713,24.481848,0,-3.175965665236058
2016-09-13,sz.300522,114.8100,115.0000,107.5400,110.2900,112.8000,2787499,308708384.0000,3,16.721650,1,-2.225179,14.189245,121.645203,29.533582,23.937084,0,-2.225177304964532
2016-09-14,sz.300522,108.4100,111.6000,108.3300,109.4600,110.2900,1634640,179339896.0000,3,9.805879,1,-0.752563,14.082462,120.729748,29.311324,23.756942,0,-0.7525614289600302
2016-09-19,sz.300522,110.2400,112.9900,108.2000,112.9800,109.4600,1827540,203332807.0000,3,10.963047,1,3.215791,14.535324,124.612159,30.253914,24.520915,0,3.2157865887082027
2016-09-20,sz.300522,112.1700,113.5000,110.0000,110.1100,112.9800,1521024,169536565.0000,3,9.124319,1,-2.540275,14.166088,121.446671,29.485382,23.898017,0,-2.5402726146220633
2016-09-21,sz.300522,110.1000,117.5000,109.4000,116.7000,110.1100,3301485,377353680.0000,3,19.804949,1,5.984921,15.013917,128.715162,31.250060,25.328295,0,5.984924166742345
2016-09-22,sz.300522,116.4800,125.2400,115.8500,122.0000,116.7000,3414754,411183424.0000,3,20.484427,1,4.541562,15.695783,134.560838,32.669300,26.478595,0,4.541559554413022
2016-09-23,sz.300522,121.8100,127.8000,121.5100,123.1300,122.0000,3659013,456446768.0000,3,21.949688,1,0.926227,15.841162,135.807180,32.971892,26.723847,0,0.9262295081967187
2016-09-26,sz.300522,121.9000,129.2800,120.0100,127.9800,123.1300,5018554,633096208.0000,3,30.105303,1,3.938931,16.465134,141.156525,34.270631,27.776480,0,3.938926338016735
2016-09-27,sz.300522,126.6000,131.0000,123.0000,130.5400,127.9800,4423029,562197152.0000,3,26.532867,1,2.000305,16.794488,143.980096,34.956151,28.332096,0,2.0003125488357476
2016-09-28,sz.300522,131.0200,133.5000,124.5000,126.7000,130.5400,4116533,525992176.0000,3,24.694259,1,-2.941624,16.300457,139.744739,33.927871,27.498672,0,-2.9416270874827566
2016-09-29,sz.300522,125.7000,139.3700,123.0000,124.4300,126.7000,8387197,1110144992.0000,3,50.313119,1,-1.791631,16.008412,137.241025,33.320008,27.005996,0,-1.7916337805840565
2016-09-30,sz.300522,116.8700,120.9600,112.8700,117.0000,124.4300,5413786,632017936.0000,3,32.476221,1,-5.971229,15.052513,129.046049,31.330394,25.393406,0,-5.971228803343253
2016-10-10,sz.300522,119.0000,128.7000,117.8200,128.7000,117.0000,4725470,580550416.0000,3,28.347151,1,9.999997,16.557765,141.950654,34.463433,27.932747,0,9.999999999999986
2016-10-11,sz.300522,130.8800,139.8500,130.0000,134.6000,128.7000,6221769,831348704.0000,3,37.323149,1,4.584311,17.316823,148.458105,36.043342,29.213269,0,4.584304584304588
2016-10-12,sz.300522,133.8000,141.9900,132.1200,139.9900,134.6000,5243791,720471088.0000,3,31.456455,1,4.004457,18.010268,154.403047,37.486682,30.383102,0,4.004457652303128
2016-10-13,sz.300522,140.0000,141.9400,135.5000,137.0000,139.9900,3784603,523072464.0000,3,22.703077,1,-2.135871,17.625593,151.105203,36.686017,29.734160,0,-2.135866847631984
2016-10-14,sz.300522,136.2500,148.3300,136.2500,137.8000,137.0000,5295756,751836400.0000,3,31.768182,1,0.583944,17.728516,151.987569,36.900242,29.907790,0,0.5839416058394331
2016-10-17,sz.300522,135.1000,142.0000,134.8100,141.5000,137.8000,3677309,507227152.0000,3,22.059442,1,2.685048,18.204535,156.068513,37.891032,30.710829,0,2.685050798258337
2016-10-18,sz.300522,139.5000,140.9900,136.0100,138.3000,141.5000,3810809,526622672.0000,3,22.860282,1,-2.261482,17.792843,152.539048,37.034132,30.016309,0,-2.2614840989399254
2016-10-19,sz.300522,137.5000,144.9400,136.5100,139.6800,138.3000,4247049,600312576.0000,3,25.477199,1,0.997823,17.970385,154.061130,37.403670,30.315821,0,0.997830802603028
2016-10-20,sz.300522,139.6500,139.6500,130.0000,134.9000,139.6800,4137496,557714624.0000,3,24.820012,1,-3.422107,17.355419,148.788992,36.123676,29.278381,0,-3.422107674684993
2016-10-21,sz.300522,133.5000,136.8800,130.9500,135.6500,134.9000,2646671,355297696.0000,3,15.876851,1,0.555967,17.451910,149.616210,36.324512,29.441159,0,0.5559673832468581
2016-10-24,sz.300522,134.5400,142.8000,132.8000,138.1000,135.6500,4305767,597480720.0000,3,25.829436,1,1.806128,17.767112,152.318456,36.980576,29.972901,0,1.806118687799474
2016-10-25,sz.300522,136.4400,140.9400,135.0000,135.7000,138.1000,3363680,461022496.0000,3,20.178044,1,-1.737878,17.458342,149.671358,36.337901,29.452011,0,-1.73787110789283
2016-10-26,sz.300522,134.1000,136.4500,132.3000,134.8100,135.7000,2270099,303640352.0000,3,13.617870,1,-0.655858,17.343840,148.689726,36.099576,29.258847,0,-0.655858511422247
2016-10-27,sz.300522,134.0000,136.3700,133.4000,135.5000,134.8100,1961900,264448145.0000,3,11.769046,1,0.511833,17.432612,149.450767,36.284345,29.408603,0,0.5118314665084167
2016-10-28,sz.300522,135.6000,136.0000,128.8000,128.9000,135.5000,2550735,336280896.0000,3,15.301350,1,-4.870853,15.816194,128.356946,32.275292,42.594002,0,-4.8708487084870855
2016-10-31,sz.300522,127.0000,132.5000,125.1500,131.5200,128.9000,2307276,296866032.0000,3,13.840888,1,2.032592,16.137671,130.965908,32.931314,43.459760,0,2.0325833979829344
2016-11-01,sz.300522,131.0000,135.6000,130.1900,135.0200,131.5200,2620630,350246832.0000,3,15.720636,1,2.661192,16.567125,134.451163,33.807680,44.616308,0,2.661192214111918
2016-11-02,sz.300522,134.9900,135.0000,129.5500,130.1000,135.0200,2809355,369602992.0000,3,16.852759,1,-3.643903,15.963435,129.551890,32.575760,42.990533,0,-3.643904606724946
2016-11-03,sz.300522,128.5000,132.5400,127.5000,127.6000,130.1000,2352752,305393008.0000,3,14.113689,1,-1.921605,15.656682,127.062423,31.949785,42.164427,0,-1.9215987701767911
2016-11-04,sz.300522,126.7000,128.9800,125.6000,127.2000,127.6000,2000470,254021114.0000,3,12.000420,1,-0.313481,15.607602,126.664108,31.849629,42.032250,0,-0.31347962382444194
2016-11-07,sz.300522,127.0000,128.9900,126.2100,127.9000,127.2000,1565755,200724044.0000,3,9.392651,1,0.550318,15.693492,127.361159,32.024902,42.263560,0,0.5503144654088077
2016-11-08,sz.300522,128.2000,128.4900,126.0100,127.4600,127.9000,1344056,170938287.0000,3,8.062723,1,-0.344021,15.639504,126.923013,31.914730,42.118165,0,-0.34401876465990355
2016-11-09,sz.300522,127.3800,131.5000,126.0200,129.3000,127.4600,2444400,314766736.0000,3,14.663467,1,1.443593,15.865274,128.755261,32.375448,42.726179,0,1.443590145928142
2016-11-10,sz.300522,129.3900,134.2200,129.3900,132.0100,129.3000,2699394,356423504.0000,3,16.193125,1,2.095894,16.197795,131.453844,33.054006,43.621677,0,2.0959010054137472
2016-11-11,sz.300522,131.0000,132.2000,128.0000,129.0000,132.0100,2193342,284739888.0000,3,13.157421,1,-2.280126,15.828464,128.456525,32.300331,42.627046,0,-2.280130293159599
2016-11-14,sz.300522,128.0500,136.0000,127.8000,135.0000,129.0000,3349433,446878832.0000,3,20.092579,1,4.651163,16.564671,134.431247,33.802672,44.609699,0,4.651162790697683
2016-11-15,sz.300522,135.0000,135.0200,130.7900,132.5700,135.0000,1831799,242941421.0000,3,10.988596,1,-1.799994,16.266507,132.011484,33.194224,43.806725,0,-1.8000000000000016
2016-11-16,sz.300522,132.6500,133.5900,127.6200,127.8300,132.5700,1865575,243512777.0000,3,11.191212,1,-3.575474,15.684903,127.291454,32.007375,42.240429,0,-3.5754695632496003
2016-11-17,sz.300522,126.5000,127.6000,123.0000,123.1800,127.8300,1902905,236888785.0000,3,11.415147,1,-3.637645,15.114342,122.661044,30.843060,40.703872,0,-3.637643745599617
2016-11-18,sz.300522,124.6900,129.0000,124.6000,126.2400,123.1800,1762822,223817973.0000,3,10.574817,1,2.484168,15.489808,125.708153,31.609254,41.715026,0,2.484169508037004
2016-11-21,sz.300522,125.4700,128.9000,123.0100,128.4800,126.2400,2000582,253074551.0000,3,12.001092,1,1.774396,15.764659,127.938715,32.170128,42.455216,0,1.7743979721166037
2016-11-22,sz.300522,131.0000,138.0000,131.0000,133.6300,128.4800,3503751,471584624.0000,3,21.018302,1,4.008413,16.396571,133.067019,33.459638,44.156994,0,4.008405977584073
2016-11-23,sz.300522,131.0500,133.4900,130.1700,131.2600,133.6300,1898441,249652286.0000,3,11.388368,1,-1.773561,16.105769,130.707003,32.866213,43.373846,0,-1.773553842699993
2016-11-24,sz.300522,132.2100,136.9800,131.7700,132.8300,131.2600,2318677,311003152.0000,3,13.909280,1,1.196105,16.298410,132.270389,33.259325,43.892640,0,1.1960993448118407
2016-11-25,sz.300522,131.5800,137.5000,128.0000,136.6000,132.8300,3890620,518316656.0000,3,23.339052,1,2.838217,16.760993,136.024506,34.203296,45.138407,0,2.8382142588270654
2016-11-28,sz.300522,136.1500,139.8000,132.5000,132.6200,136.6000,2591083,351010976.0000,3,15.543389,1,-2.913624,16.272642,132.061274,33.206744,43.823247,0,-2.913616398243035
2016-11-29,sz.300522,131.5600,136.8600,131.0000,133.8000,132.6200,2410853,323252768.0000,3,14.462226,1,0.889766,16.417430,133.236302,33.502204,44.213169,0,0.889760217161828
2016-11-30,sz.300522,134.0000,144.5700,132.3000,144.0000,133.8000,5062439,706085040.0000,3,30.368560,1,7.623316,17.668983,143.393330,36.056184,47.583679,0,7.623318385650224
2016-12-01,sz.300522,143.0000,143.0000,137.1900,139.8500,144.0000,3868241,542321360.0000,3,23.204805,1,-2.881940,17.159773,139.260814,35.017064,46.212344,0,-2.881944444444451
2016-12-02,sz.300522,140.5000,142.0000,131.9100,132.0000,139.8500,2939423,398971280.0000,3,17.633011,1,-5.613161,16.196568,131.443886,33.051502,43.618373,0,-5.61315695387915
2016-12-05,sz.300522,130.0000,134.1600,127.0000,133.9300,132.0000,1814005,238745616.0000,3,10.881854,1,1.462116,16.433381,133.365755,33.534755,44.256126,0,1.4621212121212146
2016-12-06,sz.300522,134.9000,135.0000,129.0000,129.6000,133.9300,1418624,187434860.0000,3,8.510042,1,-3.233022,15.902085,129.053997,32.450565,42.825311,0,-3.233032180990081
2016-12-07,sz.300522,129.9900,131.6900,128.0000,130.6800,129.6000,1275955,165794102.0000,3,7.654199,1,0.833323,16.034602,130.129447,32.720987,43.182189,0,0.8333333333333526
2016-12-08,sz.300522,131.0000,131.9900,123.9500,125.5000,130.6800,1824492,233123755.0000,3,10.944763,1,-3.963876,15.399009,124.971270,31.423966,41.470498,0,-3.963881236608513
2016-12-09,sz.300522,125.5000,126.2900,122.3000,123.1800,125.5000,1134050,140491582.0000,3,6.802939,1,-1.848605,15.114342,122.661044,30.843060,40.703872,0,-1.848605577689233
2016-12-12,sz.300522,123.0000,123.8800,110.8600,110.8600,123.1800,1849769,214327790.0000,3,11.096395,1,-10.001620,13.602663,110.392948,27.758254,36.632824,0,-10.001623640201341
2016-12-13,sz.300522,105.2000,109.6000,104.5000,106.5100,110.8600,1684445,179851227.0000,3,10.104649,1,-3.923867,13.068912,106.061275,26.669056,35.195401,0,-3.9238679415478983
2016-12-14,sz.300522,106.0000,107.3300,102.2200,102.2200,106.5100,1294657,135174227.0000,3,7.766389,1,-4.027792,12.542524,101.789349,25.594883,33.777804,0,-4.027790817763599
