date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-08-08,sz.300528,8.7300,9.5300,8.7300,9.5300,6.6200,30756,292704.0000,3,0.039619,1,43.957700,2.187615,25.511457,1.959388,14.996604,0,
2016-08-09,sz.300528,10.4800,10.4800,10.4800,10.4800,9.5300,4691,49161.0000,3,0.006043,1,9.968500,2.405688,28.054572,2.154710,16.491544,0,9.968520461699914
2016-08-10,sz.300528,11.5300,11.5300,11.5300,11.5300,10.4800,3118,35950.0000,3,0.004016,1,10.019100,2.646716,30.865383,2.370592,18.143845,0,10.019083969465647
2016-08-11,sz.300528,12.6800,12.6800,12.6800,12.6800,11.5300,4000,50720.0000,3,0.005153,1,9.974000,2.910699,33.943890,2.607034,19.953509,0,9.973980919340853
2016-08-12,sz.300528,13.9500,13.9500,13.9500,13.9500,12.6800,9694,135231.0000,3,0.012487,1,10.015800,3.202228,37.343633,2.868149,21.952007,0,10.015772870662465
2016-08-15,sz.300528,15.3500,15.3500,15.3500,15.3500,13.9500,11208,172042.0000,3,0.014438,1,10.035800,3.523598,41.091381,3.155992,24.155076,0,10.035842293906816
2016-08-16,sz.300528,16.8900,16.8900,16.8900,16.8900,15.3500,11806,199403.0000,3,0.015208,1,10.032600,3.877106,45.213904,3.472619,26.578452,0,10.032573289902281
2016-08-17,sz.300528,18.5800,18.5800,18.5800,18.5800,16.8900,11094,206126.0000,3,0.014291,1,10.005900,4.265046,49.737972,3.820087,29.237870,0,10.005920663114253
2016-08-18,sz.300528,20.4400,20.4400,20.4400,20.4400,18.5800,20063,410087.0000,3,0.025844,1,10.010800,4.692010,54.717123,4.202507,32.164805,0,10.01076426264802
2016-08-19,sz.300528,22.4800,22.4800,22.4800,22.4800,20.4400,57895,1301479.0000,3,0.074578,1,9.980400,5.160292,60.178127,4.621935,35.374991,0,9.980430528375738
2016-08-22,sz.300528,24.7300,24.7300,24.7300,24.7300,22.4800,30961,765665.0000,3,0.039883,1,10.008900,5.676781,66.201294,5.084540,38.915637,0,10.008896797153021
2016-08-23,sz.300528,27.2000,27.2000,27.2000,27.2000,24.7300,57090,1552848.0000,3,0.073541,1,9.987900,6.243770,72.813392,5.592377,42.802480,0,9.987868985038407
2016-08-24,sz.300528,29.9200,29.9200,29.9200,29.9200,27.2000,47924,1433886.0000,3,0.061734,1,10.000000,6.868147,80.094732,6.151614,47.082728,0,10.000000000000009
2016-08-25,sz.300528,32.9100,32.9100,32.9100,32.9100,29.9200,109376,3599564.0000,3,0.140894,1,9.993300,7.554503,88.098851,6.766365,51.787853,0,9.993315508021382
2016-08-26,sz.300528,36.2000,36.2000,36.2000,36.2000,32.9100,89712,3247574.0000,3,0.115564,1,9.997000,8.309723,96.906059,7.442796,56.965065,0,9.996961409905825
2016-08-29,sz.300528,39.8200,39.8200,39.8200,39.8200,36.2000,160370,6385933.0000,3,0.206583,1,10.000000,9.140696,106.596665,8.187075,62.661572,0,9.999999999999986
2016-08-30,sz.300528,43.8000,43.8000,40.5500,41.4500,39.8200,41548863,1743274816.0000,3,53.521658,1,4.093400,9.514863,110.960115,8.522206,65.226573,0,4.0934203917629475
2016-08-31,sz.300528,41.8000,45.6000,39.5200,45.6000,41.4500,34941127,1482096624.0000,3,45.009825,1,10.012100,10.467497,122.069511,9.375455,71.757099,0,10.012062726176119
2016-09-01,sz.300528,45.6000,49.4700,45.0200,47.5600,45.6000,41264915,1948459168.0000,3,53.155887,1,4.298300,10.917416,127.316358,9.778435,74.841395,0,4.29824561403509
2016-09-02,sz.300528,46.9400,51.8000,46.4500,50.1400,47.5600,33895795,1647809440.0000,3,43.663268,1,5.424700,11.509656,134.222923,10.308889,78.901336,0,5.424726661059709
