date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-12-01,sz.300568,25.9800,31.1800,25.9800,31.1800,21.6500,6275,194632.0000,3,0.020917,1,44.018480,6.291435,21.490651,7.031387,23.940804,0,
2016-12-02,sz.300568,34.3000,34.3000,34.3000,34.3000,31.1800,2900,99470.0000,3,0.009667,1,10.006410,6.920982,23.641095,7.734977,26.336420,0,10.006414368184725
2016-12-05,sz.300568,37.7300,37.7300,37.7300,37.7300,34.3000,3700,139601.0000,3,0.012333,1,10.000000,7.613081,26.005204,8.508475,28.970062,0,10.000000000000009
2016-12-06,sz.300568,41.5000,41.5000,41.5000,41.5000,37.7300,3400,141100.0000,3,0.011333,1,9.992050,8.373783,28.603657,9.358646,31.864765,0,9.99204876755897
2016-12-07,sz.300568,45.6500,45.6500,45.6500,45.6500,41.5000,6061,276684.0000,3,0.020203,1,10.000000,9.211162,31.464023,10.294511,35.051242,0,9.999999999999986
2016-12-08,sz.300568,50.2200,50.2200,50.2200,50.2200,45.6500,5995,301068.0000,3,0.019983,1,10.010950,10.133287,34.613871,11.325089,38.560205,0,10.010952902519165
2016-12-09,sz.300568,55.2400,55.2400,55.2400,55.2400,50.2200,7300,403252.0000,3,0.024333,1,9.996018,11.146212,38.073880,12.457147,42.414690,0,9.996017522899248
2016-12-12,sz.300568,60.7600,60.7600,60.7600,60.7600,55.2400,27038,1642828.0000,3,0.090127,1,9.992752,12.260026,41.878511,13.701960,46.653088,0,9.992758870383778
2016-12-13,sz.300568,66.8400,66.8400,66.8400,66.8400,60.7600,34975,2337729.0000,3,0.116583,1,10.006580,13.486835,46.069119,15.073058,51.321468,0,10.00658327847268
2016-12-14,sz.300568,73.5200,73.5200,73.5200,73.5200,66.8400,30329,2229788.0000,3,0.101097,1,9.994017,14.834712,50.673274,16.579461,56.450543,0,9.994015559545177
2016-12-15,sz.300568,80.8700,80.8700,80.8700,80.8700,73.5200,57143,4621154.0000,3,0.190477,1,9.997288,16.317780,55.739223,18.236957,62.094062,0,9.997279651795443
2016-12-16,sz.300568,88.9600,88.9600,88.9600,88.9600,80.8700,118344,10527882.0000,3,0.394480,1,10.003710,17.950163,61.315213,20.061329,68.305771,0,10.003709657474946
2016-12-19,sz.300568,95.0000,95.0000,85.8100,86.2900,88.9600,16493168,1509595840.0000,3,54.977227,1,-3.001347,17.411416,59.474930,19.459218,66.255677,0,-3.0013489208633004
2016-12-20,sz.300568,83.5000,89.3100,83.0100,84.4100,86.2900,10561380,905002512.0000,3,35.204600,1,-2.178697,17.032073,58.179149,19.035260,64.812165,0,-2.178699733456957
2016-12-21,sz.300568,86.6600,88.3500,84.0300,85.4100,84.4100,7393966,633790288.0000,3,24.646553,1,1.184694,17.233851,58.868394,19.260770,65.579990,0,1.1846937566639015
2016-12-22,sz.300568,87.2800,93.1000,86.5500,89.5100,85.4100,9815703,877884784.0000,3,32.719010,1,4.800373,18.061141,61.694298,20.185359,68.728076,0,4.800374663388363
2016-12-23,sz.300568,88.0000,88.0000,81.1000,82.2900,89.5100,8249917,696761776.0000,3,27.499723,1,-8.066139,16.604304,56.717951,18.557180,63.184374,0,-8.066137861691425
