date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-12-20,sz.300581,31.9900,34.8900,31.9900,34.8900,24.2300,2600,90424.0000,3,0.023009,1,43.995050,6.558243,31.395729,7.731200,4487.199076,0,
2016-12-21,sz.300581,38.3800,38.3800,38.3800,38.3800,34.8900,1500,57570.0000,3,0.013274,1,10.002870,7.214255,34.536202,8.504542,4936.047594,0,10.002866150759537
2016-12-22,sz.300581,42.2200,42.2200,42.2200,42.2200,38.3800,1100,46442.0000,3,0.009735,1,10.005210,7.936056,37.991621,9.355439,5429.909573,0,10.005211047420515
2016-12-23,sz.300581,46.4400,46.4400,46.4400,46.4400,42.2200,2700,125388.0000,3,0.023894,1,9.995256,8.729286,41.788984,10.290540,5972.643311,0,9.995262908574132
2016-12-26,sz.300581,51.0800,51.0800,51.0800,51.0800,46.4400,2200,112376.0000,3,0.019469,1,9.991394,9.601463,45.964283,11.318707,6569.393202,0,9.991386735572782
2016-12-27,sz.300581,56.1900,56.1900,56.1900,56.1900,51.0800,3200,179808.0000,3,0.028319,1,10.003910,10.561985,50.562511,12.451021,7226.589742,0,10.003915426781518
2016-12-28,sz.300581,61.8100,61.8100,61.8100,61.8100,56.1900,6600,407946.0000,3,0.058407,1,10.001780,11.618371,55.619662,13.696345,7949.377326,0,10.001779676098966
2016-12-29,sz.300581,67.9900,67.9900,67.9900,67.9900,61.8100,12900,877071.0000,3,0.114159,1,9.998376,12.780020,61.180728,15.065758,8744.186449,0,9.998382138812477
2016-12-30,sz.300581,74.7900,74.7900,74.7900,74.7900,67.9900,20132,1505672.0000,3,0.178159,1,10.001480,14.058210,67.299701,16.572555,9618.733704,0,10.001470804530088
2017-01-03,sz.300581,82.2700,82.2700,82.2700,82.2700,74.7900,12200,1003694.0000,3,0.107965,1,10.001330,15.464219,74.030571,18.230032,10580.735684,0,10.00133707714934
2017-01-04,sz.300581,90.5000,90.5000,90.5000,90.5000,82.2700,25372,2296166.0000,3,0.224531,1,10.003650,17.011205,81.436327,20.053700,11639.195082,0,10.003646529719212
2017-01-05,sz.300581,99.5500,99.5500,99.5500,99.5500,90.5000,90719,9031076.0000,3,0.802823,1,10.000000,18.712326,89.579960,22.059070,12803.114590,0,9.999999999999986
2017-01-06,sz.300581,109.5100,109.5100,109.1100,109.5100,99.5500,2075306,227266252.0000,3,18.365540,1,10.005020,20.584498,98.542455,24.266085,14084.069099,0,10.005022601707703
