date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-12-28,sz.300582,17.8200,21.3800,17.8200,21.3800,14.8500,12758,272065.0000,3,0.038661,1,43.973060,6.575298,32.200194,4.627967,1944.531411,0,
2016-12-29,sz.300582,23.5200,23.5200,23.5200,23.5200,21.3800,6159,144859.0000,3,0.018664,1,10.009360,7.233443,35.423225,5.091196,2139.166454,0,10.009354536950422
2016-12-30,sz.300582,25.8700,25.8700,25.8700,25.8700,23.5200,5659,146398.0000,3,0.017148,1,9.991498,7.956172,38.962535,5.599883,2352.901197,0,9.991496598639472
2017-01-03,sz.300582,28.4600,28.4600,28.4600,28.4600,25.8700,2000,56920.0000,3,0.006061,1,10.011590,8.752712,42.863307,6.160521,2588.464170,0,10.011596443757242
2017-01-04,sz.300582,31.3100,31.3100,31.3100,31.3100,28.4600,7883,246816.0000,3,0.023888,1,10.014060,9.629213,47.155662,6.777439,2847.674390,0,10.01405481377371
2017-01-05,sz.300582,34.4400,34.4400,34.4400,34.4400,31.3100,9599,330589.0000,3,0.029088,1,9.996804,10.591827,51.869722,7.454966,3132.350878,0,9.996806132226133
2017-01-06,sz.300582,37.8800,37.8800,37.8800,37.8800,34.4400,20359,771198.0000,3,0.061694,1,9.988393,11.649779,57.050670,8.199597,3445.222162,0,9.988385598141702
2017-01-09,sz.300582,41.6700,41.6700,41.6700,41.6700,37.8800,39490,1645548.0000,3,0.119667,1,10.005270,12.815372,62.758750,9.019990,3789.926281,0,10.0052798310454
2017-01-10,sz.300582,45.8400,45.8400,45.8400,45.8400,41.6700,196688,9016177.0000,3,0.596024,1,10.007210,14.097832,69.039143,9.922638,4169.191761,0,10.007199424046087
2017-01-11,sz.300582,45.0000,49.0000,41.6000,42.5400,45.8400,17610102,768713392.0000,3,53.363945,1,-7.198951,13.082936,64.069047,9.208312,3869.053611,0,-7.198952879581155
2017-01-12,sz.300582,40.0300,41.1000,38.2900,38.2900,42.5400,11580265,456840160.0000,3,35.091712,1,-9.990597,11.775873,57.668167,8.288347,3482.512054,0,-9.990597085096375
2017-01-13,sz.300582,37.5500,38.3000,36.0400,36.0400,38.2900,8593929,316491072.0000,3,26.042209,1,-5.876208,11.083898,54.279466,7.801306,3277.872406,0,-5.876207887176809
2017-01-16,sz.300582,35.5000,36.6800,33.1000,34.8000,36.0400,7209400,253987227.0000,3,21.846667,1,-3.440626,10.702543,52.411915,7.532893,3165.093222,0,-3.440621531631527
2017-01-17,sz.300582,34.8000,36.7600,32.6700,35.8000,34.8000,9038126,314608544.0000,3,27.388261,1,2.873563,11.010087,53.918004,7.749355,3256.044177,0,2.8735632183908066
2017-01-18,sz.300582,34.8000,34.9800,33.0300,33.1300,35.8000,6339646,216006635.0000,3,19.211048,1,-7.458095,10.188944,49.896745,7.171400,3013.205128,0,-7.458100558659209
2017-01-19,sz.300582,32.4000,33.6400,31.8800,32.5700,33.1300,4887038,160167659.0000,3,14.809206,1,-1.690315,10.016719,49.053335,7.050181,2962.272593,0,-1.690310896468461
2017-01-20,sz.300582,32.6100,34.3300,32.4700,33.7000,32.5700,5261374,177106458.0000,3,15.943558,1,3.469454,10.364244,50.755216,7.294784,3065.047172,0,3.4694504144918703
2017-01-23,sz.300582,33.5500,34.9700,33.4200,34.2300,33.7000,4530712,155659580.0000,3,13.729430,1,1.572697,10.527243,51.553444,7.409509,3113.251178,0,1.572700296735885
2017-01-24,sz.300582,34.0900,34.1800,32.8700,32.8800,34.2300,3668603,122146912.0000,3,11.116979,1,-3.943904,10.112058,49.520223,7.117285,2990.467389,0,-3.9439088518842924
2017-01-25,sz.300582,32.7000,34.3900,32.5000,33.6400,32.8800,3332700,111535268.0000,3,10.099091,1,2.311430,10.345791,50.664851,7.281796,3059.590115,0,2.311435523114347
