date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-01-23,sz.300597,6.6400,7.9600,6.6400,7.9600,5.5300,18386,145362.0000,3,0.030643,1,43.942130,4.798994,32.822356,4.159774,163.303705,0,
2017-01-24,sz.300597,8.7600,8.7600,8.7600,8.7600,7.9600,3800,33288.0000,3,0.006333,1,10.050250,5.281305,36.121086,4.577842,179.716137,0,10.050251256281406
2017-01-25,sz.300597,9.6400,9.6400,9.6400,9.6400,8.7600,7600,73264.0000,3,0.012667,1,10.045660,5.811847,39.749688,5.037716,197.769813,0,10.045662100456632
2017-01-26,sz.300597,10.6000,10.6000,10.6000,10.6000,9.6400,14400,152640.0000,3,0.024000,1,9.958507,6.390620,43.708163,5.539398,217.464732,0,9.958506224066376
2017-02-03,sz.300597,11.6600,11.6600,11.6600,11.6600,10.6000,30635,357204.0000,3,0.051058,1,9.999995,7.029682,48.078979,6.093337,239.211205,0,10.000000000000009
2017-02-06,sz.300597,12.8300,12.8300,12.8300,12.8300,11.6600,38538,494442.0000,3,0.064230,1,10.034310,7.735061,52.903371,6.704761,263.214388,0,10.034305317324188
2017-02-07,sz.300597,14.1100,14.1100,14.1100,14.1100,12.8300,39443,556540.0000,3,0.065738,1,9.976615,8.506759,58.181338,7.373670,289.474280,0,9.976617303195635
2017-02-08,sz.300597,15.5200,15.5200,15.5200,15.5200,14.1100,34888,541461.0000,3,0.058147,1,9.992919,9.356832,63.995348,8.110514,318.401193,0,9.99291282778172
2017-02-09,sz.300597,17.0700,17.0700,17.0700,17.0700,15.5200,51628,881289.0000,3,0.086047,1,9.987108,10.291309,70.386636,8.920520,350.200281,0,9.987113402061865
2017-02-10,sz.300597,18.7800,18.7800,18.7800,18.7800,17.0700,99743,1873173.0000,3,0.166238,1,10.017580,11.322249,77.437670,9.814140,385.281856,0,10.017574692442889
2017-02-13,sz.300597,20.6600,20.6600,20.6600,20.6600,18.7800,106626,2202893.0000,3,0.177710,1,10.010640,12.455680,85.189684,10.796599,423.851072,0,10.010649627263035
2017-02-14,sz.300597,22.7300,22.7300,22.7300,22.7300,20.6600,70617,1605124.0000,3,0.117695,1,10.019360,13.703659,93.725146,11.878350,466.318242,0,10.019361084220723
2017-02-15,sz.300597,25.0000,25.0000,25.0000,25.0000,22.7300,109455,2736375.0000,3,0.182425,1,9.986804,15.072216,103.085290,13.064617,512.888519,0,9.986801583809935
2017-02-16,sz.300597,27.5000,27.5000,27.5000,27.5000,25.0000,1134636,31202490.0000,3,1.891060,1,10.000000,16.579438,113.393820,14.371079,564.177371,0,10.000000000000009
2017-02-17,sz.300597,30.2500,30.2500,30.2500,30.2500,27.5000,4911052,148559323.0000,3,8.185087,1,10.000000,18.237382,124.733201,15.808186,620.595108,0,10.000000000000009
2017-02-20,sz.300597,29.0000,29.0000,27.2300,27.2300,30.2500,7935201,220251191.0000,3,13.225335,1,-9.983473,16.416658,112.280498,14.229981,558.638175,0,-9.983471074380168
2017-02-21,sz.300597,25.3100,28.1900,24.8800,27.3700,27.2300,30178999,798407824.0000,3,50.298332,1,0.514144,16.501062,112.857776,14.303143,561.510351,0,0.5141388174807249
2017-02-22,sz.300597,26.3500,26.8000,25.0400,25.6800,27.3700,21674433,560577504.0000,3,36.124055,1,-6.174645,15.482181,105.889210,13.419974,526.839087,0,-6.174643770551702
2017-02-23,sz.300597,25.4100,26.5900,25.4100,26.4900,25.6800,19013538,495702752.0000,3,31.689230,1,3.154204,15.970520,109.229174,13.843268,543.456675,0,3.1542056074766345
2017-02-24,sz.300597,27.3900,28.6000,26.3200,26.3600,26.4900,21023085,572443424.0000,3,35.038475,1,-0.490748,15.892145,115.058433,14.945204,540.789655,0,-0.49075122687806116
2017-02-27,sz.300597,25.6500,27.3000,25.3100,27.0400,26.3600,17861776,467554016.0000,3,29.769627,1,2.579667,16.302109,118.026556,15.330741,554.740222,0,2.5796661608497695
2017-02-28,sz.300597,26.6300,26.7300,25.8800,26.5000,27.0400,12115169,319106800.0000,3,20.191948,1,-1.997045,15.976549,115.669517,15.024580,543.661830,0,-1.9970414201183395
2017-03-01,sz.300597,26.4100,26.9600,25.7800,25.8500,26.5000,11813891,310684736.0000,3,19.689818,1,-2.452829,15.584672,112.832340,14.656052,530.326729,0,-2.4528301886792447
2017-03-02,sz.300597,25.7400,28.2200,25.6500,27.0000,25.8500,21849194,587633504.0000,3,36.415323,1,4.448741,16.277994,117.851961,15.308062,553.919601,0,4.448742746615086
2017-03-03,sz.300597,26.5600,28.2200,26.2300,28.2200,27.0000,21994894,603040864.0000,3,36.658157,1,4.518516,17.013518,123.177124,15.999760,578.948560,0,4.518518518518522
2017-03-06,sz.300597,28.3000,29.2500,27.5800,28.7500,28.2200,21818780,621932832.0000,3,36.364633,1,1.878103,17.333049,125.490514,16.300251,589.821797,0,1.8781006378455034
2017-03-07,sz.300597,28.8400,31.5900,28.3100,30.5100,28.7500,24587477,728186016.0000,3,40.979128,1,6.121740,18.394133,133.172716,17.298110,625.929149,0,6.121739130434789
2017-03-08,sz.300597,30.0000,31.0700,29.5800,29.9200,30.5100,19890493,600442784.0000,3,33.150822,1,-1.933793,18.038428,130.597432,16.963601,613.824980,0,-1.9337921992789275
2017-03-09,sz.300597,29.5300,29.7500,27.9100,28.2300,29.9200,15486053,442626960.0000,3,25.810088,1,-5.648397,17.019547,123.220772,16.005429,579.153716,0,-5.648395721925137
2017-03-10,sz.300597,28.1000,28.6500,27.6900,27.7000,28.2300,9360216,262869252.0000,3,15.600360,1,-1.877431,16.700016,120.907382,15.704938,568.280479,0,-1.8774353524619203
2017-03-13,sz.300597,27.7200,28.2400,26.8000,28.1800,27.7000,9380036,258437336.0000,3,15.633393,1,1.732850,16.989402,123.002528,15.977081,578.127939,0,1.7328519855595692
2017-03-14,sz.300597,28.1900,29.4000,28.0200,28.7600,28.1800,14571523,419583072.0000,3,24.285872,1,2.058197,17.339078,125.534163,16.305921,590.026952,0,2.058197303051812
2017-03-15,sz.300597,28.4000,29.2800,27.9400,29.1400,28.7600,12635066,363426512.0000,3,21.058443,1,1.321277,17.568175,127.192820,16.521368,597.822858,0,1.3212795549374157
2017-03-16,sz.300597,28.9900,30.5600,28.9900,29.8200,29.1400,17787369,530817072.0000,3,29.645615,1,2.333563,17.978140,130.160943,16.906904,611.773426,0,2.333562113932741
2017-03-17,sz.300597,29.9700,31.1900,28.7100,28.7100,29.8200,18973936,569979120.0000,3,31.623227,1,-3.722336,17.308933,125.315918,16.277573,589.001175,0,-3.7223340040241415
2017-03-20,sz.300597,28.3400,30.7000,28.1900,30.5900,28.7100,17234542,512206320.0000,3,28.724237,1,6.548245,18.442364,133.521907,17.343467,627.570392,0,6.548241030999646
2017-03-21,sz.300597,30.4900,32.5000,29.8800,31.4500,30.5900,23512294,731688304.0000,3,39.187157,1,2.811378,18.960848,137.275710,17.831058,645.213757,0,2.811376266753829
2017-03-22,sz.300597,30.7800,31.9100,30.4000,31.4300,31.4500,16844422,523795536.0000,3,28.074037,1,-0.063594,18.948790,137.188412,17.819718,644.803446,0,-0.06359300476946883
2017-03-23,sz.300597,31.1800,31.6900,28.7700,30.0100,31.4300,15633572,474658544.0000,3,26.055953,1,-4.517977,18.092688,130.990272,17.014628,615.671378,0,-4.5179764556156465
2017-03-24,sz.300597,29.8800,30.9800,29.8500,30.4000,30.0100,10726044,327078544.0000,3,17.876740,1,1.299565,18.327815,132.692578,17.235744,623.672439,0,1.2995668110629799
2017-03-27,sz.300597,30.4900,30.9700,29.6000,30.7400,30.4000,10357685,313506128.0000,3,17.262808,1,1.118422,18.532797,134.176640,17.428512,630.647723,0,1.1184210526315796
2017-03-28,sz.300597,30.4900,30.6800,28.9800,29.0000,30.7400,8836365,263274670.0000,3,14.727275,1,-5.660377,17.483771,126.581736,16.441993,594.950682,0,-5.660377358490565
2017-03-29,sz.300597,28.8000,29.1100,26.3000,26.5000,29.0000,11539116,318093520.0000,3,19.231860,1,-8.620689,15.976549,115.669517,15.024580,543.661830,0,-8.62068965517241
2017-03-30,sz.300597,26.2000,26.5500,25.2100,25.8100,26.5000,8026790,207144401.0000,3,13.377983,1,-2.603776,15.560556,112.657745,14.633374,529.506107,0,-2.6037735849056665
2017-03-31,sz.300597,25.7100,26.2200,24.5300,25.0500,25.8100,7116074,180950174.0000,3,11.860123,1,-2.944596,15.102361,109.340430,14.202480,513.914296,0,-2.944595118171245
2017-04-05,sz.300597,24.8000,25.5700,24.2100,25.5400,25.0500,5256474,131923898.0000,3,8.760790,1,1.956095,15.397776,111.479225,14.480293,523.966911,0,1.9560878243512825
2017-04-06,sz.300597,25.4800,26.2700,25.2200,25.6600,25.5400,5583125,144344933.0000,3,9.305208,1,0.469847,15.470123,112.003012,14.548329,526.428776,0,0.469851213782313
2017-04-07,sz.300597,25.5900,25.7500,25.0300,25.0300,25.6600,4674344,118351686.0000,3,7.790573,1,-2.455180,15.090303,109.253133,14.191141,513.503985,0,-2.4551831644582967
2017-04-10,sz.300597,24.8000,24.8000,22.5300,22.5400,25.0300,8411832,196507124.0000,3,14.019720,1,-9.948061,13.589110,98.384563,12.779397,462.420289,0,-9.948062325209762
2017-04-11,sz.300597,22.4500,23.3800,22.3600,23.3600,22.5400,4728947,108395800.0000,3,7.881578,1,3.637975,14.083479,101.963771,13.244309,479.243032,0,3.637976929902398
2017-04-12,sz.300597,23.1300,23.2400,22.4100,22.4500,23.3600,3499183,79831391.0000,3,5.831972,1,-3.895547,13.534850,97.991723,12.728370,460.573890,0,-3.8955479452054798
2017-04-13,sz.300597,22.3900,22.9300,22.2600,22.5500,22.4500,2200973,49919767.0000,3,3.668288,1,0.445427,13.595139,98.428212,12.785067,462.625444,0,0.44543429844099425
2017-04-14,sz.300597,22.4800,22.6900,21.4000,21.4900,22.5500,3941982,86340995.0000,3,6.569970,1,-4.700663,12.956077,93.801431,12.184084,440.878971,0,-4.700665188470077
2017-04-17,sz.300597,20.9000,20.9000,19.3500,19.3700,21.4900,4887485,97557871.0000,3,8.145808,1,-9.865048,11.677953,84.547870,10.982117,397.386025,0,-9.865053513261968
2017-04-18,sz.300597,19.5000,19.8000,19.0500,19.1100,19.3700,2608431,50842645.0000,3,4.347385,1,-1.342283,11.521202,83.412999,10.834706,392.051984,0,-1.34228187919464
2017-04-19,sz.300597,19.1100,20.0700,19.1100,19.8800,19.1100,3938558,77194072.0000,3,6.564263,1,4.029296,11.985426,86.773962,11.271269,407.848950,0,4.029304029304037
2017-04-20,sz.300597,19.9000,20.1500,19.1500,19.6000,19.8800,3158456,62183494.0000,3,5.264093,1,-1.408445,11.816618,85.551794,11.112519,402.104599,0,-1.4084507042253391
