date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-01-23,sz.300599,8.4500,10.1400,8.4500,10.1400,7.0400,27192,272770.0000,3,0.035779,1,44.034100,4.850658,28.104141,2.613259,59.528900,0,
2017-01-24,sz.300599,11.1500,11.1500,11.1500,11.1500,10.1400,11562,128916.0000,3,0.015213,1,9.960545,5.333810,30.903469,2.873554,65.458307,0,9.960552268244571
2017-01-25,sz.300599,12.2700,12.2700,12.2700,12.2700,11.1500,9112,111804.0000,3,0.011989,1,10.044850,5.869583,34.007674,3.162198,72.033491,0,10.044843049327357
2017-01-26,sz.300599,13.5000,13.5000,13.5000,13.5000,12.2700,25000,337500.0000,3,0.032895,1,10.024450,6.457977,37.416756,3.479190,79.254453,0,10.02444987775062
2017-02-03,sz.300599,14.8500,14.8500,14.8500,14.8500,13.5000,82378,1223313.0000,3,0.108392,1,10.000000,7.103774,41.158432,3.827109,87.179898,0,9.999999999999986
2017-02-06,sz.300599,16.3400,16.3400,16.3400,16.3400,14.8500,148342,2423908.0000,3,0.195187,1,10.033670,7.816544,45.288133,4.211109,95.927241,0,10.033670033670038
2017-02-07,sz.300599,17.9700,17.9700,17.9700,17.9700,16.3400,116392,2091564.0000,3,0.153147,1,9.975515,8.596284,49.805860,4.631189,105.496483,0,9.975520195838428
2017-02-08,sz.300599,19.7700,19.7700,19.7700,19.7700,17.9700,275296,5442601.0000,3,0.362232,1,10.016700,9.457348,54.794761,5.095081,116.063743,0,10.016694490818034
2017-02-09,sz.300599,21.7500,21.7500,21.7500,21.7500,19.7700,132630,2884702.0000,3,0.174513,1,10.015170,10.404518,60.282552,5.605362,127.687729,0,10.01517450682854
2017-02-10,sz.300599,23.9300,23.9300,23.9300,23.9300,21.7500,199558,4775422.0000,3,0.262576,1,10.022990,11.447361,66.324665,6.167187,140.485856,0,10.022988505747122
2017-02-13,sz.300599,23.9300,26.3200,22.6600,26.0200,23.9300,44990708,1117353264.0000,3,59.198300,1,8.733808,12.447152,72.117333,6.705817,152.755619,0,8.733806936899292
2017-02-14,sz.300599,25.0000,26.9900,24.4300,26.1300,26.0200,33611613,860325408.0000,3,44.225807,1,0.422747,12.499772,72.422210,6.734166,153.401396,0,0.42275172943888606
2017-02-15,sz.300599,25.6600,28.7400,25.6600,28.7400,26.1300,38077690,1080791984.0000,3,50.102224,1,9.988522,13.748315,79.656117,7.406810,168.723924,0,9.988518943742818
