date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-01-26,sz.300603,5.4600,6.5500,5.4600,6.5500,4.5500,6400,41541.0000,3,0.024903,1,43.956040,2.701922,17.013724,2.037086,22.838494,0,
2017-02-03,sz.300603,7.2100,7.2100,7.2100,7.2100,6.5500,2588,18659.0000,3,0.010070,1,10.076330,2.974177,18.728084,2.242349,25.139777,0,10.076335877862608
2017-02-06,sz.300603,7.9300,7.9300,7.9300,7.9300,7.2100,2888,22901.0000,3,0.011237,1,9.986127,3.271182,20.598295,2.466273,27.650268,0,9.986130374479885
2017-02-07,sz.300603,8.7200,8.7200,8.7200,8.7200,7.9300,7463,65077.0000,3,0.029039,1,9.962175,3.597063,22.650332,2.711967,30.404835,0,9.962168978562435
2017-02-08,sz.300603,9.5900,9.5900,9.5900,9.5900,8.7200,7511,72030.0000,3,0.029226,1,9.977063,3.955944,24.910170,2.982542,33.438345,0,9.977064220183474
2017-02-09,sz.300603,10.5500,10.5500,10.5500,10.5500,9.5900,5122,54037.0000,3,0.019930,1,10.010430,4.351951,27.403785,3.281107,36.785666,0,10.010427528675713
2017-02-10,sz.300603,11.6100,11.6100,11.6100,11.6100,10.5500,5900,68499.0000,3,0.022957,1,10.047390,4.789209,30.157151,3.610773,40.481667,0,10.047393364928903
2017-02-13,sz.300603,12.7700,12.7700,12.7700,12.7700,11.6100,10300,131531.0000,3,0.040078,1,9.991394,5.267717,33.170269,3.971539,44.526346,0,9.991386735572782
2017-02-14,sz.300603,14.0500,14.0500,14.0500,14.0500,12.7700,7800,109590.0000,3,0.030350,1,10.023490,5.795727,36.495088,4.369626,48.989441,0,10.023492560689128
2017-02-15,sz.300603,15.4600,15.4600,15.4600,15.4600,14.0500,14688,227076.0000,3,0.057152,1,10.035590,6.377362,40.157584,4.808144,53.905820,0,10.035587188612105
2017-02-16,sz.300603,17.0100,17.0100,17.0100,17.0100,15.4600,17629,299869.0000,3,0.068595,1,10.025870,7.016748,44.183733,5.290202,59.310349,0,10.025873221216042
2017-02-17,sz.300603,18.7100,18.7100,18.7100,18.7100,17.0100,26674,499070.0000,3,0.103790,1,9.994114,7.718010,48.599509,5.818911,65.237897,0,9.994121105232212
2017-02-20,sz.300603,20.5800,20.5800,20.5800,20.5800,18.7100,85340,1756297.0000,3,0.332062,1,9.994660,8.489399,53.456862,6.400492,71.758200,0,9.9946552645644
2017-02-21,sz.300603,22.6400,22.6400,22.6400,22.6400,20.5800,84289,1908302.0000,3,0.327973,1,10.009720,9.339164,58.807743,7.041163,78.940993,0,10.009718172983483
2017-02-22,sz.300603,24.9000,24.9000,24.9000,24.9000,22.6400,82694,2059080.0000,3,0.321767,1,9.982333,10.271430,64.678128,7.744035,86.821145,0,9.982332155477014
2017-02-23,sz.300603,27.3900,27.3900,27.3900,27.3900,24.9000,62391,1708889.0000,3,0.242767,1,9.999999,11.298573,71.145940,8.518439,95.503260,0,10.000000000000009
2017-02-24,sz.300603,30.1300,30.1300,30.1300,30.1300,27.3900,82098,2473612.0000,3,0.319447,1,10.003650,12.428843,78.263132,9.370593,105.057073,0,10.003650967506372
2017-02-27,sz.300603,33.1400,33.1400,33.1400,33.1400,30.1300,57292,1898656.0000,3,0.222926,1,9.990044,13.670490,86.081652,10.306720,115.552320,0,9.990043146365757
2017-02-28,sz.300603,36.4500,36.4500,36.4500,36.4500,33.1400,76677,2794876.0000,3,0.298354,1,9.987935,15.035889,106.385023,10.308343,127.093604,0,9.987929993965006
2017-03-01,sz.300603,40.1000,40.1000,40.0000,40.1000,36.4500,6321745,253498384.0000,3,24.598230,1,10.013710,16.541540,117.038119,11.340592,139.820399,0,10.013717421124824
2017-03-02,sz.300603,40.1000,44.1100,38.5000,44.1100,40.1000,17440480,707273952.0000,3,67.861790,1,10.000010,18.195694,128.741931,12.474651,153.802439,0,9.999999999999986
2017-03-03,sz.300603,44.1100,48.4000,40.0000,44.0000,44.1100,17596894,786024560.0000,3,68.470405,1,-0.249378,18.150318,128.420879,12.443542,153.418891,0,-0.24937655860348684
2017-03-06,sz.300603,42.4800,48.4000,41.4500,48.4000,44.0000,16625363,753907472.0000,3,64.690128,1,10.000000,19.965350,141.262967,13.687896,168.760781,0,9.999999999999986
2017-03-07,sz.300603,46.6500,48.3600,45.8800,47.5000,48.4000,15271681,719805136.0000,3,59.422883,1,-1.859507,19.594093,138.636176,13.433369,165.622667,0,-1.8595041322314043
2017-03-08,sz.300603,46.5900,49.4000,46.2300,48.0000,47.5000,12189669,584571696.0000,3,47.430619,1,1.052632,19.800347,140.095504,13.574773,167.366063,0,1.0526315789473717
2017-03-09,sz.300603,49.6000,50.0000,45.9500,47.3000,48.0000,10869965,521762160.0000,3,42.295584,1,-1.458335,19.511592,138.052445,13.376808,164.925308,0,-1.4583333333333393
2017-03-10,sz.300603,46.5000,47.3000,43.7700,44.0000,47.3000,10530493,478505840.0000,3,40.974681,1,-6.976743,18.150318,128.420879,12.443542,153.418891,0,-6.976744186046502
2017-03-13,sz.300603,43.9600,45.7500,43.9000,45.5000,44.0000,8399283,377874096.0000,3,32.682035,1,3.409091,18.769079,132.798863,12.867754,158.649081,0,3.409090909090917
2017-03-14,sz.300603,46.3500,49.3600,45.8900,46.9100,45.5000,11731526,557613328.0000,3,45.647961,1,3.098901,19.350714,136.914169,13.266513,163.565459,0,3.0989010989010968
2017-03-15,sz.300603,47.2100,51.6000,45.3000,51.6000,46.9100,15216543,752105392.0000,3,59.208339,1,9.997866,21.285373,150.602667,14.592881,179.918518,0,9.997868258367104
2017-03-16,sz.300603,50.0200,55.9800,49.8800,52.5000,51.6000,16305287,849682496.0000,3,63.444696,1,1.744189,21.656630,153.229458,14.847408,183.056632,0,1.744186046511631
