date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-02-08,sz.300605,11.2800,13.5400,11.2800,13.5400,9.4000,5517,74679.0000,3,0.026271,1,44.042560,4.916060,30.225935,3.443990,-91.274636,0,
2017-02-09,sz.300605,14.8900,14.8900,14.8900,14.8900,13.5400,1500,22335.0000,3,0.007143,1,9.970461,5.406213,33.239599,3.787372,-100.375135,0,9.970457902511098
2017-02-10,sz.300605,16.3800,16.3800,16.3800,16.3800,14.8900,3004,49205.0000,3,0.014305,1,10.006710,5.947198,36.565792,4.166363,-110.419389,0,10.00671591672262
2017-02-13,sz.300605,18.0200,18.0200,18.0200,18.0200,16.3800,2497,44995.0000,3,0.011890,1,10.012220,6.542644,40.226835,4.583508,-121.474811,0,10.012210012210021
2017-02-14,sz.300605,19.8200,19.8200,19.8200,19.8200,18.0200,3897,77238.0000,3,0.018557,1,9.988896,7.196182,44.245054,5.041350,-133.608809,0,9.98890122086571
2017-02-15,sz.300605,21.8000,21.8000,21.8000,21.8000,19.8200,4816,104988.0000,3,0.022933,1,9.989907,7.915074,48.665095,5.544976,-146.956208,0,9.989909182643796
2017-02-16,sz.300605,23.9800,23.9800,23.9800,23.9800,21.8000,5916,141865.0000,3,0.028171,1,10.000000,8.706581,53.531604,6.099474,-161.651829,0,10.000000000000009
2017-02-17,sz.300605,26.3800,26.3800,26.3800,26.3800,23.9800,12500,329750.0000,3,0.059524,1,10.008340,9.577965,58.889230,6.709930,-177.830494,0,10.008340283569627
2017-02-20,sz.300605,29.0200,29.0200,29.0200,29.0200,26.3800,23089,670042.0000,3,0.109948,1,10.007590,10.536488,64.782617,7.381432,-195.627026,0,10.007581501137231
2017-02-21,sz.300605,31.9200,31.9200,31.9200,31.9200,29.0200,37100,1184232.0000,3,0.176667,1,9.993107,11.589411,71.256414,8.119066,-215.176246,0,9.993108201240531
2017-02-22,sz.300605,35.1100,35.1100,35.1100,35.1100,31.9200,30094,1056600.0000,3,0.143305,1,9.993735,12.747626,78.377591,8.930464,-236.680388,0,9.993734335839587
2017-02-23,sz.300605,38.6200,38.6200,38.6200,38.6200,35.1100,29745,1148751.0000,3,0.141643,1,9.997147,14.022025,86.213118,9.823256,-260.341686,0,9.997151808601522
2017-02-24,sz.300605,42.4800,42.4800,42.4800,42.4800,38.6200,222580,9455198.0000,3,1.059905,1,9.994823,15.423501,94.829965,10.805073,-286.362373,0,9.994821336095283
2017-02-27,sz.300605,46.7300,46.7300,46.7300,46.7300,42.4800,234264,10947156.0000,3,1.115543,1,10.004710,16.966578,104.317426,11.886089,-315.012092,0,10.00470809792844
2017-02-28,sz.300605,49.9900,51.3800,48.6700,50.8500,46.7300,13653384,680636448.0000,3,65.016114,1,8.816604,18.462454,113.514683,12.934039,-342.785467,0,8.816606034667252
2017-03-01,sz.300605,49.1900,50.4400,48.5200,48.5600,50.8500,8745062,430288512.0000,3,41.643152,1,-4.503436,17.631008,108.402615,12.351562,-327.348324,0,-4.5034414945919305
2017-03-02,sz.300605,48.1000,49.7500,47.4500,48.8800,48.5600,6352293,309480512.0000,3,30.249014,1,0.658978,17.747193,109.116965,12.432956,-329.505480,0,0.6589785831960571
2017-03-03,sz.300605,48.1600,48.3500,47.0000,47.3900,48.8800,4474163,212968939.0000,3,21.305538,1,-3.048285,17.206208,105.790773,12.053965,-319.461225,0,-3.048281505728323
2017-03-06,sz.300605,47.3000,49.4600,47.2000,48.8800,47.3900,4356741,211490742.0000,3,20.746386,1,3.144127,17.747193,109.116965,12.432956,-329.505480,0,3.1441232327495294
2017-03-07,sz.300605,49.0000,51.3500,48.3500,50.7300,48.8800,6773576,336702576.0000,3,32.255124,1,3.784776,18.418885,113.246801,12.903516,-341.976534,0,3.7847790507364865
2017-03-08,sz.300605,50.2000,51.5000,49.7100,50.9700,50.7300,5622517,283307664.0000,3,26.773890,1,0.473096,18.506023,113.782564,12.964562,-343.594400,0,0.47309284447072386
2017-03-09,sz.300605,50.8800,50.8800,48.0000,48.9000,50.9700,4194739,206242159.0000,3,19.974948,1,-4.061212,17.754454,109.161612,12.438043,-329.640302,0,-4.061212477928189
2017-03-10,sz.300605,48.7300,49.1800,48.1000,48.2100,48.9000,2679169,130251484.0000,3,12.757948,1,-1.411048,17.503931,107.621295,12.262537,-324.988936,0,-1.411042944785268
2017-03-13,sz.300605,47.8000,49.5000,47.0800,49.5000,48.2100,3307433,159872794.0000,3,15.749681,1,2.675795,17.972300,110.501018,12.590657,-333.684968,0,2.675793403858129
2017-03-14,sz.300605,49.5100,51.3400,49.0300,49.7300,49.5000,4634426,232924905.0000,3,22.068695,1,0.464645,18.055808,111.014457,12.649159,-335.235424,0,0.46464646464645654
2017-03-15,sz.300605,49.9700,54.1800,49.5100,52.0100,49.7300,8054332,418435312.0000,3,38.353962,1,4.584755,18.883623,116.104201,13.229093,-350.605155,0,4.58475769153428
2017-03-16,sz.300605,51.8200,54.4900,51.5100,53.1000,52.0100,7125607,376229952.0000,3,33.931462,1,2.095751,19.279377,118.537456,13.506342,-357.952966,0,2.0957508171505657
2017-03-17,sz.300605,52.6800,53.9300,50.7000,50.9100,53.1000,6177376,322424240.0000,3,29.416076,1,-4.124291,18.484239,113.648623,12.949300,-343.189934,0,-4.12429378531074
2017-03-20,sz.300605,50.3700,52.5600,50.3200,52.5500,50.9100,3515230,181386401.0000,3,16.739190,1,3.221370,19.079685,117.309667,13.366445,-354.245355,0,3.221371046945598
2017-03-21,sz.300605,52.5200,53.5100,51.9100,53.3700,52.5500,4606888,243513419.0000,3,21.937562,1,1.560418,19.377408,119.140189,13.575018,-359.773066,0,1.5604186489058147
2017-03-22,sz.300605,52.8100,54.4000,52.2700,53.7500,53.3700,4895411,261101763.0000,3,23.311481,1,0.712013,19.515377,119.988480,13.671673,-362.334688,0,0.7120104927862192
2017-03-23,sz.300605,54.0000,54.4400,51.0000,52.3000,53.7500,4751971,251247670.0000,3,22.628433,1,-2.697676,18.988915,116.751581,13.302856,-352.560077,0,-2.6976744186046564
