date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-03-01,sz.300619,13.1800,15.8100,13.1800,15.8100,10.9800,4201,64828.0000,3,0.022489,1,43.989080,5.762738,27.382968,4.034059,-196.227548,0,
2017-03-02,sz.300619,17.3900,17.3900,17.3900,17.3900,15.8100,4009,69716.0000,3,0.021461,1,9.993668,6.338647,30.119533,4.437210,-215.837892,0,9.993674889310554
2017-03-03,sz.300619,19.1300,19.1300,19.1300,19.1300,17.3900,1300,24869.0000,3,0.006959,1,10.005750,6.972876,33.133218,4.881186,-237.434092,0,10.005750431282333
2017-03-06,sz.300619,21.0400,21.0400,21.0400,21.0400,19.1300,4200,88368.0000,3,0.022484,1,9.984327,7.669070,36.441344,5.368539,-261.140267,0,9.984317825405121
2017-03-07,sz.300619,23.1400,23.1400,23.1400,23.1400,21.0400,4100,94874.0000,3,0.021949,1,9.980981,8.434519,40.078551,5.904373,-287.204647,0,9.980988593155903
2017-03-08,sz.300619,25.4500,25.4500,25.4500,25.4500,23.1400,2800,71260.0000,3,0.014989,1,9.982720,9.276513,44.079478,6.493789,-315.875465,0,9.98271391529817
2017-03-09,sz.300619,28.0000,28.0000,28.0000,28.0000,25.4500,6200,173600.0000,3,0.033191,1,10.019640,10.205987,48.496085,7.144444,-347.525070,0,10.019646365422407
2017-03-10,sz.300619,30.8000,30.8000,30.8000,30.8000,28.0000,6500,200200.0000,3,0.034797,1,9.999997,11.226586,53.345694,7.858889,-382.277577,0,10.000000000000009
2017-03-13,sz.300619,33.8800,33.8800,33.8800,33.8800,30.8000,11800,399784.0000,3,0.063169,1,10.000010,12.349244,58.680263,8.644777,-420.505335,0,10.000000000000009
2017-03-14,sz.300619,37.2700,37.2700,37.2700,37.2700,33.8800,11100,413697.0000,3,0.059422,1,10.005900,13.584898,64.551754,9.509765,-462.580691,0,10.005903187721366
2017-03-15,sz.300619,41.0000,41.0000,41.0000,41.0000,37.2700,12600,516600.0000,3,0.067452,1,10.008050,14.944481,71.012125,10.461507,-508.875995,0,10.008049369466043
