date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2018-01-19,sz.300624,26.2100,26.2100,26.2100,26.2100,23.8300,1400,36694.0000,3,0.007000,1,9.987407,8.776985,29.938709,4.739642,278.160337,0,
2018-01-22,sz.300624,28.8300,28.8300,28.8300,28.8300,26.2100,2600,74958.0000,3,0.013000,1,9.996188,9.654348,32.931437,5.213425,305.965758,0,9.9961846623426
2018-01-23,sz.300624,31.7100,31.7100,31.7100,31.7100,28.8300,2983,94590.9300,3,0.014915,1,9.989591,10.618779,36.221154,5.734225,336.530495,0,9.989594172736748
2018-01-24,sz.300624,34.8800,34.8800,34.8800,34.8800,31.7100,9500,331360.0000,3,0.047500,1,9.996853,11.680322,39.842127,6.307467,370.172932,0,9.996846420687477
2018-01-25,sz.300624,38.3700,38.3700,38.3700,38.3700,34.8800,16100,617757.0000,3,0.080500,1,10.005730,12.849024,43.828625,6.938575,407.211451,0,10.00573394495412
2018-01-26,sz.300624,42.2100,42.2100,42.2100,42.2100,38.3700,48841,2061578.6100,3,0.244205,1,10.007820,14.134930,48.214914,7.632975,447.964434,0,10.007818608287744
2018-01-29,sz.300624,46.4300,46.4300,46.4300,46.4300,42.2100,80404,3733157.7200,3,0.402020,1,9.997634,15.548089,53.035263,8.396092,492.750264,0,9.997630893153286
2018-01-30,sz.300624,51.0700,51.0700,51.0700,51.0700,46.4300,303700,15509959.0000,3,1.518500,1,9.993538,17.101893,58.335363,9.235159,541.993453,0,9.99353866034891
2018-01-31,sz.300624,56.1800,56.1800,56.1800,56.1800,51.0700,281352,15806355.3600,3,1.406760,1,10.005880,18.813087,64.172326,10.159217,596.224636,0,10.005874290189931
2018-02-01,sz.300624,60.0000,61.8000,57.3300,61.0000,56.1800,14508743,860153604.3200,3,72.543715,1,8.579565,20.427168,69.678033,11.030834,647.378120,0,8.579565681737279
2018-02-02,sz.300624,58.5500,60.4400,54.9000,54.9000,61.0000,8595102,493262821.2700,3,42.975510,1,-9.999997,18.384451,62.710229,9.927750,582.640308,0,-9.999999999999998
2018-02-05,sz.300624,50.0000,51.2000,49.4100,49.4100,54.9000,5127411,255326216.7000,3,25.637055,1,-10.000000,16.546006,56.439206,8.934975,524.376278,0,-10.000000000000009
2018-02-06,sz.300624,44.8200,46.8000,44.4700,44.4700,49.4100,6467867,291226842.6900,3,32.339335,1,-9.997973,14.891740,50.796428,8.041659,471.949263,0,-9.997976118194696
2018-02-07,sz.300624,47.0000,48.9200,45.0000,47.3000,44.4700,8438467,402867446.9500,3,42.192335,1,6.363836,15.839427,54.029032,8.553417,501.983362,0,6.363840791544861
2018-02-08,sz.300624,45.0300,48.8500,43.5000,47.7000,47.3000,6968119,322202133.5500,3,34.840595,1,0.845669,15.973376,54.485937,8.625750,506.228465,0,0.8456659619450413
