date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-08-08,sz.300690,38.5400,46.2500,38.5400,46.2500,32.1200,7900,360363.0000,3,0.045559,1,43.991290,8.200232,30.184603,6.589078,73.586942,0,
2017-08-09,sz.300690,50.8800,50.8800,50.8800,50.8800,46.2500,5300,269664.0000,3,0.030565,1,10.010810,9.021142,33.206327,7.248698,80.953592,0,10.01081081081081
2017-08-10,sz.300690,55.9700,55.9700,55.9700,55.9700,50.8800,8700,486939.0000,3,0.050173,1,10.003930,9.923611,36.528264,7.973853,89.052133,0,10.003930817610062
2017-08-11,sz.300690,61.5700,61.5700,55.7000,57.2500,55.9700,6532877,377764768.0000,3,37.675185,1,2.286937,10.150558,37.363644,8.156210,91.088702,0,2.286939431838486
2017-08-14,sz.300690,55.6800,55.6800,53.5500,54.1500,57.2500,4015661,217895566.0000,3,23.158368,1,-5.414845,9.600921,35.340460,7.714564,86.156388,0,-5.414847161572056
2017-08-15,sz.300690,54.0800,57.8100,53.6400,56.8800,54.1500,4152367,229290610.0000,3,23.946753,1,5.041550,10.084956,37.122167,8.103497,90.500006,0,5.041551246537401
2017-08-16,sz.300690,56.7200,60.0000,55.7000,57.3400,56.8800,4901609,282699104.0000,3,28.267641,1,0.808719,10.166515,37.422381,8.169032,91.231898,0,0.8087201125175802
2017-08-17,sz.300690,56.5000,58.1000,55.7400,55.7400,57.3400,3644241,207039678.0000,3,21.016384,1,-2.790370,9.882831,36.378157,7.941085,88.686188,0,-2.790373212417163
2017-08-18,sz.300690,54.8100,55.1300,53.8000,53.9900,55.7400,2621782,142630440.0000,3,15.119850,1,-3.139577,9.572552,35.236037,7.691769,85.901817,0,-3.139576605669181
2017-08-21,sz.300690,53.7100,57.1000,53.7100,57.0600,53.9900,3184848,177647410.0000,3,18.367059,1,5.686237,10.116870,37.239642,8.129141,90.786399,0,5.68623819225782
2017-08-22,sz.300690,57.0700,62.7700,56.7700,62.7700,57.0600,6909475,420426304.0000,3,39.847030,1,10.007010,11.129266,40.966217,8.942625,99.871403,0,10.007010164738883
2017-08-23,sz.300690,65.0200,68.9900,63.4000,66.9300,62.7700,7764922,516663264.0000,3,44.780404,1,6.627370,11.866844,43.681200,9.535286,106.490250,0,6.627369762625457
2017-08-24,sz.300690,64.1600,71.3000,64.0200,64.7700,66.9300,8031883,540002272.0000,3,46.319971,1,-3.227258,11.483871,42.271497,9.227558,103.053541,0,-3.227252353204857
2017-08-25,sz.300690,63.1700,70.9600,63.1700,68.0700,64.7700,7016729,468837392.0000,3,40.465565,1,5.094956,12.068969,44.425209,9.697698,108.304069,0,5.094951366373324
2017-08-28,sz.300690,69.0000,73.5200,67.5200,73.0100,68.0700,6945270,490815936.0000,3,40.053460,1,7.257239,12.944842,47.649251,10.401483,116.163950,0,7.257235199059808
2017-08-29,sz.300690,71.0200,78.3800,69.9700,70.3000,73.0100,7867627,573201872.0000,3,45.372705,1,-3.711819,12.480337,43.650517,8.657227,561.751472,0,-3.7118202985892412
2017-08-30,sz.300690,67.0000,69.8800,65.7000,66.7700,70.3000,4958677,334311792.0000,3,28.596753,1,-5.021346,11.853657,41.458678,8.222519,533.544037,0,-5.021337126600289
2017-08-31,sz.300690,66.7200,71.4900,66.7200,71.4900,66.7700,4838922,334947792.0000,3,27.906125,1,7.069045,12.691597,44.389410,8.803772,571.260494,0,7.069042983375762
2017-09-01,sz.300690,70.5000,71.6000,68.5700,69.2000,71.4900,3818235,267058459.0000,3,22.019810,1,-3.203247,12.285054,42.967508,8.521766,552.961620,0,-3.2032452091201424
2017-09-04,sz.300690,68.6000,68.6000,64.6100,65.2200,69.2000,3879144,257949401.0000,3,22.371073,1,-5.751439,11.578486,40.496255,8.031641,521.158336,0,-5.751445086705209
2017-09-05,sz.300690,65.9000,67.1000,65.2900,66.1200,65.2200,2166707,143674856.0000,3,12.495427,1,1.379947,11.738263,41.055081,8.142473,528.350033,0,1.3799448022079108
2017-09-06,sz.300690,65.5000,65.5100,63.5100,65.4500,66.1200,2339580,151029221.0000,3,13.492388,1,-1.013318,11.619318,40.639066,8.059965,522.996214,0,-1.0133091349062373
2017-09-07,sz.300690,65.2000,68.8800,65.2000,66.5500,65.4500,3219085,216825224.0000,3,18.564504,1,1.680682,11.814601,41.322076,8.195427,531.786066,0,1.680672268907557
2017-09-08,sz.300690,66.9600,68.8800,65.0100,68.4300,66.5500,3134074,211626684.0000,3,18.074245,1,2.824939,12.148357,42.489401,8.426943,546.808723,0,2.824943651389944
2017-09-11,sz.300690,67.9600,71.8000,67.9600,71.6100,68.4300,3533363,249701733.0000,3,20.376949,1,4.647085,12.712901,44.463920,8.818550,572.219387,0,4.647084612012264
