date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-09-26,sz.300706,11.9600,14.3600,11.9600,14.3600,9.9700,5700,79812.0000,3,0.029082,1,44.032090,5.012255,31.250713,6.446699,-28.192238,0,
2017-09-27,sz.300706,15.8000,15.8000,15.8000,15.8000,14.3600,2000,31600.0000,3,0.010204,1,10.027860,5.514877,34.384489,7.093164,-31.019315,0,10.027855153203348
2017-09-28,sz.300706,17.3800,17.3800,17.3800,17.3800,15.8000,2000,34760.0000,3,0.010204,1,9.999993,6.066365,37.822938,7.802481,-34.121247,0,9.999999999999986
2017-09-29,sz.300706,19.1200,19.1200,19.1200,19.1200,17.3800,4500,86040.0000,3,0.022959,1,10.011520,6.673699,41.609585,8.583626,-37.537298,0,10.011507479861926
2017-10-09,sz.300706,21.0300,21.0300,21.0300,21.0300,19.1200,5200,109356.0000,3,0.026531,1,9.989539,7.340371,45.766190,9.441091,-41.287101,0,9.98953974895398
2017-10-10,sz.300706,23.1300,23.1300,23.1300,23.1300,21.0300,6600,152658.0000,3,0.033673,1,9.985727,8.073361,50.336281,10.383854,-45.409921,0,9.9857346647646
2017-10-11,sz.300706,25.4400,25.4400,25.4400,25.4400,23.1300,10700,272208.0000,3,0.054592,1,9.987036,8.879650,55.363380,11.420892,-49.945024,0,9.987029831387817
2017-10-12,sz.300706,27.9800,27.9800,27.9800,27.9800,25.4400,12300,344154.0000,3,0.062755,1,9.984273,9.766219,60.891013,12.561186,-54.931673,0,9.984276729559749
2017-10-13,sz.300706,30.7800,30.7800,30.7800,30.7800,27.9800,38833,1195279.7400,3,0.198128,1,10.007150,10.743539,66.984467,13.818202,-60.428767,0,10.007147962830597
2017-10-16,sz.300706,33.8600,33.8600,33.8600,33.8600,30.7800,46465,1573304.9000,3,0.237066,1,10.006500,11.818591,73.687266,15.200920,-66.475570,0,10.00649772579596
2017-10-17,sz.300706,37.2500,37.2500,37.2500,37.2500,33.8600,75600,2816100.0000,3,0.385714,1,10.011810,13.001847,81.064698,16.722808,-73.130980,0,10.011813349084475
2017-10-18,sz.300706,40.9800,40.9800,40.9800,40.9800,37.2500,65042,2665421.1600,3,0.331847,1,10.013420,14.303776,89.182049,18.397333,-80.453894,0,10.01342281879194
2017-10-19,sz.300706,45.0800,45.0800,45.0800,45.0800,40.9800,72700,3277316.0000,3,0.370918,1,10.004890,15.734852,98.104606,20.237964,-88.503210,0,10.004880429477803
2017-10-20,sz.300706,49.5900,49.5900,49.5900,49.5900,45.0800,326499,16191085.4100,3,1.665811,1,10.004430,17.309035,107.919419,22.262659,-97.357458,0,10.0044365572316
2017-10-23,sz.300706,54.5500,54.5500,54.5500,54.5500,49.5900,337369,18403478.9500,3,1.721270,1,10.002020,19.040288,118.713537,24.489374,-107.095167,0,10.002016535591828
2017-10-24,sz.300706,60.0100,60.0100,60.0100,60.0100,54.5500,313069,18787270.6900,3,1.597291,1,10.009160,20.946062,130.595772,26.940556,-117.814500,0,10.00916590284142
