date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-11-06,sz.300717,17.0900,20.5100,17.0900,20.5100,14.2400,4800,97251.0000,3,0.030000,1,44.030900,4.443323,28.774490,4.996067,260.348451,0,
2017-11-07,sz.300717,22.5600,22.5600,22.5600,22.5600,20.5100,1471,33185.7600,3,0.009194,1,9.995121,4.887439,31.650536,5.495431,286.370603,0,9.995124329595306
2017-11-08,sz.300717,24.8200,24.8200,24.8200,24.8200,22.5600,500,12410.0000,3,0.003125,1,10.017730,5.377049,34.821201,6.045948,315.058438,0,10.017730496453915
2017-11-09,sz.300717,27.3000,27.3000,27.3000,27.3000,24.8200,1800,49140.0000,3,0.011250,1,9.991940,5.914321,38.300515,6.650056,346.538894,0,9.991941982272357
2017-11-10,sz.300717,30.0300,30.0300,30.0300,30.0300,27.3000,2600,78078.0000,3,0.016250,1,10.000010,6.505753,42.130567,7.315061,381.192784,0,10.000000000000009
2017-11-13,sz.300717,33.0300,33.0300,33.0300,33.0300,30.0300,2800,92484.0000,3,0.017500,1,9.990004,7.155679,46.339415,8.045836,419.273981,0,9.990009990009984
2017-11-14,sz.300717,36.3300,36.3300,36.3300,36.3300,33.0300,21800,791994.0000,3,0.136250,1,9.990927,7.870597,50.969148,8.849689,461.163298,0,9.990917347865569
2017-11-15,sz.300717,39.9600,39.9600,39.9600,39.9600,36.3300,43200,1726272.0000,3,0.270000,1,9.991735,8.657006,56.061853,9.733927,507.241546,0,9.991742361684564
2017-11-16,sz.300717,43.9600,43.9600,43.9600,43.9600,39.9600,29500,1296820.0000,3,0.184375,1,10.010010,9.523574,61.673651,10.708295,558.016476,0,10.010010010010006
2017-11-17,sz.300717,48.3600,48.3600,48.3600,48.3600,43.9600,121900,5895084.0000,3,0.761875,1,10.009100,10.476797,67.846627,11.780098,613.868898,0,10.009099181073712
2017-11-20,sz.300717,48.5000,52.2000,47.2300,48.7000,48.3600,8689953,429593716.1400,3,54.312206,1,0.703061,10.550456,68.323630,11.862920,618.184767,0,0.7030603804797364
2017-11-21,sz.300717,48.5800,48.5800,43.8300,43.8300,48.7000,6749318,299708475.2500,3,42.183237,1,-9.999998,9.495410,61.491267,10.676628,556.366291,0,-10.000000000000009
2017-11-22,sz.300717,41.9000,43.8300,40.1000,41.2200,43.8300,5401812,225058771.3100,3,33.761325,1,-5.954827,8.929975,57.829570,10.040853,523.235649,0,-5.954825462012314
2017-11-23,sz.300717,40.9400,43.4300,40.5900,40.8100,41.2200,4357968,182520323.8800,3,27.237300,1,-0.994662,8.841152,57.254360,9.940980,518.031219,0,-0.9946627850557888
2017-11-24,sz.300717,39.2000,40.9900,38.6800,39.2200,40.8100,3415765,135524880.1100,3,21.348531,1,-3.896104,8.496691,55.023671,9.553670,497.848184,0,-3.8961038961039085
2017-11-27,sz.300717,38.7700,40.3700,38.4700,39.0000,39.2200,2420501,95123583.1800,3,15.128131,1,-0.560941,8.449030,54.715022,9.500079,495.055563,0,-0.56093829678735
2017-11-28,sz.300717,39.0000,41.9800,39.0000,40.4500,39.0000,3092179,125358319.4100,3,19.326119,1,3.717951,8.763161,56.749299,9.853287,513.461475,0,3.717948717948727
2017-11-29,sz.300717,39.8000,40.3500,36.6600,38.3500,40.4500,3320375,127459939.5300,3,20.752344,1,-5.191600,8.308213,53.803105,9.341745,486.804637,0,-5.191594561186652
2017-11-30,sz.300717,37.9000,39.9700,37.5800,39.4800,38.3500,2668126,103712650.6700,3,16.675787,1,2.946548,8.553018,55.388438,9.617003,501.148555,0,2.9465449804432664
2017-12-01,sz.300717,38.8200,39.4900,38.0600,38.6500,39.4800,1969054,76293330.6200,3,12.306588,1,-2.102325,8.373206,54.223990,9.414822,490.612757,0,-2.102330293819654
2017-12-04,sz.300717,37.9900,37.9900,34.7900,34.7900,38.6500,3236654,115907954.0900,3,20.229088,1,-9.987064,7.536968,48.808606,8.474558,441.614950,0,-9.987063389391981
2017-12-05,sz.300717,33.9900,34.9000,32.5300,32.9800,34.7900,2173270,73324938.7300,3,13.582937,1,-5.202649,7.144847,46.269267,8.033657,418.639294,0,-5.202644438056925
2017-12-06,sz.300717,33.4900,33.9800,32.7200,33.8100,32.9800,1780849,59690850.0300,3,11.130306,1,2.516682,7.324659,47.433715,8.235838,429.175092,0,2.5166767738023177
2017-12-07,sz.300717,33.7100,34.0000,33.2200,33.3200,33.8100,1406792,47253092.2600,3,8.792450,1,-1.449280,7.218505,46.746270,8.116478,422.955163,0,-1.449275362318847
2017-12-08,sz.300717,33.3500,35.4000,33.0000,34.5400,33.3200,2305503,79278136.2900,3,14.409394,1,3.661468,7.482808,48.457868,8.413660,438.441517,0,3.6614645858343398
2017-12-11,sz.300717,34.5500,35.5200,34.3000,35.0600,34.5400,1524455,53301202.9500,3,9.527844,1,1.505502,7.595462,49.187402,8.540328,445.042258,0,1.5055008685582072
2017-12-12,sz.300717,34.7000,34.9700,33.3900,33.4200,35.0600,1677833,57140444.0800,3,10.486456,1,-4.677704,7.240169,46.886565,8.140837,424.224536,0,-4.677695379349689
2017-12-13,sz.300717,33.1900,34.5800,33.1900,34.2600,33.4200,1305278,44294757.3700,3,8.157987,1,2.513466,7.422148,48.065043,8.345454,434.887272,0,2.5134649910233176
