date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-11-10,sz.300722,11.7500,12.9500,11.7500,12.9500,8.9900,4500,58031.0000,3,0.022500,1,44.048940,4.675120,27.762873,5.418992,-80.042597,0,
2017-11-13,sz.300722,14.2500,14.2500,14.2500,14.2500,12.9500,2300,32775.0000,3,0.011500,1,10.038610,5.144437,30.549879,5.962983,-88.077762,0,10.038610038610042
2017-11-14,sz.300722,15.6800,15.6800,15.6800,15.6800,14.2500,1000,15680.0000,3,0.005000,1,10.035090,5.660686,33.615586,6.561374,-96.916442,0,10.035087719298241
2017-11-15,sz.300722,17.2500,17.2500,17.2500,17.2500,15.6800,2300,39675.0000,3,0.011500,1,10.012750,6.227476,36.981433,7.218348,-106.620448,0,10.012755102040828
2017-11-16,sz.300722,18.9800,18.9800,18.9800,18.9800,17.2500,3000,56940.0000,3,0.015000,1,10.028980,6.852029,40.690295,7.942275,-117.313398,0,10.028985507246379
2017-11-17,sz.300722,20.8800,20.8800,20.8800,20.8800,18.9800,11100,231768.0000,3,0.055500,1,10.010540,7.537954,44.763613,8.737339,-129.057099,0,10.01053740779767
2017-11-20,sz.300722,22.9700,22.9700,22.9700,22.9700,20.8800,16520,379464.4000,3,0.082600,1,10.009580,8.292471,49.244261,9.611910,-141.975171,0,10.009578544061304
2017-11-21,sz.300722,25.2700,25.2700,25.2700,25.2700,22.9700,7700,194579.0000,3,0.038500,1,10.013070,9.122801,54.175119,10.574356,-156.191231,0,10.013060513713533
2017-11-22,sz.300722,27.8000,27.8000,27.8000,27.8000,25.2700,14100,391980.0000,3,0.070500,1,10.011870,10.036164,59.599063,11.633047,-171.828896,0,10.01187178472498
2017-11-23,sz.300722,30.5800,30.5800,30.5800,30.5800,27.8000,101000,3088580.0000,3,0.505000,1,10.000000,11.039781,65.558969,12.796352,-189.011786,0,9.999999999999986
2017-11-24,sz.300722,33.6400,33.6400,33.6400,33.6400,30.5800,187900,6320956.0000,3,0.939500,1,10.006540,12.144481,72.119154,14.076824,-207.925326,0,10.006540222367576
2017-11-27,sz.300722,37.0000,37.0000,37.0000,37.0000,33.6400,2218400,82080800.0000,3,11.092000,1,9.988111,13.357485,79.322493,15.482833,-228.693135,0,9.98810939357908
2017-11-28,sz.300722,36.9900,40.7000,36.9900,40.7000,37.0000,7515115,295447401.8700,3,37.575575,1,10.000000,14.693234,87.254743,17.031116,-251.562449,0,10.000000000000009
2017-11-29,sz.300722,42.0000,44.0800,38.6100,40.7000,40.7000,13052795,539999072.3900,3,65.263975,1,0.000000,14.693234,87.254743,17.031116,-251.562449,0,0.0
2017-11-30,sz.300722,41.3100,44.7700,41.3000,44.7700,40.7000,12292290,536913222.0300,3,61.461450,1,9.999999,16.162557,95.980217,18.734228,-276.718694,0,10.000000000000009
2017-12-01,sz.300722,43.0000,43.8000,40.2900,40.2900,44.7700,12354576,515782948.4300,3,61.772880,1,-10.006700,14.545218,86.375764,16.859550,-249.028282,0,-10.006700915791832
2017-12-04,sz.300722,37.3600,38.5000,36.2600,36.2600,40.2900,6054808,225768976.4000,3,30.274040,1,-10.002490,13.090335,77.736044,15.173176,-224.119273,0,-10.002482005460411
2017-12-05,sz.300722,35.0300,36.8800,32.8000,33.3000,36.2600,8178701,283922226.5000,3,40.893505,1,-8.163263,12.021737,71.390244,13.934550,-205.823822,0,-8.163265306122447
2017-12-06,sz.300722,33.4000,34.8500,32.8700,34.4300,33.3000,6715754,227222238.1900,3,33.578770,1,3.393397,12.429681,73.812796,14.407404,-212.808234,0,3.3933933933933957
2017-12-07,sz.300722,33.7000,35.2500,32.6700,33.3300,34.4300,7048116,239696661.5500,3,35.240580,1,-3.194884,12.032567,71.454560,13.947103,-206.009249,0,-3.194888178913746
2017-12-08,sz.300722,32.3600,34.9900,32.0200,34.0200,33.3300,6493359,219919761.4800,3,32.466795,1,2.070203,12.281666,72.933817,14.235837,-210.274067,0,2.070207020702086
2017-12-11,sz.300722,34.0800,34.3000,33.0300,33.7000,34.0200,4653861,156596280.3500,3,23.269305,1,-0.940622,12.166142,72.247785,14.101932,-208.296180,0,-0.9406231628453887
2017-12-12,sz.300722,33.8000,33.8000,30.8000,30.8300,33.7000,5856532,188408461.6400,3,29.282660,1,-8.516323,11.130034,66.094932,12.900966,-190.557010,0,-8.516320474777462
2017-12-13,sz.300722,30.9900,31.4900,30.7100,31.0800,30.8300,3848628,119624413.4800,3,19.243140,1,0.810898,11.220287,66.630895,13.005580,-192.102234,0,0.8108984755108573
2017-12-14,sz.300722,30.9100,32.9800,30.8600,32.3100,31.0800,5262483,167619567.2400,3,26.312415,1,3.957533,11.664334,69.267831,13.520279,-199.704735,0,3.9575289575289663
2017-12-15,sz.300722,31.8800,32.4400,31.2000,31.6300,32.3100,4094951,130242303.3200,3,20.474755,1,-2.104618,11.418845,67.810013,13.235730,-195.501726,0,-2.1046115753636796
2017-12-18,sz.300722,31.2800,32.5600,31.2800,32.1700,31.6300,3968283,127251837.5000,3,19.841415,1,1.707237,11.613792,68.967692,13.461696,-198.839410,0,1.7072399620613465
2017-12-19,sz.300722,32.0200,32.5000,31.4100,31.8300,32.1700,3482083,111287512.7500,3,17.410415,1,-1.056880,11.491047,68.238783,13.319421,-196.737905,0,-1.0568852968604436
