date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2018-01-16,sz.300733,15.4800,18.5800,15.4800,18.5800,12.9000,15108,278071.6400,3,0.037770,1,44.031010,5.319804,31.272523,4.604151,-3288.378700,0,
2018-01-17,sz.300733,20.4400,20.4400,20.4400,20.4400,18.5800,10372,212003.6800,3,0.025930,1,10.010770,5.852357,34.403142,5.065062,-3617.570539,0,10.01076426264802
2018-01-18,sz.300733,22.4800,22.4800,22.4800,22.4800,20.4400,10500,236040.0000,3,0.026250,1,9.980425,6.436447,37.836723,5.570577,-3978.619654,0,9.980430528375738
2018-01-19,sz.300733,24.7300,24.7300,24.7300,24.7300,22.4800,12079,298713.6700,3,0.030198,1,10.008900,7.080665,41.623762,6.128131,-4376.835589,0,10.008896797153021
2018-01-22,sz.300733,27.2000,27.2000,27.2000,27.2000,24.7300,57180,1555296.0000,3,0.142950,1,9.987874,7.787872,45.781089,6.740200,-4813.988193,0,9.987868985038407
2018-01-23,sz.300733,29.9200,29.9200,29.9200,29.9200,27.2000,315412,9437127.0400,3,0.788530,1,9.999997,8.566660,50.359198,7.414220,-5295.387012,0,10.000000000000009
2018-01-24,sz.300733,31.2000,32.3600,29.5000,30.9300,29.9200,20940660,646417593.7300,3,52.351650,1,3.375669,8.855842,52.059157,7.664500,-5474.141721,0,3.375668449197855
2018-01-25,sz.300733,29.5000,32.1700,29.0000,30.1600,30.9300,15321682,470526906.1600,3,38.304205,1,-2.489494,8.635376,50.763148,7.473693,-5337.863379,0,-2.489492402198512
2018-01-26,sz.300733,31.0800,31.1200,27.8100,28.1300,30.1600,14674184,424161459.2500,3,36.685460,1,-6.730772,8.054149,47.346398,6.970656,-4978.584113,0,-6.730769230769229
2018-01-29,sz.300733,27.0000,27.9600,26.8000,27.8000,28.1300,10085773,276701929.1800,3,25.214433,1,-1.173125,7.959664,46.790966,6.888881,-4920.179109,0,-1.1731247778172693
2018-01-30,sz.300733,27.5100,28.1900,26.9700,27.2600,27.8000,7316784,200956085.7400,3,18.291960,1,-1.942443,7.805052,45.882076,6.755068,-4824.607285,0,-1.9424460431654689
2018-01-31,sz.300733,26.9000,26.9100,24.9500,25.4400,27.2600,8533680,221512091.9000,3,21.334200,1,-6.676448,7.283951,42.818783,6.304070,-4502.494839,0,-6.676449009537788
2018-02-01,sz.300733,25.9400,26.5500,25.4400,26.0000,25.4400,8833761,230528089.6100,3,22.084402,1,2.201256,7.444290,43.761335,6.442838,-4601.606361,0,2.2012578616352085
2018-02-02,sz.300733,25.0500,25.5800,24.1000,25.2300,26.0000,6517541,163199675.7800,3,16.293852,1,-2.961540,7.223824,42.465326,6.252031,-4465.328019,0,-2.96153846153846
2018-02-05,sz.300733,24.2100,24.8800,22.7700,22.8600,25.2300,7013295,167068391.7700,3,17.533238,1,-9.393575,6.545249,38.476312,5.664742,-4045.873901,0,-9.393579072532699
2018-02-06,sz.300733,21.7400,22.5000,21.2400,21.8300,22.8600,6638452,145681806.7800,3,16.596130,1,-4.505690,6.250340,36.742690,5.409506,-3863.579495,0,-4.505686789151364
2018-02-07,sz.300733,22.5400,23.1600,21.5900,22.4600,21.8300,7492169,168331844.6300,3,18.730422,1,2.885933,6.430721,37.803061,5.565621,-3975.079957,0,2.8859367842418715
2018-02-08,sz.300733,22.1300,22.8500,22.0300,22.3800,22.4600,4812195,107451751.8800,3,12.030488,1,-0.356189,6.407816,37.668411,5.545797,-3960.921168,0,-0.3561887800534347
2018-02-09,sz.300733,21.3000,23.4300,21.0100,22.8000,22.3800,7721653,173615439.4700,3,19.304133,1,1.876676,6.528070,38.375324,5.649874,-4035.254809,0,1.8766756032171594
2018-02-12,sz.300733,23.3100,23.8500,23.0300,23.2700,22.8000,7000386,163916614.3200,3,17.500965,1,2.061409,6.662639,39.166395,5.766340,-4118.437693,0,2.0614035087719307
2018-02-13,sz.300733,23.3600,23.3600,21.5200,21.6000,23.2700,6592447,147246656.1600,3,16.481117,1,-7.176623,6.184487,36.355570,5.352512,-3822.872977,0,-7.176622260421139
2018-02-14,sz.300733,21.5000,21.9500,21.0200,21.0600,21.6000,3459035,74409963.2200,3,8.647588,1,-2.500004,6.029875,35.446681,5.218699,-3727.301152,0,-2.5000000000000133
2018-02-22,sz.300733,21.2700,21.5000,21.0600,21.3800,21.0600,2834906,60352720.9500,3,7.087265,1,1.519467,6.121497,35.985282,5.297996,-3783.936308,0,1.5194681861348647
2018-02-23,sz.300733,21.3500,21.6200,21.2000,21.6000,21.3800,3095824,66478037.6200,3,7.739560,1,1.029005,6.184487,36.355570,5.352512,-3822.872977,0,1.028999064546321
2018-02-26,sz.300733,23.5000,23.7600,23.5000,23.7600,21.6000,2682054,63646767.7400,3,6.705135,1,9.999999,6.802936,37.298489,6.199893,-4205.160275,0,10.000000000000009
2018-02-27,sz.300733,25.0000,25.8000,24.5000,25.1200,23.7600,17019405,427133191.7200,3,42.548513,1,5.723908,7.192329,39.433419,6.554769,-4445.859684,0,5.723905723905731
2018-02-28,sz.300733,23.9100,24.3800,23.5100,24.1300,25.1200,10341187,247339315.5000,3,25.852968,1,-3.941089,6.908874,37.879316,6.296440,-4270.644673,0,-3.9410828025477795
2018-03-01,sz.300733,23.7500,24.9000,23.6200,24.8700,24.1300,10511280,256125719.0400,3,26.278200,1,3.066729,7.120750,39.040969,6.489534,-4401.613469,0,3.066721922917548
2018-03-02,sz.300733,24.2300,24.5600,23.2300,23.2600,24.8700,8227246,196823271.0500,3,20.568115,1,-6.473665,6.659776,36.513588,6.069424,-4116.667845,0,-6.4736630478488095
2018-03-05,sz.300733,23.0200,23.8700,23.0200,23.7400,23.2600,5358589,126059120.4800,3,13.396473,1,2.063627,6.797209,37.267093,6.194674,-4201.620577,0,2.063628546861551
2018-03-06,sz.300733,23.7400,24.8400,23.6800,24.3000,23.7400,8695894,211731612.1500,3,21.739735,1,2.358886,6.957548,38.146182,6.340799,-4300.732099,0,2.3588879528222417
2018-03-07,sz.300733,23.9400,25.9500,23.5000,25.1600,24.3000,11942068,296268480.3100,3,29.855170,1,3.539097,7.203782,39.496211,6.565206,-4452.939079,0,3.539094650205765
2018-03-08,sz.300733,24.8800,25.5200,24.7100,25.3600,25.1600,9695545,243712017.7400,3,24.238862,1,0.794916,7.261046,39.810172,6.617394,-4488.336051,0,0.7949125596184325
2018-03-09,sz.300733,25.0000,26.3500,25.0000,25.8500,25.3600,11770967,302671592.2500,3,29.427418,1,1.932176,7.401342,40.579375,6.745254,-4575.058632,0,1.9321766561514186
2018-03-12,sz.300733,26.3500,26.7500,25.1700,25.5500,25.8500,10993061,284695887.3400,3,27.482653,1,-1.160546,7.315446,40.108434,6.666972,-4521.963174,0,-1.1605415860735047
2018-03-13,sz.300733,25.2300,25.2500,24.3700,24.4200,25.5500,7274164,179657317.4800,3,18.185410,1,-4.422698,6.991906,38.334558,6.372112,-4321.970282,0,-4.422700587084149
2018-03-14,sz.300733,24.2000,26.8000,24.2000,25.7300,24.4200,11888715,305911401.4000,3,29.721788,1,5.364453,7.366984,40.390998,6.713941,-4553.820449,0,5.364455364455356
2018-03-15,sz.300733,24.2400,24.6500,23.1600,23.4400,25.7300,10419224,246545384.6600,3,26.048060,1,-8.900113,6.711314,36.796152,6.116392,-4148.525119,0,-8.900116595413909
2018-03-16,sz.300733,23.2400,24.6800,23.2400,23.7100,23.4400,6878123,165719929.8200,3,17.195308,1,1.151871,6.788620,37.219999,6.186846,-4196.311032,0,1.1518771331058053
2018-03-19,sz.300733,23.3500,26.0800,23.3100,26.0800,23.7100,8432093,211269371.7200,3,21.080233,1,9.995786,7.467195,40.940429,6.805269,-4615.765150,0,9.995782370307872
2018-03-20,sz.300733,26.9000,27.6300,26.1600,26.6900,26.0800,18841062,504175492.0100,3,47.102655,1,2.338959,7.641850,41.898008,6.964442,-4723.725914,0,2.338957055214741
2018-03-21,sz.300733,25.9400,27.7700,25.8000,25.9900,26.6900,15833267,422590041.5500,3,39.583168,1,-2.622708,7.441427,40.799147,6.781785,-4599.836512,0,-2.6227051330086293
2018-03-22,sz.300733,26.1300,27.7500,25.8100,26.8800,25.9900,13815165,370360910.6400,3,34.537913,1,3.424392,7.696250,42.196270,7.014020,-4757.353038,0,3.424393997691433
2018-03-23,sz.300733,24.9000,25.7100,24.1900,24.1900,26.8800,10951059,269983896.8600,3,27.377648,1,-10.007440,6.926053,37.973504,6.312096,-4281.263764,0,-10.007440476190466
2018-03-26,sz.300733,23.4800,24.9000,21.9000,24.6800,24.1900,7486573,175981817.9500,3,18.716432,1,2.025629,7.066349,38.742707,6.439956,-4367.986346,0,2.025630425795777
2018-03-27,sz.300733,24.7000,26.6000,24.6000,25.8000,24.6800,9690875,248166400.7400,3,24.227187,1,4.538083,7.387026,40.500884,6.732207,-4566.209389,0,4.538087520259326
2018-03-28,sz.300733,25.1900,27.3500,24.9000,26.3400,25.8000,11890218,312223299.9100,3,29.725545,1,2.093027,7.541638,41.348577,6.873113,-4661.781213,0,2.0930232558139528
2018-03-29,sz.300733,26.2700,26.9200,25.3800,26.1100,26.3400,8238087,214706758.8800,3,20.595218,1,-0.873195,7.475785,40.987523,6.813098,-4621.074696,0,-0.8731966590736495
2018-03-30,sz.300733,26.1200,27.7500,26.1200,26.6400,26.1100,10698170,287226171.2600,3,26.745425,1,2.029869,7.627534,41.819518,6.951395,-4714.876671,0,2.0298736116430627
2018-04-02,sz.300733,26.3800,27.9000,25.6800,27.8900,26.6400,12601503,338182039.0700,3,31.503758,1,4.692193,7.985432,43.781770,7.277568,-4936.107747,0,4.6921921921921905
2018-04-03,sz.300733,27.0000,27.6700,26.7900,27.3400,27.8900,9727145,265264902.8000,3,24.317863,1,-1.972030,7.827957,42.918379,7.134052,-4838.766074,0,-1.9720329867335962
2018-04-04,sz.300733,27.3400,28.5000,26.6300,27.8100,27.3400,13207787,366918932.7000,3,33.019467,1,1.719090,7.962527,43.656186,7.256693,-4921.948958,0,1.7190929041697167
2018-04-09,sz.300733,27.9200,29.5000,27.5700,29.2900,27.8100,14031165,401478742.8700,3,35.077913,1,5.321832,8.386279,45.979493,7.642881,-5183.886551,0,5.32182668104999
2018-04-10,sz.300733,28.8000,28.9500,26.3600,26.8600,29.2900,12674632,348247473.0300,3,31.686580,1,-8.296348,7.690524,42.164874,7.008801,-4753.813341,0,-8.296346876066918
2018-04-11,sz.300733,26.8600,27.4000,26.4000,27.0200,26.8600,7213583,195093060.0200,3,18.033957,1,0.595681,7.736335,42.416043,7.050551,-4782.130918,0,0.5956813104988745
2018-04-12,sz.300733,26.7800,27.4300,25.7200,26.1100,27.0200,7359928,196002010.1900,3,18.399820,1,-3.367875,7.475785,40.987523,6.813098,-4621.074696,0,-3.3678756476683946
2018-04-13,sz.300733,26.4000,26.8000,25.9500,26.2500,26.1100,5306774,139978668.5700,3,13.266935,1,0.536191,7.515870,41.207295,6.849629,-4645.852576,0,0.536193029490617
2018-04-16,sz.300733,25.9500,26.5400,24.9000,25.2500,26.2500,5424909,139283011.1900,3,13.562273,1,-3.809524,7.229551,39.637494,6.588691,-4468.867716,0,-3.809523809523807
2018-04-17,sz.300733,25.4500,25.5000,23.9100,23.9100,25.2500,4868593,120930071.4600,3,12.171482,1,-5.306931,6.845883,37.533959,6.239033,-4231.708004,0,-5.306930693069312
2018-04-18,sz.300733,24.2300,24.4900,22.9600,24.3900,23.9100,5200933,123906993.0600,3,13.002332,1,2.007526,6.983316,38.287464,6.364284,-4316.660736,0,2.0075282308657405
2018-04-19,sz.300733,24.2200,24.8400,24.2200,24.3800,24.3900,4105574,100583437.9000,3,10.263935,1,-0.041001,6.980453,38.271766,6.361674,-4314.890888,0,-0.04100041000411059
2018-04-20,sz.300733,24.2000,24.4300,22.5000,22.7400,24.3800,4681831,109871038.4700,3,11.704578,1,-6.726823,6.510890,35.697291,5.933736,-4024.635717,0,-6.72682526661198
2018-04-23,sz.300733,22.5000,23.4900,22.4800,23.3200,22.7400,3124492,72133004.3600,3,7.811230,1,2.550571,6.676955,36.607776,6.085080,-4127.286936,0,2.5505716798592815
2018-04-24,sz.300733,23.3000,24.1600,23.1700,24.1600,23.3200,3979742,94795977.2100,3,9.949355,1,3.602059,6.917463,37.926410,6.304268,-4275.954219,0,3.6020583190394584
2018-04-25,sz.300733,23.6000,24.0500,23.6000,23.8000,24.1600,3178348,75609443.1200,3,7.945870,1,-1.490069,6.115401,37.691801,6.182440,123.298023,0,-1.490066225165565
2018-04-26,sz.300733,23.8000,23.9300,22.5500,22.6300,23.8000,3212498,74150022.7700,3,8.031245,1,-4.915967,3.245946,36.673851,5.879067,106.472627,0,-4.915966386554627
2018-04-27,sz.300733,22.8900,23.2500,22.7400,22.9600,22.6300,2061565,47390472.0500,3,5.153912,1,1.458241,3.293279,37.208644,5.964798,108.025255,0,1.4582412726469318
2018-05-02,sz.300733,23.1900,23.1900,22.0300,22.3200,22.9600,2505924,56257404.5600,3,6.264810,1,-2.787454,3.201481,36.171469,5.798532,105.014098,0,-2.7874564459930307
2018-05-03,sz.300733,22.1000,22.9100,21.7300,22.8400,22.3200,2972673,66493532.6100,3,7.431682,1,2.329751,3.276067,37.014173,5.933623,107.460663,0,2.3297491039426577
2018-05-04,sz.300733,22.6900,23.0000,22.3800,22.4000,22.8400,2035478,46153807.9800,3,5.088695,1,-1.926447,3.212955,36.301116,5.819315,105.390493,0,-1.9264448336252293
2018-05-07,sz.300733,22.5000,23.1800,22.5000,23.1000,22.4000,2643861,60776462.7600,3,6.609653,1,3.125003,3.313360,37.435526,6.001169,108.683946,0,3.125000000000022
2018-05-08,sz.300733,23.1100,23.5300,22.9300,23.5100,23.1000,3714412,86471929.9500,3,9.286030,1,1.774891,3.372169,38.099966,6.107683,110.612968,0,1.7748917748917847
2018-05-09,sz.300733,23.4000,23.9000,23.2500,23.5200,23.5100,2812474,66208332.3800,3,7.031185,1,0.042536,3.373603,38.116172,6.110281,110.660017,0,0.042535091450446316
2018-05-10,sz.300733,23.7300,23.7300,23.1600,23.5700,23.5200,2522061,59080285.5400,3,6.305153,1,0.212582,3.380775,38.197201,6.123270,110.895264,0,0.21258503401360151
2018-05-11,sz.300733,23.6200,23.6800,22.8300,22.9300,23.5700,2488053,57662062.2900,3,6.220133,1,-2.715313,3.288976,37.160026,5.957004,107.884107,0,-2.7153160797624087
