date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-12-29,sz.300735,11.9900,14.3900,11.9900,14.3900,9.9900,33887,484928.0000,3,0.038213,1,44.044100,7.377997,28.350051,4.148450,-89.332881,0,
2018-01-02,sz.300735,15.8300,15.8300,15.8300,15.8300,14.3900,19418,307386.0000,3,0.021897,1,10.006950,8.116310,31.187027,4.563584,-98.272377,0,10.006949270326615
2018-01-03,sz.300735,17.4100,17.4100,17.4100,17.4100,15.8300,32190,560427.0000,3,0.036299,1,9.981049,8.926403,34.299819,5.019077,-108.080991,0,9.981048641819324
2018-01-04,sz.300735,19.1500,19.1500,19.1500,19.1500,17.4100,25690,491963.0000,3,0.028969,1,9.994255,9.818530,37.727831,5.520697,-118.882882,0,9.994256174612293
2018-01-05,sz.300735,21.0700,21.0700,21.0700,21.0700,19.1500,67027,1412258.0000,3,0.075583,1,10.026110,10.802947,41.510464,6.074208,-130.802210,0,10.026109660574424
2018-01-08,sz.300735,23.1800,23.1800,23.1800,23.1800,21.0700,79299,1838150.0000,3,0.089422,1,10.014240,11.884780,45.667421,6.682494,-143.901055,0,10.0142382534409
2018-01-09,sz.300735,25.5000,25.5000,25.5000,25.5000,23.1800,78137,1992493.0000,3,0.088111,1,10.008630,13.074283,50.238104,7.351319,-158.303577,0,10.008628127696294
2018-01-10,sz.300735,28.0500,28.0500,27.3100,28.0500,25.5000,7504048,210429071.6100,3,8.461940,1,9.999997,14.381711,55.261914,8.086451,-174.133934,0,10.000000000000009
2018-01-11,sz.300735,28.5400,30.8000,28.4000,29.6400,28.0500,49000454,1446810467.6700,3,55.255361,1,5.668450,15.196931,58.394407,8.544828,-184.004628,0,5.668449197860959
2018-01-12,sz.300735,28.0200,28.9300,27.3000,27.9200,29.6400,31957053,894626673.6900,3,36.036370,1,-5.802967,14.315058,55.005798,8.048974,-173.326896,0,-5.802968960863697
2018-01-15,sz.300735,27.2300,28.9000,27.2300,27.6000,27.9200,26351875,740620273.8100,3,29.715691,1,-1.146131,14.150989,54.375359,7.956722,-171.340342,0,-1.1461318051575908
2018-01-16,sz.300735,26.0000,27.8900,25.0000,26.7600,27.6000,24045689,637059113.6800,3,27.115121,1,-3.043479,13.720306,52.720457,7.714561,-166.125636,0,-3.04347826086957
2018-01-17,sz.300735,26.7600,28.6700,26.4000,28.0300,26.7600,27203081,752985594.1500,3,30.675554,1,4.745891,14.371457,55.222511,8.080686,-174.009775,0,4.745889387144997
2018-01-18,sz.300735,27.7000,27.7000,25.7900,25.8800,28.0300,22899474,607957741.5400,3,25.822591,1,-7.670359,13.269115,50.986750,7.460869,-160.662610,0,-7.670353193007495
2018-01-19,sz.300735,25.4000,26.6400,25.3800,25.8600,25.8800,15441766,402941630.3000,3,17.412907,1,-0.077274,13.258861,50.947347,7.455103,-160.538451,0,-0.07727975270478415
2018-01-22,sz.300735,25.0100,25.2000,23.6600,23.9800,25.8600,17034921,413814511.7600,3,19.209428,1,-7.269919,12.294953,47.243519,6.913123,-148.867442,0,-7.269914926527454
2018-01-23,sz.300735,24.2700,24.5200,23.8100,24.3800,23.9800,11907438,288424987.4700,3,13.427422,1,1.668055,12.500040,48.031567,7.028438,-151.350635,0,1.6680567139282676
2018-01-24,sz.300735,24.3000,25.2300,24.1100,24.5800,24.3800,14220071,352726950.6500,3,16.035263,1,0.820348,12.602583,48.425592,7.086095,-152.592232,0,0.8203445447087843
2018-01-25,sz.300735,24.5800,25.8100,24.0800,24.8900,24.5800,15520814,391665400.9100,3,17.502046,1,1.261186,12.761526,49.036329,7.175464,-154.516707,0,1.2611879576891916
2018-01-26,sz.300735,24.4000,24.8000,23.8800,23.9500,24.8900,12313671,297495258.3700,3,13.885511,1,-3.776612,12.279572,47.184415,6.904475,-148.681202,0,-3.776617115307357
2018-01-29,sz.300735,23.8300,25.0000,23.6300,24.9600,23.9500,15258971,373308543.7500,3,17.206778,1,4.217112,12.797416,49.174238,7.195644,-154.951266,0,4.217118997912328
2018-01-30,sz.300735,24.9000,25.3900,24.3400,24.6000,24.9600,10280864,254976232.0500,3,11.593216,1,-1.442303,12.612838,48.464994,7.091861,-152.716392,0,-1.4423076923076872
2018-01-31,sz.300735,24.1000,24.1500,22.2000,22.3000,24.6000,14016482,324140204.2900,3,15.805686,1,-9.349598,11.433589,43.933714,6.428801,-138.438030,0,-9.349593495934961
2018-02-01,sz.300735,22.3500,22.7800,21.6500,21.8800,22.3000,9010007,199551969.9500,3,10.160134,1,-1.883408,11.218248,43.106263,6.307720,-135.830677,0,-1.8834080717488821
2018-02-02,sz.300735,21.8000,22.9800,21.5000,22.6000,21.8800,10393597,231906142.2500,3,11.720339,1,3.290682,11.587404,44.524751,6.515287,-140.300425,0,3.290676416819016
2018-02-05,sz.300735,21.6000,22.2600,20.3700,20.5800,22.6000,10550034,224898549.4700,3,11.896746,1,-8.938055,10.551715,40.545105,5.932947,-127.760298,0,-8.938053097345144
2018-02-06,sz.300735,19.5000,20.2000,18.5200,18.5200,20.5800,10650395,204864437.8300,3,12.009918,1,-10.009720,9.495519,36.486654,5.339076,-114.971852,0,-10.009718172983472
2018-02-07,sz.300735,19.1700,19.3300,17.6000,18.9300,18.5200,10738483,201461751.3100,3,12.109250,1,2.213822,9.705732,37.294404,5.457274,-117.517126,0,2.2138228941684712
2018-02-08,sz.300735,18.5000,19.3800,18.5000,19.0900,18.9300,7010719,134115823.7800,3,7.905637,1,0.845218,9.787767,37.609623,5.503400,-118.510403,0,0.8452192287374594
2018-02-09,sz.300735,18.5000,18.9900,18.0000,18.2900,19.0900,7382503,136333625.5700,3,8.324879,1,-4.190672,9.377594,36.033526,5.272770,-113.544016,0,-4.190675746464123
2018-02-12,sz.300735,18.7000,19.3200,18.4500,19.1100,18.2900,7513961,142613257.0900,3,8.473118,1,4.483323,9.798022,37.649026,5.509165,-118.634563,0,4.483324220885732
2018-02-13,sz.300735,19.1200,19.3200,18.4500,18.4500,19.1100,6863960,129413417.5500,3,7.740144,1,-3.453688,9.459628,36.348746,5.318896,-114.537294,0,-3.4536891679748827
2018-02-14,sz.300735,18.4700,18.7800,17.9100,18.0800,18.4500,4786538,87705975.4500,3,5.397539,1,-2.005424,9.269923,35.619800,5.212230,-112.240340,0,-2.0054200542005463
2018-02-22,sz.300735,18.4000,18.6300,18.2000,18.5500,18.0800,3958264,73010955.2200,3,4.463536,1,2.599554,9.510900,36.545758,5.347725,-115.158092,0,2.5995575221239076
2018-02-23,sz.300735,18.5800,19.1900,18.4800,19.1500,18.5500,7132803,134612995.8200,3,8.043305,1,3.234504,9.818530,37.727831,5.520697,-118.882882,0,3.2345013477088846
2018-02-26,sz.300735,19.7500,20.4800,19.4000,19.9900,19.1500,10729074,214027790.0400,3,12.098640,1,4.386424,10.249212,39.382733,5.762858,-124.097588,0,4.386422976501314
2018-02-27,sz.300735,20.0500,20.4600,19.8200,20.2100,19.9900,9605011,193799231.7100,3,10.831090,1,1.100547,10.362010,41.897103,5.671872,-125.463344,0,1.1005502751375795
2018-02-28,sz.300735,19.8800,19.9700,19.5000,19.7000,20.2100,7745697,152861389.0500,3,8.734435,1,-2.523495,10.100525,40.839828,5.528742,-122.297273,0,-2.5235032162295945
2018-03-01,sz.300735,19.6400,20.0600,19.4000,19.9500,19.7000,6715809,133339627.5300,3,7.573082,1,1.269035,10.228704,41.358100,5.598904,-123.849269,0,1.2690355329949332
2018-03-02,sz.300735,19.7000,21.8000,19.6000,20.6900,19.9500,13672593,284331786.9000,3,15.417899,1,3.709272,10.608114,42.892185,5.806582,-128.443176,0,3.7092731829573955
2018-03-05,sz.300735,21.1700,21.9500,21.0000,21.5900,20.6900,13530619,290987338.3300,3,15.257802,1,4.349926,11.069560,44.757964,6.059165,-134.030362,0,4.349927501208306
2018-03-06,sz.300735,21.3200,22.2200,21.1300,21.5100,21.5900,13290797,287711219.0500,3,14.987367,1,-0.370542,11.028542,44.592117,6.036713,-133.533723,0,-0.37054191755441224
2018-03-07,sz.300735,21.3100,21.8500,21.2000,21.4500,21.5100,9087558,195799717.7700,3,10.247585,1,-0.278938,10.997779,44.467732,6.019874,-133.161244,0,-0.2789400278940146
2018-03-08,sz.300735,21.4600,22.6900,21.3700,22.4600,21.4500,16031063,355835714.2300,3,18.077428,1,4.708617,11.515623,46.561550,6.303327,-139.431307,0,4.70862470862472
2018-03-09,sz.300735,22.2000,22.8800,22.1000,22.8800,22.4600,14597628,328429730.3400,3,16.461015,1,1.869991,11.730965,47.432247,6.421199,-142.038660,0,1.8699910952804988
2018-03-12,sz.300735,23.2800,23.6500,22.5200,22.8000,22.8800,14569782,335785669.1300,3,16.429614,1,-0.349650,11.689947,47.266400,6.398747,-141.542021,0,-0.34965034965034336
2018-03-13,sz.300735,22.5300,22.7500,21.7100,21.8100,22.8000,11927332,264058317.5500,3,13.449856,1,-4.342104,11.182357,45.214043,6.120907,-135.396118,0,-4.342105263157903
2018-03-14,sz.300735,21.7300,22.6800,21.7100,22.2800,21.8100,11930623,266747262.5200,3,13.453567,1,2.154980,11.423334,46.188395,6.252811,-138.313870,0,2.1549747822100063
2018-03-15,sz.300735,21.6000,21.7700,20.2000,21.0100,22.2800,12648534,265765019.1000,3,14.263119,1,-5.700181,10.772184,43.555573,5.896389,-130.429731,0,-5.700179533213645
2018-03-16,sz.300735,21.0900,21.3000,20.6800,20.7100,21.0100,6516013,137367959.9500,3,7.347782,1,-1.427897,10.618369,42.933647,5.812195,-128.567336,0,-1.4278914802475007
2018-03-19,sz.300735,20.5500,22.7800,20.5500,22.7800,20.7100,18634916,418387363.7200,3,21.013663,1,9.995179,11.679693,47.224938,6.393134,-141.417862,0,9.995171414775461
2018-03-20,sz.300735,23.0000,24.8800,22.8000,23.8500,22.7800,31840468,757376062.3000,3,35.904903,1,4.697101,12.228300,49.443142,6.693426,-148.060404,0,4.697102721685686
2018-03-21,sz.300735,23.4200,24.2300,22.7300,22.8400,23.8500,21492124,505426779.5700,3,24.235593,1,-4.234802,11.710456,47.349324,6.409973,-141.790341,0,-4.234800838574426
2018-03-22,sz.300735,22.9600,23.5900,22.8400,23.0300,22.8400,13700658,318115577.8600,3,15.449547,1,0.831876,11.807872,47.743210,6.463296,-142.969858,0,0.8318739054290702
2018-03-23,sz.300735,21.5000,22.0700,20.7300,20.7300,23.0300,14881501,315996551.4900,3,16.781124,1,-9.986978,10.628623,42.975109,5.817808,-128.691496,0,-9.986973512809383
2018-03-26,sz.300735,20.0100,21.3500,19.0000,21.2800,20.7300,10787203,218784323.9400,3,12.164189,1,2.653165,10.910617,44.115307,5.972164,-132.105887,0,2.6531596719729933
2018-03-27,sz.300735,21.3700,23.3800,21.3700,22.5500,21.2800,15284050,341770494.9600,3,17.235059,1,5.968038,11.561768,46.748128,6.328585,-139.990026,0,5.96804511278195
2018-03-28,sz.300735,22.0000,23.3700,21.7800,22.8000,22.5500,16213398,367965083.6800,3,18.283038,1,1.108647,11.689947,47.266400,6.398747,-141.542021,0,1.1086474501108556
2018-03-29,sz.300735,23.1900,23.4000,22.2200,22.5600,22.8000,11077656,251963270.5300,3,12.491719,1,-1.052631,11.566895,46.768859,6.331392,-140.052105,0,-1.0526315789473717
2018-03-30,sz.300735,22.7900,23.6900,22.7000,23.4000,22.5600,16100359,375317247.4000,3,18.155569,1,3.723405,11.997577,48.510253,6.567135,-145.266811,0,3.7234042553191404
2018-04-02,sz.300735,23.4600,24.9900,23.0200,23.7700,23.4000,20804530,497863534.5400,3,23.460228,1,1.581200,12.187283,49.277295,6.670975,-147.563765,0,1.5811965811965756
2018-04-03,sz.300735,23.0000,25.1500,22.8000,25.0800,23.7700,21181786,509246174.1500,3,23.885641,1,5.511146,12.858942,51.993040,7.038622,-155.696224,0,5.511148506520813
2018-04-04,sz.300735,25.4700,25.7500,23.8500,23.8700,25.0800,19093391,469589812.6800,3,21.530662,1,-4.824558,12.238554,49.484604,6.699039,-148.184564,0,-4.824561403508765
2018-04-09,sz.300735,23.4800,24.9400,23.3800,24.8600,23.8700,15083557,367872329.7000,3,17.008973,1,4.147464,12.746144,51.536961,6.976880,-154.330467,0,4.147465437788012
2018-04-10,sz.300735,24.1500,24.4800,22.4000,23.1900,24.8600,18375626,431950220.4000,3,20.721274,1,-6.717618,11.889907,48.074904,6.508199,-143.963135,0,-6.717618664521307
2018-04-11,sz.300735,23.2700,23.9800,22.9500,23.5900,23.1900,10661617,250879088.7200,3,12.022572,1,1.724880,12.094994,48.904139,6.620458,-146.446328,0,1.7248814144027458
2018-04-12,sz.300735,23.5700,23.9700,23.0700,23.4900,23.5900,10654564,250830226.7500,3,12.014619,1,-0.423910,12.043722,48.696831,6.592393,-145.825530,0,-0.4239084357778755
2018-04-13,sz.300735,23.6100,24.7100,23.5500,23.6000,23.4900,12169991,292415270.4200,3,13.723490,1,0.468287,12.100121,48.924870,6.623265,-146.508408,0,0.46828437633037456
2018-04-16,sz.300735,23.1100,23.2300,22.5200,22.9700,23.6000,8453471,193344685.1100,3,9.532556,1,-2.669496,5.066696,46.940107,6.394255,9.991940,0,-2.6694915254237395
2018-04-17,sz.300735,23.0100,23.7200,22.6200,22.6600,22.9700,8781808,203388946.8900,3,9.902806,1,-1.349584,4.998316,46.306610,6.307959,9.857090,0,-1.349586417065729
2018-04-18,sz.300735,23.0000,23.1500,21.0200,22.3800,22.6600,11477283,251813374.9800,3,12.942358,1,-1.235661,4.936554,45.734419,6.230014,9.735290,0,-1.2356575463371655
2018-04-19,sz.300735,22.3800,22.3800,21.4800,21.4800,22.3800,8515153,186990056.1900,3,9.602112,1,-4.021446,4.738033,43.895233,5.979478,9.343791,0,-4.021447721179616
2018-04-20,sz.300735,21.0900,21.3000,19.9800,20.0000,21.4800,9238576,190637906.2000,3,10.417880,1,-6.890129,4.411577,40.870794,5.567484,8.699991,0,-6.8901303538175025
2018-04-23,sz.300735,20.2200,20.6000,19.9800,20.4000,20.0000,4877034,99052700.1200,3,5.499587,1,1.999998,4.499808,41.688210,5.678834,8.873991,0,2.0000000000000018
2018-04-24,sz.300735,20.3900,21.2100,20.3000,21.1900,20.4000,5818189,121518093.6200,3,6.560881,1,3.872554,4.674065,43.302607,5.898749,9.217641,0,3.8725490196078516
2018-04-25,sz.300735,21.0200,21.9500,21.0200,21.2400,21.1900,6833678,147041866.8100,3,7.705997,1,0.235957,4.685094,43.404784,5.912668,9.239391,0,0.23596035865973697
2018-04-26,sz.300735,20.9600,21.1500,20.0800,20.1000,21.2400,7072631,144753198.1900,3,7.975452,1,-5.367229,4.381278,43.214970,5.535645,9.180396,0,-5.367231638418069
2018-04-27,sz.300735,20.2200,20.5500,20.0200,20.2500,20.1000,3392299,68916820.0800,3,3.825326,1,0.746267,4.413974,43.537469,5.576955,9.248906,0,0.746268656716409
2018-05-02,sz.300735,20.3000,20.5900,19.3300,19.5600,20.2500,4517895,89575904.7300,3,5.094604,1,-3.407410,4.263572,42.053970,5.386926,8.933758,0,-3.4074074074074145
2018-05-03,sz.300735,19.7500,20.8700,19.4000,20.5900,19.5600,5395194,108685721.7200,3,6.083890,1,5.265852,4.488085,44.268469,5.670593,9.404197,0,5.2658486707566565
2018-05-04,sz.300735,20.4300,20.7900,20.1200,20.2000,20.5900,3737417,76297225.7400,3,4.214498,1,-1.894120,4.403076,43.429969,5.563185,9.226070,0,-1.8941233608547825
2018-05-07,sz.300735,20.4600,20.9100,20.4400,20.7900,20.2000,4868916,100755870.3300,3,5.490433,1,2.920793,4.531680,44.698469,5.725674,9.495544,0,2.9207920792079234
2018-05-08,sz.300735,20.7700,21.2300,20.6100,20.9000,20.7900,5247666,109720884.9800,3,5.917530,1,0.529094,4.555657,44.934968,5.755969,9.545785,0,0.5291005291005346
2018-05-09,sz.300735,20.8000,21.1100,20.7100,21.0500,20.9000,3967991,83087715.9300,3,4.474505,1,0.717702,4.588353,45.257468,5.797280,9.614295,0,0.717703349282317
2018-05-10,sz.300735,21.0500,21.1100,20.7000,21.0400,21.0500,4193282,87774395.0500,3,4.728554,1,-0.047498,4.586174,45.235968,5.794526,9.609728,0,-0.047505938242287105
2018-05-11,sz.300735,21.0100,21.1100,20.2500,20.3300,21.0400,4341713,89489335.1500,3,4.895933,1,-3.374529,4.431412,43.709469,5.598988,9.285445,0,-3.374524714828897
2018-05-14,sz.300735,20.4200,21.0000,20.4200,20.7300,20.3300,4730524,98213766.5800,3,5.334375,1,1.967534,4.518602,44.569469,5.709150,9.468140,0,1.9675356615838746
2018-05-15,sz.300735,20.6000,21.4100,20.6000,21.3500,20.7300,7100478,149528913.2400,3,8.006854,1,2.990839,4.653746,45.902468,5.879901,9.751316,0,2.9908345393150126
2018-05-16,sz.300735,21.0000,22.4000,21.0000,21.4600,21.3500,11087446,241993395.9700,3,12.502758,1,0.515216,4.677723,46.138968,5.910196,9.801557,0,0.5152224824355844
2018-05-17,sz.300735,21.3000,21.4400,20.9700,21.3700,21.4600,6059662,128313182.9900,3,6.833178,1,-0.419377,4.658105,45.945468,5.885409,9.760451,0,-0.41938490214352697
2018-05-18,sz.300735,21.3600,21.4400,20.7100,21.1700,21.3700,5056366,106552550.2300,3,5.701811,1,-0.935895,4.614510,45.515468,5.830328,9.669104,0,-0.9358914365933502
2018-05-21,sz.300735,21.5600,21.9400,21.3300,21.8200,21.1700,7998024,173483614.3800,3,9.018972,1,3.070381,4.756193,46.912967,6.009342,9.965982,0,3.070382616910705
2018-05-22,sz.300735,21.8500,24.0000,21.8200,23.2400,21.8200,26812757,622907540.1900,3,30.235405,1,6.507792,5.065717,49.965965,6.400417,10.614547,0,6.50779101741521
2018-05-23,sz.300735,22.7400,23.2300,22.5500,22.6900,23.2400,15770439,358907793.7900,3,17.783535,1,-2.366606,4.945831,48.783466,6.248944,10.363343,0,-2.366609294320121
2018-05-24,sz.300735,22.5600,23.3200,22.4500,23.0800,22.6900,12866811,295002978.7600,3,14.509259,1,1.718816,5.030841,49.621965,6.356352,10.541470,0,1.7188188629351897
2018-05-25,sz.300735,22.9800,23.8600,22.8900,22.9700,23.0800,11844631,277086132.1200,3,13.356598,1,-0.476606,5.006864,49.385465,6.326058,10.491229,0,-0.47660311958405144
