date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2019-01-28,sz.300759,9.1900,11.0300,9.1900,11.0300,7.6600,47270,520744.1000,3,0.072025,1,43.994780,3.250454,23.644071,2.668084,76.345323,0,
2019-01-29,sz.300759,12.1300,12.1300,12.1300,12.1300,11.0300,31944,387480.7200,3,0.048673,1,9.972805,3.574616,26.002047,2.934167,83.959090,0,9.97280145058932
2019-01-30,sz.300759,13.3400,13.3400,13.3400,13.3400,12.1300,52131,695427.5400,3,0.079432,1,9.975268,3.931193,28.595821,3.226858,92.334235,0,9.975267930750187
2019-01-31,sz.300759,14.6700,14.6700,14.6700,14.6700,13.3400,144864,2125154.8800,3,0.220728,1,9.970015,4.323134,31.446829,3.548576,101.539972,0,9.970014992503739
2019-02-01,sz.300759,16.1400,16.1400,16.1400,16.1400,14.6700,216435,3493260.9000,3,0.329781,1,10.020440,4.756331,34.597943,3.904159,111.714734,0,10.020449897750506
2019-02-11,sz.300759,17.7500,17.7500,17.7500,17.7500,16.1400,129382,2296530.5000,3,0.197139,1,9.975221,5.230786,38.049163,4.293607,122.858521,0,9.975216852540258
2019-02-12,sz.300759,19.5300,19.5300,19.5300,19.5300,17.7500,175669,3430815.5700,3,0.267666,1,10.028170,5.755338,41.864797,4.724178,135.178981,0,10.02816901408452
2019-02-13,sz.300759,21.4800,21.4800,21.4800,21.4800,19.5300,968004,20792725.9200,3,1.474941,1,9.984632,6.329987,46.044846,5.195870,148.676114,0,9.984639016897079
2019-02-14,sz.300759,23.6300,23.6300,23.6300,23.6300,21.4800,497534,11756728.4200,3,0.758089,1,10.009310,6.963575,50.653618,5.715940,163.557569,0,10.009310986964604
2019-02-15,sz.300759,25.9900,25.9900,25.9900,25.9900,23.6300,416289,10819351.1100,3,0.634297,1,9.987308,7.659049,55.712548,6.286809,179.892561,0,9.987304274227672
2019-02-18,sz.300759,28.5900,28.5900,28.5900,28.5900,25.9900,386812,11058955.0800,3,0.589383,1,10.003850,8.425249,61.285947,6.915732,197.888738,0,10.003847633705277
2019-02-19,sz.300759,31.4500,31.4500,31.4500,31.4500,28.5900,607835,19116410.7500,3,0.926154,1,10.003500,9.268068,67.416685,7.607547,217.684534,0,10.003497726477795
2019-02-20,sz.300759,34.6000,34.6000,34.6000,34.6000,31.4500,420632,14553867.2000,3,0.640914,1,10.015890,10.196348,74.169072,8.369511,239.487595,0,10.015898251192379
2019-02-21,sz.300759,38.0600,38.0600,35.5100,37.3900,34.6000,49403889,1828942933.1400,3,75.276381,1,8.063587,11.018539,80.149757,9.044393,258.798878,0,8.063583815028895
2019-02-22,sz.300759,36.8200,37.8000,36.2600,37.2900,37.3900,28937978,1072183729.1000,3,44.092607,1,-0.267447,10.989070,79.935396,9.020204,258.106717,0,-0.26745119015779695
2019-02-25,sz.300759,36.6600,41.0200,36.6600,39.5000,37.2900,41628062,1645491867.1000,3,63.428405,1,5.926519,11.640340,84.672784,9.554788,273.403468,0,5.926521855725397
2019-02-26,sz.300759,39.0300,42.9900,37.5300,37.8800,39.5000,33723125,1347450213.7100,3,51.383704,1,-4.101263,11.162939,81.200128,9.162921,262.190465,0,-4.101265822784805
2019-02-27,sz.300759,37.5000,41.6700,37.1000,41.6700,37.8800,27249306,1069626313.1900,3,41.519589,1,10.005270,12.279822,89.324428,10.079697,288.423355,0,10.0052798310454
2019-02-28,sz.300759,39.0000,40.2300,37.8000,38.8000,41.6700,26774046,1046236155.9600,3,40.795438,1,-6.887447,11.434055,75.065900,8.756229,268.558344,0,-6.8874490040796825
2019-03-01,sz.300759,40.2000,42.3800,39.4300,41.1400,38.8000,28050195,1137005362.5400,3,42.739898,1,6.030928,12.123635,79.593070,9.284311,284.754904,0,6.030927835051547
2019-03-04,sz.300759,40.8000,44.8900,40.4000,42.4600,41.1400,29386256,1245914010.0900,3,44.775645,1,3.208555,12.512629,82.146858,9.582203,293.891424,0,3.208556149732611
2019-03-05,sz.300759,41.6400,42.3200,41.1700,41.9800,42.4600,19892206,828894236.3400,3,30.309624,1,-1.130475,12.371176,81.218208,9.473878,290.569053,0,-1.1304757418747147
2019-03-06,sz.300759,41.7600,44.2000,41.7500,42.3600,41.9800,24569929,1052747133.4300,3,37.437039,1,0.905196,12.483159,81.953389,9.559635,293.199264,0,0.905192949023359
2019-03-07,sz.300759,41.5800,45.8600,40.7600,44.2000,42.3600,28662989,1243638805.3900,3,43.673608,1,4.343721,13.025393,85.513216,9.974879,305.935020,0,4.34372049102929
2019-03-08,sz.300759,42.5800,42.8000,39.7800,39.7800,44.2000,23042921,958558071.1100,3,35.110347,1,-10.000000,11.722854,76.961894,8.977391,275.341518,0,-9.999999999999998
2019-03-11,sz.300759,39.1100,40.7900,39.0000,40.6600,39.7800,14420455,574580068.0700,3,21.972353,1,2.212170,11.982183,78.664420,9.175986,281.432532,0,2.212166918049263
2019-03-12,sz.300759,41.0000,42.2400,40.0000,41.2000,40.6600,15087786,623777551.0800,3,22.989160,1,1.328089,12.141317,79.709151,9.297851,285.170200,0,1.3280865715691315
2019-03-13,sz.300759,40.7900,42.4900,39.5000,39.5900,41.2000,13216954,544830428.6700,3,20.138586,1,-3.907768,11.666862,76.594303,8.934513,274.026413,0,-3.9077669902912615
2019-03-14,sz.300759,38.9400,40.5900,36.5000,37.2700,39.5900,13579599,526760021.2700,3,20.691146,1,-5.860065,10.983176,72.105827,8.410945,257.968285,0,-5.8600656731497835
2019-03-15,sz.300759,37.8600,41.0000,37.5100,41.0000,37.2700,18371417,728580778.2400,3,27.992407,1,10.008050,12.082378,79.322214,9.252716,283.785879,0,10.008049369466043
2019-03-18,sz.300759,42.9200,43.8700,41.3900,42.8000,41.0000,19507666,835811345.6700,3,29.723703,1,4.390242,12.612824,82.804652,9.658933,296.244771,0,4.390243902439028
2019-03-19,sz.300759,43.1500,46.8800,41.9300,44.9000,42.8000,20815017,916680337.3000,3,31.715705,1,4.906548,13.231678,86.867497,10.132852,310.780145,0,4.90654205607477
2019-03-20,sz.300759,43.6600,44.4400,41.8800,42.5000,44.9000,15179993,650989963.9000,3,23.129656,1,-5.345215,12.524416,82.224246,9.591230,294.168289,0,-5.345211581291753
2019-03-21,sz.300759,41.9800,42.7600,41.5200,41.7200,42.5000,10954112,460539254.8400,3,16.690709,1,-1.835291,12.294556,80.715189,9.415203,288.769435,0,-1.8352941176470572
2019-03-22,sz.300759,41.4900,42.6500,41.3200,41.5000,41.7200,8430781,353986886.4300,3,12.845926,1,-0.527328,12.229724,80.289558,9.365554,287.246682,0,-0.5273250239693161
2019-03-25,sz.300759,39.7800,41.1000,39.3900,40.0600,41.5000,9032025,363604112.2800,3,13.762037,1,-3.469876,11.805368,77.503607,9.040581,277.279568,0,-3.469879518072283
2019-03-26,sz.300759,40.4900,41.9900,39.5000,40.5500,40.0600,7762844,316333466.9000,3,11.828194,1,1.223160,11.949767,78.451604,9.151162,280.671156,0,1.223165252121805
2019-03-27,sz.300759,40.9000,41.6000,39.5500,40.2300,40.5500,7513216,305247454.1500,3,11.447838,1,-0.789148,11.855465,77.832504,9.078945,278.456241,0,-0.7891491985203447
2019-03-28,sz.300759,39.7300,40.4800,38.0200,38.3000,40.2300,7797010,306720531.7800,3,11.880253,1,-4.797416,11.286709,74.098556,8.643391,265.097540,0,-4.797414864528959
2019-03-29,sz.300759,38.4800,42.1300,38.0800,42.1300,38.3000,12268293,496010427.6600,3,18.693117,1,10.000000,12.415380,81.508411,9.507730,291.607294,0,10.000000000000009
2019-04-01,sz.300759,42.3000,42.9800,41.4800,42.9500,42.1300,13659165,576899243.8100,3,20.812380,1,1.946356,12.657028,83.094855,9.692784,297.283012,0,1.9463565155471096
2019-04-02,sz.300759,42.4000,43.2600,41.7100,43.0000,42.9500,10214284,434924866.7400,3,15.563437,1,0.116413,12.671762,83.191590,9.704068,297.629092,0,0.11641443538998875
2019-04-03,sz.300759,43.0000,44.8800,42.3000,42.4600,43.0000,12100743,525794759.1100,3,18.437823,1,-1.255816,12.512629,82.146858,9.582203,293.891424,0,-1.2558139534883717
2019-04-04,sz.300759,41.8100,45.9800,41.7700,44.2500,42.4600,14195305,618162519.0800,3,21.629293,1,4.215735,13.040128,85.609950,9.986163,306.281101,0,4.215732454074428
2019-04-08,sz.300759,44.1000,44.4800,40.3700,40.7600,44.2500,13660551,576904386.1300,3,20.814492,1,-7.887010,12.011652,78.857888,9.198554,282.124693,0,-7.887005649717516
2019-04-09,sz.300759,39.5800,41.2700,39.5700,40.5500,40.7600,6399845,258656839.3400,3,9.751402,1,-0.515209,11.949767,78.451604,9.151162,280.671156,0,-0.5152109911678138
2019-04-10,sz.300759,40.3600,41.2900,39.8100,40.0600,40.5500,5460380,220891355.1600,3,8.319945,1,-1.208380,11.805368,77.503607,9.040581,277.279568,0,-1.208384710234267
2019-04-11,sz.300759,40.0800,40.4200,38.8000,39.0000,40.0600,5278940,207761649.3600,3,8.043486,1,-2.646034,11.492994,75.452837,8.801364,269.942665,0,-2.646030953569656
2019-04-12,sz.300759,39.3400,39.7000,38.8000,39.5500,39.0000,3189536,125389977.1600,3,4.859875,1,1.410254,11.655075,76.516916,8.925486,273.749549,0,1.4102564102564052
2019-04-15,sz.300759,39.9000,40.2000,39.2100,39.2100,39.5500,3312905,131800530.4800,3,5.047852,1,-0.859672,11.554879,75.859122,8.848756,271.396202,0,-0.8596713021491675
2019-04-16,sz.300759,39.0000,39.2500,37.6800,39.0000,39.2100,4399831,169719393.0600,3,6.703994,1,-0.535575,11.492994,75.452837,8.801364,269.942665,0,-0.5355776587605221
2019-04-17,sz.300759,38.6900,39.5500,38.6800,38.8600,39.0000,3451319,134862180.1900,3,5.258752,1,-0.358973,11.451737,75.181981,8.769769,268.973640,0,-0.35897435897436214
2019-04-18,sz.300759,38.8000,38.8000,37.8000,37.8000,38.8600,4584481,174480147.8900,3,6.985344,1,-2.727744,11.139363,73.131211,8.530553,261.636737,0,-2.7277406073082933
2019-04-19,sz.300759,38.0800,39.5900,37.4500,39.2000,37.8000,5283871,203931752.6200,3,8.051000,1,3.703708,11.046588,75.839775,8.846499,1886.924231,0,3.70370370370372
2019-04-22,sz.300759,38.7100,39.1500,38.2100,38.6000,39.2000,3195587,123545892.6600,3,4.869095,1,-1.530618,10.877508,74.678962,8.711094,1858.042737,0,-1.5306122448979664
