date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2019-08-15,sz.300787,36.0800,39.3600,36.0800,39.3600,27.3300,38628,1518758.0800,3,0.182000,1,44.017600,6.237147,24.434662,2.928806,-163.274119,0,
2019-08-16,sz.300787,43.3000,43.3000,43.3000,43.3000,39.3600,15556,673574.8000,3,0.073300,1,10.010200,6.861495,26.880611,3.221984,-179.618124,0,10.010162601626016
2019-08-19,sz.300787,47.6300,47.6300,47.6300,47.6300,43.3000,20100,957363.0000,3,0.094700,1,10.000000,7.547645,29.568672,3.544182,-197.579936,0,10.000000000000009
2019-08-20,sz.300787,52.3900,52.3900,52.3900,52.3900,47.6300,71271,3733887.6900,3,0.335900,1,9.993700,8.301934,32.523677,3.898377,-217.325485,0,9.993701448666803
2019-08-21,sz.300787,57.6300,57.6300,57.6300,57.6300,52.3900,114351,6590048.1300,3,0.538900,1,10.001900,9.132286,35.776665,4.288289,-239.062182,0,10.001908761213985
2019-08-22,sz.300787,63.3900,63.3900,63.3900,63.3900,57.6300,84746,5372048.9400,3,0.399400,1,9.994800,10.045039,39.352470,4.716895,-262.955956,0,9.994794377928162
2019-08-23,sz.300787,69.7300,69.7300,69.7300,69.7300,63.3900,65386,4559365.7800,3,0.308100,1,10.001600,11.049701,43.288337,5.188659,-289.255699,0,10.00157753588895
2019-08-26,sz.300787,64.0000,66.0800,62.7600,62.7600,69.7300,8526562,542934452.6600,3,40.181700,1,-9.995700,9.945206,38.961366,4.670016,-260.342574,0,-9.995697691094229
2019-08-27,sz.300787,59.9900,61.1200,58.6800,60.3100,62.7600,8254079,494487883.8600,3,38.897600,1,-3.903800,9.556969,37.440408,4.487710,-250.179424,0,-3.9037603569152313
2019-08-28,sz.300787,59.0000,61.5600,58.8000,60.6500,60.3100,6241635,376274690.6800,3,29.413900,1,0.563800,9.013610,35.088241,4.551624,197.903532,0,0.563753937987066
2019-08-29,sz.300787,59.7000,60.2400,55.8100,56.0000,60.6500,7721909,445871941.3000,3,36.389800,1,-7.666900,8.322541,32.398046,4.202654,182.730384,0,-7.666941467436105
2019-08-30,sz.300787,55.3900,57.0200,53.8600,55.7000,56.0000,5906998,326123172.5500,3,27.836900,1,-0.535700,8.277956,32.224485,4.180140,181.751471,0,-0.5357142857142838
2019-09-02,sz.300787,54.5000,56.2400,54.5000,55.7200,55.7000,3874899,215030775.6700,3,18.260600,1,0.035900,8.280929,32.236056,4.181641,181.816732,0,0.035906642728900096
