date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2020-06-19,sz.300824,7.0900,8.5100,7.0900,8.5100,5.9100,194533,1652145.0000,3,0.357900,1,43.993200,5.383210,25.772287,3.434570,121.022812,0,
2020-06-22,sz.300824,9.3600,9.3600,9.3600,9.3600,8.5100,36128,338158.0800,3,0.066500,1,9.988200,5.920898,28.346488,3.777624,133.110871,0,9.9882491186839
2020-06-23,sz.300824,10.3000,10.3000,10.3000,10.3000,9.3600,47714,491454.2000,3,0.087800,1,10.042700,6.515518,31.193250,4.157001,146.478844,0,10.042735042735051
2020-06-24,sz.300824,11.3300,11.3300,11.3300,11.3300,10.3000,70353,797099.4900,3,0.129400,1,10.000000,7.167070,34.312575,4.572701,161.126728,0,9.999999999999986
2020-06-29,sz.300824,12.4600,12.4600,12.4600,12.4600,11.3300,184739,2301847.9400,3,0.339900,1,9.973500,7.881879,37.734747,5.028760,177.196737,0,9.973521624007065
2020-06-30,sz.300824,13.7100,13.7100,13.7100,13.7100,12.4600,84940,1164527.4000,3,0.156300,1,10.032100,8.672597,41.520336,5.533250,194.973296,0,10.032102728731939
2020-07-01,sz.300824,15.0800,15.0800,15.0800,15.0800,13.7100,92854,1400238.3200,3,0.170800,1,9.992700,9.539225,45.669341,6.086172,214.456404,0,9.992706053975198
2020-07-02,sz.300824,16.5900,16.5900,16.5900,16.5900,15.0800,244141,4050299.1900,3,0.449200,1,10.013300,10.494412,50.242332,6.695596,235.930487,0,10.013262599469485
2020-07-03,sz.300824,18.2500,18.2500,18.2500,18.2500,16.5900,209237,3818575.2500,3,0.385000,1,10.006000,11.544486,55.269594,7.365559,259.537757,0,10.006027727546707
2020-07-06,sz.300824,20.0800,20.0800,20.0800,20.0800,18.2500,168269,3378841.5200,3,0.309600,1,10.027400,12.702097,60.811696,8.104133,285.562639,0,10.027397260273974
2020-07-07,sz.300824,22.0900,22.0900,22.0900,22.0900,20.0800,741710,16384373.9000,3,1.364700,1,10.010000,13.973572,66.898922,8.915354,314.147345,0,10.009960159362553
2020-07-08,sz.300824,24.3000,24.3000,24.3000,24.3000,22.0900,372479,9051239.7000,3,0.685300,1,10.004500,15.371562,73.591843,9.807293,345.576301,0,10.004526935264835
2020-07-09,sz.300824,26.7300,26.7300,26.7300,26.7300,24.3000,147143,3933132.3900,3,0.270700,1,10.000000,16.908718,80.951027,10.788022,380.133931,0,10.000000000000009
2020-07-10,sz.300824,29.4000,29.4000,29.4000,29.4000,26.7300,1509046,44365952.4000,3,2.776500,1,9.988800,18.597692,89.037045,11.865613,418.104660,0,9.98877665544331
2020-07-13,sz.300824,32.3400,32.3400,31.9400,32.3400,29.4000,13092804,423364758.9800,3,24.089800,1,10.000000,20.457462,97.940749,13.052175,459.915126,0,10.000000000000009
2020-07-14,sz.300824,34.0000,35.5700,30.3000,35.5700,32.3400,41040621,1349620894.6800,3,75.511700,1,9.987600,22.500678,107.722710,14.355778,505.849754,0,9.987631416202824
2020-07-15,sz.300824,34.0100,35.8000,32.3000,34.6700,35.5700,32046631,1094551003.3800,3,58.963400,1,-2.530200,21.931360,104.997086,13.992545,493.050632,0,-2.5302220972729828
2020-07-16,sz.300824,32.5000,32.5800,31.2000,31.2000,34.6700,16252092,510873233.0600,3,29.902700,1,-10.008600,19.736327,94.488292,12.592080,443.702905,0,-10.008653014133262
2020-07-17,sz.300824,30.5000,30.8800,28.0800,28.5000,31.2000,16159852,474565224.2600,3,29.732900,1,-8.653800,18.028375,86.311421,11.502380,405.305538,0,-8.653846153846157
2020-07-20,sz.300824,29.7000,30.4900,29.3000,30.2900,28.5000,13038757,390271944.3100,3,23.990400,1,6.280700,19.160684,91.732384,12.224811,430.761570,0,6.280701754385953
2020-07-21,sz.300824,29.6800,30.4700,29.0200,29.5800,30.2900,9186056,272695640.8300,3,16.901700,1,-2.344000,18.711556,89.582169,11.938260,420.664485,0,-2.3440079234070654
