date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2003-01-02,sz.399004,993.3687,997.6019,974.0678,975.9477,0.0000,112343685,910374596.5200,3,0.004840,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,
2003-01-03,sz.399004,973.6378,981.4004,971.3187,976.3581,975.9477,78615154,619195104.9900,3,0.003387,1,0.042051,0.000000,0.000000,0.000000,0.000000,0,0.04205143369875319
2003-01-06,sz.399004,976.2068,991.0229,972.0340,990.4535,976.3581,88100477,718804675.4400,3,0.003795,1,1.443671,0.000000,0.000000,0.000000,0.000000,0,1.44367112845174
2003-01-07,sz.399004,990.5785,998.9190,983.6436,988.9702,990.4535,88618672,737111867.4700,3,0.003818,1,-0.149757,0.000000,0.000000,0.000000,0.000000,0,-0.14975968079268265
2003-01-08,sz.399004,988.5514,1017.1870,987.4891,1017.1230,988.9702,121275268,995294027.7300,3,0.005225,1,2.846700,0.000000,0.000000,0.000000,0.000000,0,2.8466782922276224
2003-01-09,sz.399004,1018.2840,1041.0140,1011.2310,1035.5460,1017.1230,260796620,2239033972.4900,3,0.011235,1,1.811276,0.000000,0.000000,0.000000,0.000000,0,1.8112853607675783
2003-01-10,sz.399004,1035.0220,1045.3350,1022.8620,1023.3850,1035.5460,218831500,1852179827.7500,3,0.009427,1,-1.174410,0.000000,0.000000,0.000000,0.000000,0,-1.1743563298974746
2003-01-13,sz.399004,1020.8850,1031.9610,1019.2620,1028.8910,1023.3850,137726164,1190500048.3200,3,0.005933,1,0.538094,0.000000,0.000000,0.000000,0.000000,0,0.5380184388084741
2003-01-14,sz.399004,1029.0940,1098.3910,1029.0940,1088.0480,1028.8910,593529115,4964208889.5900,3,0.025569,1,5.749561,0.000000,0.000000,0.000000,0.000000,0,5.749588634753344
2003-01-15,sz.399004,1092.0750,1100.7900,1072.4530,1079.6860,1088.0480,445731390,4010393248.2000,3,0.019202,1,-0.768527,0.000000,0.000000,0.000000,0.000000,0,-0.768532270635125
2003-01-16,sz.399004,1079.7950,1098.6620,1078.2520,1098.4420,1079.6860,301790822,2667193188.3900,3,0.013001,1,1.737158,0.000000,0.000000,0.000000,0.000000,0,1.7371717332631986
2003-01-17,sz.399004,1100.1210,1103.2280,1087.5010,1091.7600,1098.4420,245623962,2159474968.2600,3,0.010581,1,-0.608283,0.000000,0.000000,0.000000,0.000000,0,-0.608316142317944
2003-01-20,sz.399004,1090.6720,1098.4940,1077.0350,1098.3850,1091.7600,203537885,1750457031.8400,3,0.008768,1,0.606829,0.000000,0.000000,0.000000,0.000000,0,0.6068183483549427
2003-01-21,sz.399004,1100.2550,1102.9130,1073.4360,1073.5100,1098.3850,216344940,1939162034.1000,3,0.009320,1,-2.264766,0.000000,0.000000,0.000000,0.000000,0,-2.2646886110061604
2003-01-22,sz.399004,1070.3980,1080.3290,1068.0500,1076.6030,1073.5100,169537384,1474273026.0600,3,0.007304,1,0.288168,0.000000,0.000000,0.000000,0.000000,0,0.28812027833928777
