date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-07-02,sz.399240,660.4455,667.3784,655.6531,656.9879,0.0000,3262187,47661903.3500,3,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,
2001-07-03,sz.399240,656.9378,658.9069,655.2041,658.1529,656.9879,2860524,40276786.7100,3,0.000000,1,0.177321,0.000000,0.000000,0.000000,0.000000,0,0.17732442256548353
2001-07-04,sz.399240,658.7740,668.1445,658.5233,664.6901,658.1529,2874008,43163779.8900,3,0.000000,1,0.993269,0.000000,0.000000,0.000000,0.000000,0,0.9932646350111041
2001-07-05,sz.399240,666.8019,680.5500,666.6068,667.3107,664.6901,9195655,143241602.0900,3,0.000000,1,0.394260,0.000000,0.000000,0.000000,0.000000,0,0.39425891855466855
2001-07-06,sz.399240,668.7808,671.8659,658.5613,660.2972,667.3107,3352169,49885406.7500,3,0.000000,1,-1.051017,0.000000,0.000000,0.000000,0.000000,0,-1.0510096721062623
2001-07-09,sz.399240,665.8875,666.7003,654.1261,655.1383,660.2972,2671042,38611415.7800,3,0.000000,1,-0.781296,0.000000,0.000000,0.000000,0.000000,0,-0.781299693531945
2001-07-10,sz.399240,655.0882,659.9548,655.0882,659.1910,655.1383,2397286,34222236.4000,3,0.000000,1,0.618598,0.000000,0.000000,0.000000,0.000000,0,0.6186022096403176
2001-07-11,sz.399240,658.6114,660.3257,652.7048,654.2106,659.1910,4816911,72220115.9400,3,0.000000,1,-0.755533,0.000000,0.000000,0.000000,0.000000,0,-0.7555321598747611
2001-07-12,sz.399240,655.1221,655.1221,646.8071,649.3298,654.2106,5016122,74868142.4400,3,0.000000,1,-0.746059,0.000000,0.000000,0.000000,0.000000,0,-0.7460594493577499
2001-07-13,sz.399240,650.9512,654.6809,647.9349,650.6662,649.3298,3975982,58688439.3800,3,0.000000,1,0.205816,0.000000,0.000000,0.000000,0.000000,0,0.2058122082183811
2001-07-16,sz.399240,654.8243,659.8062,643.7879,645.5905,650.6662,4553114,66913075.1300,3,0.000000,1,-0.780075,0.000000,0.000000,0.000000,0.000000,0,-0.7800774037440394
2001-07-17,sz.399240,645.5730,645.5730,635.7596,641.9810,645.5905,5881177,85292647.9300,3,0.000000,1,-0.559100,0.000000,0.000000,0.000000,0.000000,0,-0.5591005443853381
2001-07-18,sz.399240,643.8840,664.2783,643.8840,657.4054,641.9810,11269323,172119446.9300,3,0.000000,1,2.402622,0.000000,0.000000,0.000000,0.000000,0,2.4026256228766973
2001-07-19,sz.399240,657.8372,661.0610,648.3409,658.5920,657.4054,7603962,115537751.2300,3,0.000000,1,0.180495,0.000000,0.000000,0.000000,0.000000,0,0.18049745256123462
2001-07-20,sz.399240,661.1287,667.7048,656.2203,661.7134,658.5920,7081551,106288712.4500,3,0.000000,1,0.473950,0.000000,0.000000,0.000000,0.000000,0,0.4739504883144674
2001-07-23,sz.399240,663.2173,665.4921,657.1177,660.9374,661.7134,5504804,83286211.6100,3,0.000000,1,-0.117272,0.000000,0.000000,0.000000,0.000000,0,-0.11727131413690195
2001-07-24,sz.399240,660.0050,660.0050,649.8895,651.5264,660.9374,6022791,90677045.0500,3,0.000000,1,-1.423879,0.000000,0.000000,0.000000,0.000000,0,-1.4238867402571076
2001-07-25,sz.399240,650.6356,654.1989,643.9642,645.6265,651.5264,4920500,72911352.8200,3,0.000000,1,-0.905551,0.000000,0.000000,0.000000,0.000000,0,-0.9055504120784708
2001-07-26,sz.399240,645.5436,648.0411,637.9997,642.4012,645.6265,4209963,61264466.7200,3,0.000000,1,-0.499568,0.000000,0.000000,0.000000,0.000000,0,-0.49956127885084634
2001-07-27,sz.399240,644.4734,648.8244,636.4280,647.2433,642.4012,4636626,67873661.1100,3,0.000000,1,0.753750,0.000000,0.000000,0.000000,0.000000,0,0.7537501486609921
2001-07-30,sz.399240,642.6511,642.6511,603.8696,609.3448,647.2433,9984690,138691252.0900,3,0.000000,1,-5.855371,0.000000,0.000000,0.000000,0.000000,0,-5.8553715426641
2001-07-31,sz.399240,602.1042,617.6500,598.8739,600.8528,609.3448,5958925,82171702.1300,3,0.000000,1,-1.393629,0.000000,0.000000,0.000000,0.000000,0,-1.3936280411353197
2001-08-01,sz.399240,601.3239,617.6391,601.3239,617.4614,600.8528,4748561,65755564.6400,3,0.000000,1,2.764179,0.000000,0.000000,0.000000,0.000000,0,2.7641711913467093
