date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2013-02-01,sz.399350,1121.5690,1144.7840,1119.3450,1144.7840,0.0000,371881443,4091258409.7800,3,0.012435,1,0.000000,,,,,0,
2013-02-04,sz.399350,1149.5000,1162.2470,1143.8890,1154.5900,1144.7840,514033046,5753333319.8500,3,0.017189,1,0.856562,,,,,0,0.8565808047631629
2013-02-05,sz.399350,1150.9760,1171.8670,1147.6310,1169.2640,1154.5900,458481396,5377832590.0000,3,0.015330,1,1.270923,,,,,0,1.2709273421734002
2013-02-06,sz.399350,1169.7800,1178.4040,1167.4420,1170.5490,1169.2640,384875194,3865811294.2500,3,0.012869,1,0.109912,,,,,0,0.10989819236717491
2013-02-07,sz.399350,1169.1220,1178.4680,1165.5490,1176.1000,1170.5490,328618730,3850986215.8900,3,0.010988,1,0.474266,,,,,0,0.4742219249258106
2013-02-08,sz.399350,1174.4370,1195.4290,1173.6630,1188.9830,1176.1000,298152127,3563622327.5200,3,0.009969,1,1.095321,,,,,0,1.095400051016071
2013-02-18,sz.399350,1192.4890,1196.1480,1175.4390,1176.1760,1188.9830,307783506,3516083567.4300,3,0.010291,1,-1.077119,,,,,0,-1.077139033947505
2013-02-19,sz.399350,1173.8720,1174.2810,1140.3550,1146.0480,1176.1760,366470072,3993466557.6000,3,0.012254,1,-2.561474,,,,,0,-2.561521404959799
2013-02-20,sz.399350,1144.7810,1163.5580,1140.5580,1163.3710,1146.0480,285783906,3110183898.5400,3,0.009556,1,1.511499,,,,,0,1.5115422739710782
2013-02-21,sz.399350,1149.9060,1151.6000,1126.4290,1135.8330,1163.3710,440765771,4953361855.3600,3,0.014738,1,-2.367115,,,,,0,-2.3670866817206204
2013-02-22,sz.399350,1135.1540,1146.3480,1131.5980,1134.3320,1135.8330,314958957,3841213421.5500,3,0.010531,1,-0.132115,,,,,0,-0.13214970862793773
2013-02-25,sz.399350,1137.3250,1148.1330,1133.8760,1143.4580,1134.3320,335014005,3288622716.4400,3,0.010940,1,0.804557,,,,,0,0.8045263644153478
2013-02-26,sz.399350,1137.0530,1148.1620,1124.1160,1125.4260,1143.4580,370991425,3806867096.4600,3,0.012115,1,-1.577012,,,,,0,-1.576970907545372
2013-02-27,sz.399350,1129.2290,1138.0600,1113.3990,1124.0300,1125.4260,255620085,2782915674.5900,3,0.008347,1,-0.124063,,,,,0,-0.12404191834913814
