date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2013-12-06,sz.399407,2492.4290,2504.1980,2481.6200,2488.2240,0.0000,1408023745,14646200000.0000,3,0.015414,1,0.000000,,,,,0,
2013-12-09,sz.399407,2495.6240,2509.5040,2488.1600,2495.9710,2488.2240,1273012513,12704420000.0000,3,0.013936,1,0.311340,,,,,0,0.31134656686857554
2013-12-10,sz.399407,2497.2180,2515.1680,2493.3230,2504.7650,2495.9710,1499896436,14353090000.0000,3,0.016419,1,0.352326,,,,,0,0.35232781150100756
2013-12-11,sz.399407,2495.1020,2495.1020,2444.3410,2464.7200,2504.7650,1382011044,12892970000.0000,3,0.015129,1,-1.598750,,,,,0,-1.5987527772066468
2013-12-12,sz.399407,2458.9970,2485.1260,2458.9970,2468.0720,2464.7200,1098234008,10454000000.0000,3,0.012022,1,0.136001,,,,,0,0.13599922100686612
2013-12-13,sz.399407,2457.8580,2481.6800,2450.8920,2472.1600,2468.0720,1122255785,10429260000.0000,3,0.012285,1,0.165631,,,,,0,0.16563536233948906
2013-12-16,sz.399407,2479.2860,2485.6350,2415.0740,2415.9050,2472.1600,1302899674,12347020000.0000,3,0.014263,1,-2.275536,,,,,0,-2.2755404180959005
2013-12-17,sz.399407,2415.7420,2425.6660,2393.6490,2400.9090,2415.9050,1022300636,9828890000.0000,3,0.011191,1,-0.620724,,,,,0,-0.6207197716797674
2013-12-18,sz.399407,2401.6000,2412.3470,2388.0100,2397.0330,2400.9090,769808322,7512600000.0000,3,0.008427,1,-0.161438,,,,,0,-0.16143885503366873
2013-12-19,sz.399407,2404.2140,2416.0690,2371.1320,2372.3750,2397.0330,819505166,7530050000.0000,3,0.008971,1,-1.028687,,,,,0,-1.0286883826797544
2013-12-20,sz.399407,2373.6840,2384.1540,2332.0370,2337.6120,2372.3750,853205358,7815530000.0000,3,0.009340,1,-1.465322,,,,,0,-1.4653248327098356
2013-12-23,sz.399407,2337.9080,2343.3220,2295.4210,2326.3580,2337.6120,723605835,6541040000.0000,3,0.007921,1,-0.481438,,,,,0,-0.48143147793560104
2013-12-24,sz.399407,2328.4680,2356.5030,2311.7190,2330.9540,2326.3580,878422564,8317630000.0000,3,0.009616,1,0.197570,,,,,0,0.19756202613698814
2013-12-25,sz.399407,2332.3760,2352.2670,2325.4350,2351.8730,2330.9540,830507629,7956740000.0000,3,0.009091,1,0.897441,,,,,0,0.8974437075978337
2013-12-26,sz.399407,2349.7850,2350.2790,2297.3010,2298.6080,2351.8730,1010087759,9345550000.0000,3,0.011057,1,-2.264796,,,,,0,-2.264790658339111
2013-12-27,sz.399407,2295.9700,2345.6330,2292.8920,2339.6290,2298.6080,966374797,9333110000.0000,3,0.010579,1,1.784602,,,,,0,1.7846018111830952
2013-12-30,sz.399407,2353.6750,2360.4860,2341.1850,2344.4740,2339.6290,1032601347,9494940000.0000,3,0.011304,1,0.207093,,,,,0,0.20708411461818343
2013-12-31,sz.399407,2337.2360,2365.8130,2329.1530,2362.8710,2344.4740,1069210704,9698480000.0000,3,0.011703,1,0.784695,,,,,0,0.7846962687579451
2014-01-02,sz.399407,2358.9700,2367.9260,2352.9260,2367.8320,2362.8710,866731869,10728380000.0000,3,0.009219,1,0.209954,,,,,0,0.20995644705106287
2014-01-03,sz.399407,2363.1510,2366.4540,2331.4890,2342.8210,2367.8320,1063976301,12649250000.0000,3,0.011312,1,-1.056282,,,,,0,-1.056282709246259
2014-01-06,sz.399407,2334.0170,2334.0170,2264.4560,2265.0850,2342.8210,1090682716,12022700000.0000,3,0.011596,1,-3.318055,,,,,0,-3.3180511870091633
2014-01-07,sz.399407,2257.4330,2288.6890,2251.3010,2276.5560,2265.0850,826556360,9499200000.0000,3,0.008521,1,0.506425,,,,,0,0.5064269111313635
2014-01-08,sz.399407,2279.2300,2299.6100,2266.7380,2276.1140,2276.5560,903008696,11119430000.0000,3,0.009309,1,-0.019411,,,,,0,-0.019415292222113578
2014-01-09,sz.399407,2272.2440,2294.9820,2239.0240,2239.4020,2276.1140,1045701181,12539510000.0000,3,0.010780,1,-1.612921,,,,,0,-1.612924484450251
2014-01-10,sz.399407,2231.1190,2235.3050,2197.5360,2206.5220,2239.4020,907696853,10173860000.0000,3,0.009357,1,-1.468255,,,,,0,-1.468249112932829
2014-01-13,sz.399407,2207.1460,2227.4190,2176.8670,2191.1370,2206.5220,802908363,9372820000.0000,3,0.008277,1,-0.697252,,,,,0,-0.6972511490934474
2014-01-14,sz.399407,2193.0070,2231.2350,2180.2310,2231.1540,2191.1370,862059127,9845580000.0000,3,0.008887,1,1.826316,,,,,0,1.826312092762783
2014-01-15,sz.399407,2229.6960,2248.1880,2225.8770,2248.1120,2231.1540,948067605,11140480000.0000,3,0.009773,1,0.760055,,,,,0,0.7600551104943953
2014-01-16,sz.399407,2247.8760,2268.4500,2240.4950,2248.0610,2248.1120,877293437,10503880000.0000,3,0.009044,1,-0.002270,,,,,0,-0.00226857024916427
2014-01-17,sz.399407,2241.3130,2244.1440,2219.0760,2219.6580,2248.0610,790490890,9209930000.0000,3,0.008149,1,-1.263448,,,,,0,-1.2634443638317783
2014-01-20,sz.399407,2216.3050,2228.3780,2199.9060,2212.1740,2219.6580,641512916,7540500000.0000,3,0.006613,1,-0.337164,,,,,0,-0.33716905937761776
2014-01-21,sz.399407,2214.5410,2252.6650,2214.5410,2252.3900,2212.1740,801193668,9254020000.0000,3,0.008259,1,1.817932,,,,,0,1.8179401801124095
2014-01-22,sz.399407,2260.1530,2314.1010,2258.0850,2314.1010,2252.3900,1231987614,14159760000.0000,3,0.012700,1,2.739809,,,,,0,2.7398008337810253
2014-01-23,sz.399407,2313.4640,2334.2350,2309.8660,2320.6700,2314.1010,1178506991,14803370000.0000,3,0.012149,1,0.283862,,,,,0,0.28386833591100835
2014-01-24,sz.399407,2314.3540,2362.0780,2311.9290,2356.8560,2320.6700,1239404360,14902790000.0000,3,0.012777,1,1.559293,,,,,0,1.5592910668039917
2014-01-27,sz.399407,2342.0990,2366.8850,2332.7430,2345.9230,2356.8560,1206123053,14931510000.0000,3,0.012434,1,-0.463875,,,,,0,-0.4638806952991792
2014-01-28,sz.399407,2350.7450,2364.1880,2324.2650,2337.4170,2345.9230,916647056,11720630000.0000,3,0.009448,1,-0.362591,,,,,0,-0.3625864958056946
2014-01-29,sz.399407,2341.4710,2360.9170,2340.5100,2359.6240,2337.4170,969652551,12083060000.0000,3,0.009994,1,0.950067,,,,,0,0.9500658205189749
2014-01-30,sz.399407,2354.3820,2364.7260,2338.2540,2340.5540,2359.6240,871261595,10817490000.0000,3,0.008980,1,-0.808183,,,,,0,-0.8081796082765602
2014-02-07,sz.399407,2329.6160,2394.0230,2325.9810,2393.9610,2340.5540,1037861598,12474820000.0000,3,0.010697,1,2.281809,,,,,0,2.281810203908985
2014-02-10,sz.399407,2406.5820,2478.3100,2406.5820,2476.1950,2393.9610,1798472559,21421170000.0000,3,0.018537,1,3.435066,,,,,0,3.4350601367357347
2014-02-11,sz.399407,2480.1700,2492.5140,2449.8940,2479.3710,2476.1950,1895359639,22926150000.0000,3,0.019536,1,0.128262,,,,,0,0.12826130413798875
