date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-06-01,sz.399606,986.0156,994.7931,948.1186,973.2333,0.0000,135628510,4924176838.9100,3,0.058090,1,0.000000,,,,,0,
2010-06-02,sz.399606,967.7775,997.2925,952.7768,997.2925,973.2333,107462758,4001206160.7700,3,0.046027,1,2.472090,,,,,0,2.4720896829157013
2010-06-03,sz.399606,1002.5290,1026.8800,997.9481,998.5680,997.2925,161680539,6240835495.9000,3,0.069248,1,0.127897,,,,,0,0.12789627917586532
2010-06-04,sz.399606,989.9342,1027.9440,986.7563,1027.9440,998.5680,150029501,5269440644.1100,3,0.064077,1,2.941835,,,,,0,2.941812675751665
2010-06-07,sz.399606,1005.2850,1075.5000,1001.9590,1069.7420,1027.9440,265527537,9106094723.4200,3,0.113406,1,4.066136,,,,,0,4.066174811079204
2010-06-08,sz.399606,1067.6260,1075.8070,1051.2620,1067.4560,1069.7420,197672078,6621994295.2600,3,0.084425,1,-0.213675,,,,,0,-0.2136963866053776
2010-06-09,sz.399606,1071.1540,1102.4090,1069.7330,1078.1270,1067.4560,254156809,8994866395.7100,3,0.108549,1,0.999703,,,,,0,0.999666496792373
2010-06-10,sz.399606,1078.0740,1119.5200,1076.6800,1117.8920,1078.1270,219740471,8242731100.1900,3,0.092961,1,3.688273,,,,,0,3.6883409839471692
2010-06-11,sz.399606,1122.9620,1128.7500,1119.2230,1122.7180,1117.8920,222487419,8449039155.8700,3,0.091702,1,0.431699,,,,,0,0.43170538835595185
2010-06-17,sz.399606,1126.6630,1130.2190,1065.3430,1065.3430,1122.7180,176428356,6757409316.4300,3,0.072718,1,-5.110313,,,,,0,-5.110366093711871
2010-06-18,sz.399606,1052.5650,1053.6370,993.6443,1000.7500,1065.3430,163065095,5827721367.2800,3,0.067210,1,-6.063101,,,,,0,-6.063117700121001
2010-06-21,sz.399606,992.6149,1043.8480,977.0613,1041.4930,1000.7500,157479764,5604269447.3300,3,0.064536,1,4.071182,,,,,0,4.071246565076181
2010-06-22,sz.399606,1037.7270,1058.0670,1034.3330,1035.6820,1041.4930,142716206,5067480291.8500,3,0.058486,1,-0.557964,,,,,0,-0.5579490212608174
2010-06-23,sz.399606,1027.5460,1057.0490,1024.4160,1048.0320,1035.6820,125735943,4608672511.8300,3,0.051527,1,1.192496,,,,,0,1.1924509646783488
2010-06-24,sz.399606,1047.4530,1060.4570,1042.2300,1051.2980,1048.0320,106913294,3904947868.9000,3,0.043813,1,0.311654,,,,,0,0.31163170590211564
2010-06-25,sz.399606,1046.9330,1046.9330,999.8521,1016.9840,1051.2980,123729834,4515664637.1800,3,0.050705,1,-3.264013,,,,,0,-3.2639651174072415
2010-06-28,sz.399606,1009.9190,1015.1130,984.8947,988.5081,1016.9840,92067332,3463552184.2000,3,0.035922,1,-2.800016,,,,,0,-2.8000342188274407
2010-06-29,sz.399606,986.2517,992.9113,913.1688,913.9385,988.5081,149779969,5293896897.0100,3,0.058440,1,-7.543655,,,,,0,-7.543650881565867
2010-06-30,sz.399606,898.9107,922.4456,881.9677,919.9483,913.9385,122366104,3852158586.2900,3,0.047744,1,0.657574,,,,,0,0.6575715980889241
2010-07-01,sz.399606,915.0253,921.8492,882.7983,882.7983,919.9483,104957291,3663773721.7500,3,0.040952,1,-4.038273,,,,,0,-4.038270411500299
2010-07-02,sz.399606,879.5567,885.9481,833.1968,873.7222,882.7983,128883350,4212661774.4100,3,0.050287,1,-1.028100,,,,,0,-1.0281057405751692
2010-07-05,sz.399606,857.9606,871.4634,843.3138,862.8629,873.7222,91586433,2851736006.9100,3,0.035735,1,-1.242879,,,,,0,-1.2428778849845057
2010-07-06,sz.399606,859.8509,899.0643,858.3886,894.3344,862.8629,116523157,3751055713.4200,3,0.045464,1,3.647335,,,,,0,3.6473349358281615
2010-07-07,sz.399606,897.1497,909.1753,890.9503,909.1753,894.3344,104616296,3342473672.5900,3,0.040819,1,1.659433,,,,,0,1.6594352179676974
2010-07-08,sz.399606,912.6258,914.9267,887.6385,906.1334,909.1753,109808788,3780698945.0600,3,0.042845,1,-0.334575,,,,,0,-0.33457794112972117
2010-07-09,sz.399606,904.2270,937.2879,897.6116,932.9009,906.1334,145146033,4743256780.7000,3,0.056632,1,2.954031,,,,,0,2.9540352447001705
2010-07-12,sz.399606,932.2889,941.8330,924.8053,930.9260,932.9009,126361753,4188147301.5600,3,0.049303,1,-0.211690,,,,,0,-0.2116945111747648
2010-07-13,sz.399606,925.6969,937.4018,907.0375,931.8332,930.9260,146865741,4744135623.1300,3,0.057303,1,0.097448,,,,,0,0.09745135488750112
2010-07-14,sz.399606,930.5012,938.6909,916.8153,923.1080,931.8332,142358618,4648080329.2800,3,0.055545,1,-0.936350,,,,,0,-0.9363478356426924
2010-07-15,sz.399606,920.7901,931.3083,893.2794,893.2794,923.1080,117588081,3960490864.2200,3,0.045880,1,-3.231318,,,,,0,-3.2313228787964055
2010-07-16,sz.399606,885.8352,895.8324,869.7761,893.0722,893.2794,100931228,3264221674.9800,3,0.038496,1,-0.023197,,,,,0,-0.02319543023158177
2010-07-19,sz.399606,882.4211,910.9660,878.8271,908.8370,893.0722,93880257,2992584133.5800,3,0.035807,1,1.765229,,,,,0,1.7652324190586155
2010-07-20,sz.399606,910.3329,938.3589,910.3329,937.8298,908.8370,136580867,4559580868.6800,3,0.052094,1,3.190099,,,,,0,3.1900989946492153
2010-07-21,sz.399606,940.9127,959.8699,938.9739,942.0672,937.8298,166574558,5960654023.4300,3,0.062924,1,0.451833,,,,,0,0.45183038542815357
2010-07-22,sz.399606,939.0323,951.0335,932.8283,951.0335,942.0672,132660271,4356669335.3200,3,0.050113,1,0.951770,,,,,0,0.9517686211769183
2010-07-23,sz.399606,952.6658,965.5805,948.9485,961.4219,951.0335,172125133,5339086418.0700,3,0.064888,1,1.092324,,,,,0,1.092327452187547
2010-07-26,sz.399606,963.5953,967.5710,955.5871,966.9927,961.4219,147603566,4626044944.9900,3,0.054794,1,0.579434,,,,,0,0.5794334412394742
2010-07-27,sz.399606,964.3799,968.8798,956.5607,958.7982,966.9927,136182130,4574086800.2900,3,0.050297,1,-0.847417,,,,,0,-0.8474210818758099
2010-07-28,sz.399606,956.0168,973.3776,955.3493,973.3776,958.7982,156618268,5187227527.1500,3,0.057844,1,1.520592,,,,,0,1.5205910899707575
2010-07-29,sz.399606,975.1410,982.8668,966.4440,976.2084,973.3776,179419309,5897853304.3300,3,0.066266,1,0.290817,,,,,0,0.29082238999540433
2010-07-30,sz.399606,972.5060,972.5060,956.7474,969.2709,976.2084,145848678,5049473241.6200,3,0.053635,1,-0.710658,,,,,0,-0.7106576833389222
2010-08-02,sz.399606,969.2900,995.0911,969.2900,995.0911,969.2709,181036429,6104407789.0300,3,0.066442,1,2.663884,,,,,0,2.6638785916300645
2010-08-03,sz.399606,996.0582,997.1279,976.4916,976.4916,995.0911,175705877,5951414561.5700,3,0.064485,1,-1.869130,,,,,0,-1.8691253494278137
2010-08-04,sz.399606,972.2495,978.8622,956.7596,978.8622,976.4916,144616538,4758297320.8200,3,0.053075,1,0.242768,,,,,0,0.24276706527737169
2010-08-05,sz.399606,981.1207,998.9673,979.1819,988.2081,978.8622,177039972,6033987120.8200,3,0.064975,1,0.954777,,,,,0,0.9547717748218165
2010-08-06,sz.399606,988.8246,1012.2680,986.4850,1012.2680,988.2081,189906135,6225316745.7400,3,0.069697,1,2.434685,,,,,0,2.4346997358147604
2010-08-09,sz.399606,1014.1240,1033.2350,1014.1240,1033.2350,1012.2680,209199502,6918898501.4900,3,0.076778,1,2.071264,,,,,0,2.0712894213785082
2010-08-10,sz.399606,1032.8740,1035.2290,994.8547,994.8547,1033.2350,217707159,7106822601.1400,3,0.079900,1,-3.714543,,,,,0,-3.7145760644964554
2010-08-11,sz.399606,992.1382,1007.3210,991.8003,1005.5090,994.8547,161507822,5180189726.5000,3,0.059274,1,1.070915,,,,,0,1.0709403091727854
2010-08-12,sz.399606,994.9146,1008.4510,988.8347,992.6374,1005.5090,168918923,5316055441.8600,3,0.061994,1,-1.280082,,,,,0,-1.2801078856579218
2010-08-13,sz.399606,993.4868,1008.3940,987.4786,1008.0800,992.6374,147179842,4831450138.8400,3,0.054016,1,1.555668,,,,,0,1.555714100637351
2010-08-16,sz.399606,1008.3720,1031.9460,1005.9240,1031.1100,1008.0800,188040007,6199923328.8100,3,0.069012,1,2.284624,,,,,0,2.2845409094516267
2010-08-17,sz.399606,1031.9690,1037.7200,1023.9670,1034.4770,1031.1100,180077710,6092952253.5100,3,0.066090,1,0.326512,,,,,0,0.3265413001522832
2010-08-18,sz.399606,1034.6040,1036.5090,1019.3790,1027.6120,1034.4770,164350147,5721278602.5500,3,0.060318,1,-0.663596,,,,,0,-0.6636203608200053
2010-08-19,sz.399606,1027.8730,1034.1440,1022.5900,1026.4150,1027.6120,162453428,5547407031.1400,3,0.059622,1,-0.116474,,,,,0,-0.11648365336334177
2010-08-20,sz.399606,1022.3440,1023.3340,994.4221,996.8079,1026.4150,187022476,6597771541.6200,3,0.068213,1,-2.884552,,,,,0,-2.8845155224738517
2010-08-23,sz.399606,995.8013,1002.0520,992.3780,996.4762,996.8079,145601446,5064149924.5000,3,0.053105,1,-0.033279,,,,,0,-0.03327622102513583
2010-08-24,sz.399606,994.4378,1008.6340,988.0809,1005.8570,996.4762,136505173,4942148654.1000,3,0.049788,1,0.941379,,,,,0,0.9413972957909023
2010-08-25,sz.399606,1001.1370,1003.1990,977.4016,977.7252,1005.8570,150134272,5247658105.9000,3,0.054759,1,-2.796779,,,,,0,-2.7967991473937137
2010-08-26,sz.399606,979.4474,985.7229,973.8458,981.4809,977.7252,128806654,4668329056.6800,3,0.046692,1,0.384124,,,,,0,0.3841263373389525
2010-08-27,sz.399606,979.3626,1001.7290,976.5666,1000.3230,981.4809,121624294,4490466099.0200,3,0.044088,1,1.919775,,,,,0,1.9197622694440586
2010-08-30,sz.399606,1003.8570,1026.0420,1003.8570,1025.8180,1000.3230,164541225,5997851095.3900,3,0.059646,1,2.548615,,,,,0,2.5486767774008934
2010-08-31,sz.399606,1021.6330,1030.6950,1016.0140,1026.4590,1025.8180,153469989,5742617797.0400,3,0.055632,1,0.062569,,,,,0,0.06248671791682092
2010-09-01,sz.399606,1026.5680,1030.6980,988.4453,996.4502,1026.4590,186436260,6805223638.8600,3,0.067583,1,-2.923560,,,,,0,-2.9235264145962003
2010-09-02,sz.399606,1002.4660,1019.1590,997.3885,1015.8020,996.4502,163085743,5905102093.9000,3,0.059118,1,1.942124,,,,,0,1.9420739741935922
2010-09-03,sz.399606,1018.6040,1046.2050,1018.4760,1037.6870,1015.8020,228936521,8448724535.7900,3,0.082585,1,2.154419,,,,,0,2.154455297390623
2010-09-06,sz.399606,1040.4510,1044.2310,1008.3830,1011.7230,1037.6870,181308084,6466212157.1000,3,0.065404,1,-2.502084,,,,,0,-2.502103235368658
2010-09-07,sz.399606,1011.0740,1023.5930,1008.5930,1023.5930,1011.7230,128451498,4586031317.6800,3,0.046337,1,1.173173,,,,,0,1.1732460367116282
