date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2014-12-18,sz.399611,1661.6460,1674.0160,1653.7510,1654.0450,0.0000,2153085312,41937914880.0000,3,0.026864,1,0.000000,,,,,0,
2014-12-19,sz.399611,1649.3200,1651.5640,1603.2190,1624.9340,1654.0450,2092939168,39639791360.0000,3,0.026114,1,-1.759993,,,,,0,-1.7599883920933257
2014-12-22,sz.399611,1616.9750,1616.9750,1560.1490,1563.9750,1624.9340,2326727648,41736174848.0000,3,0.029011,1,-3.751475,,,,,0,-3.7514754445411413
2014-12-23,sz.399611,1553.1470,1583.9680,1541.3570,1542.7660,1563.9750,1637484272,30155580160.0000,3,0.020417,1,-1.356095,,,,,0,-1.3560958455218208
2014-12-24,sz.399611,1550.7180,1561.9880,1544.1370,1560.6470,1542.7660,1497910624,27113103616.0000,3,0.018677,1,1.159021,,,,,0,1.1590221718653204
2014-12-25,sz.399611,1564.8550,1579.2320,1561.9330,1579.1800,1560.6470,1414293392,26467516160.0000,3,0.017636,1,1.187526,,,,,0,1.187520304079026
2014-12-26,sz.399611,1582.0270,1596.7040,1574.9900,1595.8940,1579.1800,1684542896,30641060608.0000,3,0.021004,1,1.058397,,,,,0,1.0583973961169724
2014-12-29,sz.399611,1598.0240,1598.2760,1566.6990,1576.8010,1595.8940,2072687824,37589390336.0000,3,0.025844,1,-1.196384,,,,,0,-1.1963827171478814
2014-12-30,sz.399611,1572.8550,1575.8890,1538.3040,1541.7660,1576.8010,1799766832,34080659200.0000,3,0.022441,1,-2.221906,,,,,0,-2.2219037151802845
2014-12-31,sz.399611,1539.2820,1562.3170,1538.0320,1560.6900,1541.7660,1674321408,31315204096.0000,3,0.020789,1,1.227420,,,,,0,1.22742361681345
2015-01-05,sz.399611,1563.8020,1599.5810,1547.6250,1592.9810,1560.6900,2207069536,42357850624.0000,3,0.028675,1,2.069022,,,,,,2.0690207536410155
2015-01-06,sz.399611,1582.8520,1644.9940,1577.8760,1641.0860,1592.9810,2324131712,47930494464.0000,3,0.030196,1,3.019817,,,,,,3.0198100291215058
2015-01-07,sz.399611,1641.0140,1644.9230,1619.0150,1626.3180,1641.0860,1850210176,37806138880.0000,3,0.024038,1,-0.899896,,,,,,-0.8998919008510242
2015-01-08,sz.399611,1623.5750,1653.2340,1622.0020,1635.1410,1626.3180,1890666208,38559084800.0000,3,0.024564,1,0.542514,,,,,,0.5425138257093787
2015-01-09,sz.399611,1629.7480,1669.7480,1629.7480,1637.9120,1635.1410,2032267728,43189357056.0000,3,0.026404,1,0.169465,,,,,,0.16946550786751668
2015-01-12,sz.399611,1635.9790,1660.6810,1633.7420,1655.3040,1637.9120,1608101632,35114876160.0000,3,0.020893,1,1.061838,,,,,,1.0618397081161968
2015-01-13,sz.399611,1656.4750,1696.3620,1655.1030,1689.4500,1655.3040,1891231952,41620371968.0000,3,0.024571,1,2.062823,,,,,,2.062823505531308
2015-01-14,sz.399611,1686.8760,1694.0610,1669.6690,1677.3310,1689.4500,1607737520,34586669824.0000,3,0.020888,1,-0.717328,,,,,,-0.7173340436236741
2015-01-15,sz.399611,1675.2720,1684.2580,1666.2450,1679.9230,1677.3310,1337043888,29353046272.0000,3,0.017368,1,0.154526,,,,,,0.1545312165577295
2015-01-16,sz.399611,1680.1690,1725.3040,1680.1690,1722.7660,1679.9230,1927091168,40536155648.0000,3,0.025032,1,2.550297,,,,,,2.5502954599704974
2015-01-19,sz.399611,1680.0800,1752.4100,1661.6720,1686.8690,1722.7660,2449601632,52024923136.0000,3,0.031711,1,-2.083683,,,,,,-2.0836840290556102
2015-01-20,sz.399611,1692.4410,1754.1530,1692.4410,1753.7670,1686.8690,2389915632,52148311808.0000,3,0.030939,1,3.965806,,,,,,3.9658088446702155
2015-01-21,sz.399611,1763.4280,1787.5520,1761.1620,1784.8820,1753.7670,2679511136,58665575936.0000,3,0.034688,1,1.774181,,,,,,1.774180948780546
2015-01-22,sz.399611,1785.2930,1806.0710,1781.2680,1803.0920,1784.8820,2419200512,54168509696.0000,3,0.031318,1,1.020240,,,,,,1.0202355113671402
2015-01-23,sz.399611,1803.2160,1805.2610,1761.0310,1767.1160,1803.0920,2157778720,48439290368.0000,3,0.027933,1,-1.995243,,,,,,-1.9952392889547532
2015-01-26,sz.399611,1772.1760,1813.5410,1772.1760,1812.7630,1767.1160,2212570464,45281469184.0000,3,0.028643,1,2.583134,,,,,,2.5831354591322686
2015-01-27,sz.399611,1818.0950,1825.0410,1786.9470,1816.4000,1812.7630,2467006656,49898007296.0000,3,0.031937,1,0.200638,,,,,,0.2006329564317122
2015-01-28,sz.399611,1809.3120,1818.3080,1787.2660,1792.2560,1816.4000,1802000992,38984226816.0000,3,0.023328,1,-1.329225,,,,,,-1.3292226381854233
2015-01-29,sz.399611,1776.7660,1795.2080,1772.3290,1779.6460,1792.2560,1750090896,34993788160.0000,3,0.022656,1,-0.703582,,,,,,-0.7035825239251614
2015-01-30,sz.399611,1780.6700,1789.1890,1748.9570,1749.4170,1779.6460,1550464912,32209555712.0000,3,0.020058,1,-1.698596,,,,,,-1.698596237678729
2015-02-02,sz.399611,1732.2460,1765.0120,1728.3040,1748.5740,1749.4170,1430225184,30615799552.0000,3,0.018502,1,-0.048188,,,,,,-0.04818748188681887
2015-02-03,sz.399611,1759.3800,1808.7220,1759.3800,1801.5700,1748.5740,1860560832,41378514944.0000,3,0.024069,1,3.030811,,,,,,3.0308125363867955
2015-02-04,sz.399611,1805.5810,1814.9630,1794.9020,1796.9360,1801.5700,2034089520,42720012032.0000,3,0.026312,1,-0.257215,,,,,,-0.25722009136475155
2015-02-05,sz.399611,1806.5580,1841.4020,1797.3240,1801.0160,1796.9360,2356374928,52259409664.0000,3,0.030480,1,0.227051,,,,,,0.22705316160398503
2015-02-06,sz.399611,1799.6980,1806.9460,1750.9200,1759.1130,1801.0160,1777378432,37839609600.0000,3,0.022991,1,-2.326629,,,,,,-2.3266311903947567
2015-02-09,sz.399611,1754.7850,1777.3600,1737.1130,1741.8960,1759.1130,1465623328,31091172096.0000,3,0.018957,1,-0.978734,,,,,,-0.978731894994811
2015-02-10,sz.399611,1744.1370,1788.7770,1741.0530,1788.7770,1741.8960,1310515536,28776010240.0000,3,0.016951,1,2.691377,,,,,,2.691377671227224
2015-02-11,sz.399611,1790.3110,1822.7450,1790.1600,1812.0790,1788.7770,1469720656,33959406848.0000,3,0.019009,1,1.302678,,,,,,1.302677751335124
2015-02-12,sz.399611,1814.5660,1826.5090,1812.2900,1824.3320,1812.0790,1480510736,33383300096.0000,3,0.019148,1,0.676188,,,,,,0.6761846475788369
2015-02-13,sz.399611,1834.3060,1865.9710,1834.3060,1855.6010,1824.3320,1949754688,44693442048.0000,3,0.025215,1,1.713993,,,,,,1.7139972329597963
2015-02-16,sz.399611,1869.0530,1922.7370,1869.0530,1922.5140,1855.6010,2195186688,53447526144.0000,3,0.028380,1,3.606006,,,,,,3.60600150571162
2015-02-17,sz.399611,1935.3100,1937.7290,1913.8610,1926.6150,1922.5140,1733831632,43694621440.0000,3,0.022397,1,0.213312,,,,,,0.21331444140328948
2015-02-25,sz.399611,1935.2140,1938.7080,1903.0680,1910.1360,1926.6150,1917644016,47697630464.0000,3,0.024768,1,-0.855335,,,,,,-0.8553343558521109
2015-02-26,sz.399611,1908.2590,1924.7340,1897.5960,1924.7340,1910.1360,1878223856,45281533184.0000,3,0.024245,1,0.764240,,,,,,0.7642387767153647
2015-02-27,sz.399611,1924.6030,1954.9680,1920.9520,1948.1370,1924.7340,2071872064,51298208256.0000,3,0.026745,1,1.215906,,,,,,1.2159082761566076
2015-03-02,sz.399611,1958.9420,1981.0920,1952.2930,1980.6190,1948.1370,2717610704,66197180416.0000,3,0.035081,1,1.667339,,,,,,1.6673365374201055
2015-03-03,sz.399611,1967.7380,1981.9410,1945.5800,1946.5370,1980.6190,2728151856,66336526080.0000,3,0.035217,1,-1.720777,,,,,,-1.7207751718023467
2015-03-04,sz.399611,1948.0030,1984.2520,1948.0030,1984.2190,1946.5370,2352633104,58550567424.0000,3,0.030369,1,1.935848,,,,,,1.9358481241301906
2015-03-05,sz.399611,1989.1350,1999.5140,1972.3500,1993.9610,1984.2190,2424245152,62445652224.0000,3,0.031294,1,0.490977,,,,,,0.49097403058835365
2015-03-06,sz.399611,1998.7730,1999.0840,1940.6350,1940.7780,1993.9610,2036377904,51456623104.0000,3,0.026287,1,-2.667209,,,,,,-2.667203621334624
2015-03-09,sz.399611,1930.5060,1972.0280,1919.3060,1972.0280,1940.7780,1893520800,45549844992.0000,3,0.024443,1,1.610179,,,,,,1.6101790106854086
2015-03-10,sz.399611,1976.3860,2024.1820,1975.7540,2016.2460,1972.0280,2409022688,60197857536.0000,3,0.031097,1,2.242261,,,,,,2.2422602518828327
2015-03-11,sz.399611,2017.7770,2022.5720,1998.3670,2003.5050,2016.2460,2189677376,55797547264.0000,3,0.028266,1,-0.631915,,,,,,-0.6319169387068779
2015-03-12,sz.399611,2012.9380,2018.1510,1975.4160,1998.2270,2003.5050,2483057184,59595032064.0000,3,0.032053,1,-0.263436,,,,,,-0.26343832433659564
2015-03-13,sz.399611,2006.1710,2030.1710,1999.9860,2028.7790,1998.2270,2181684672,53462468608.0000,3,0.028163,1,1.528955,,,,,,1.5289554189789278
2015-03-16,sz.399611,2047.3460,2100.5750,2046.3400,2099.4000,2028.7790,3024893824,77072424960.0000,3,0.039043,1,3.480953,,,,,,3.480960715780279
2015-03-17,sz.399611,2108.3920,2116.5120,2081.0040,2102.9650,2099.4000,3061028832,76881530880.0000,3,0.039508,1,0.169819,,,,,,0.16981042202535157
2015-03-18,sz.399611,2101.2400,2143.3230,2089.3610,2141.5530,2102.9650,3054345280,74613485568.0000,3,0.039422,1,1.834928,,,,,,1.8349330588002921
2015-03-19,sz.399611,2143.3760,2145.7520,2121.6190,2141.7140,2141.5530,2733850784,68042844416.0000,3,0.035286,1,0.007524,,,,,,0.007517908732590506
2015-03-20,sz.399611,2140.2230,2176.5370,2140.2230,2159.8560,2141.7140,3108477648,78967132160.0000,3,0.039931,1,0.847071,,,,,,0.8470785548397419
2015-03-23,sz.399611,2171.7780,2232.2940,2171.7780,2232.2940,2159.8560,3358152832,88878473216.0000,3,0.043139,1,3.353834,,,,,,3.353834700091096
2015-03-24,sz.399611,2243.3840,2280.2770,2187.5200,2275.6200,2232.2940,3861033328,107684241408.0000,3,0.049599,1,1.940881,,,,,,1.9408733795817312
2015-03-25,sz.399611,2277.6250,2323.8330,2266.8260,2303.1680,2275.6200,3666214464,101055033344.0000,3,0.047346,1,1.210565,,,,,,1.2105711849957457
2015-03-26,sz.399611,2289.6890,2300.0250,2227.7310,2246.8320,2303.1680,3324318816,91838386176.0000,3,0.042930,1,-2.446019,,,,,,-2.4460221746742006
2015-03-27,sz.399611,2243.6480,2288.6460,2239.0800,2283.1000,2246.8320,2434873632,65519830784.0000,3,0.031444,1,1.614187,,,,,,1.6141838820169951
2015-03-30,sz.399611,2286.2250,2303.3180,2273.1410,2293.7060,2283.1000,2757037920,73375756288.0000,3,0.035608,1,0.464542,,,,,,0.4645438219964104
2015-03-31,sz.399611,2298.0390,2344.0760,2290.7680,2313.2040,2293.7060,3054314592,84831404032.0000,3,0.039441,1,0.850067,,,,,,0.8500653527522717
2015-04-01,sz.399611,2322.5070,2387.8010,2321.9290,2378.2200,2313.2040,2762860544,77053579264.0000,3,0.035673,1,2.810641,,,,,,2.8106470505843584
2015-04-02,sz.399611,2403.6920,2429.9470,2387.8140,2428.5860,2378.2200,3309579664,94525771776.0000,3,0.042732,1,2.117801,,,,,,2.117802390022794
2015-04-03,sz.399611,2417.3500,2457.3870,2409.1980,2453.3310,2428.5860,2976337920,85430489088.0000,3,0.038428,1,1.018911,,,,,,1.018905651271984
2015-04-07,sz.399611,2469.0620,2490.6960,2466.4080,2490.5320,2453.3310,2923293680,88218378240.0000,3,0.037743,1,1.516344,,,,,,1.5163465508730711
2015-04-08,sz.399611,2498.2230,2498.8400,2401.1770,2438.4670,2490.5320,3245381104,95859773440.0000,3,0.041762,1,-2.090515,,,,,,-2.090517206765463
2015-04-09,sz.399611,2433.8410,2433.8410,2308.5300,2408.2720,2438.4670,3163409008,91529244672.0000,3,0.040707,1,-1.238281,,,,,,-1.2382779836676128
2015-04-10,sz.399611,2396.2930,2478.4230,2382.5470,2470.4420,2408.2720,2547029696,77278650368.0000,3,0.032680,1,2.581516,,,,,,2.5815190310729097
2015-04-13,sz.399611,2477.7970,2518.3110,2461.6540,2512.0470,2470.4420,2991231088,92051836928.0000,3,0.038379,1,1.684121,,,,,,1.684111588128756
2015-04-14,sz.399611,2516.2310,2526.1900,2471.2530,2492.9800,2512.0470,2790727776,83930157056.0000,3,0.035807,1,-0.759028,,,,,,-0.7590224227492559
2015-04-15,sz.399611,2486.1670,2486.1670,2403.2290,2403.2290,2492.9800,2662513680,78045229056.0000,3,0.034158,1,-3.600148,,,,,,-3.600149219006976
2015-04-16,sz.399611,2382.4520,2472.1040,2372.1620,2442.1270,2403.2290,2357591024,69704478720.0000,3,0.030131,1,1.618570,,,,,,1.6185723457897705
2015-04-17,sz.399611,2461.9260,2467.9430,2432.8650,2439.7690,2442.1270,2710678784,77978963968.0000,3,0.034644,1,-0.096551,,,,,,-0.09655517505846589
2015-04-20,sz.399611,2436.8660,2446.9390,2375.1540,2388.3740,2439.7690,2940479296,81143754752.0000,3,0.037581,1,-2.106553,,,,,,-2.106551890773267
2015-04-21,sz.399611,2402.5170,2495.1060,2402.5170,2495.1060,2388.3740,2706784416,79651344384.0000,3,0.034594,1,4.468812,,,,,,4.4688143481716125
2015-04-22,sz.399611,2529.5470,2568.1000,2529.5470,2564.7410,2495.1060,3287325424,96968581120.0000,3,0.041869,1,2.790864,,,,,,2.790863394180443
2015-04-23,sz.399611,2588.6830,2632.0540,2579.9830,2618.9430,2564.7410,3551857408,105902370816.0000,3,0.045238,1,2.113358,,,,,,2.1133517965362003
2015-04-24,sz.399611,2605.3640,2646.9900,2586.2410,2633.3560,2618.9430,3274868672,96747585536.0000,3,0.041522,1,0.550330,,,,,,0.550336528897355
2015-04-27,sz.399611,2671.2790,2694.3870,2636.3830,2648.4830,2633.3560,2962966208,90410311680.0000,3,0.037535,1,0.574436,,,,,,0.5744380934442628
