date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2005-01-04,sz.399617,982.7459,982.7459,982.7459,982.7459,0.0000,0,0.0000,3,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,
2005-01-05,sz.399617,994.3689,994.3689,994.3689,994.3689,982.7459,0,0.0000,3,0.000000,1,1.182705,0.000000,0.000000,0.000000,0.000000,0,1.1827065368575918
2005-01-06,sz.399617,986.3055,986.3055,986.3055,986.3055,994.3689,0,0.0000,3,0.000000,1,-0.810908,0.000000,0.000000,0.000000,0.000000,0,-0.810906294434588
2005-01-07,sz.399617,988.7594,988.7594,988.7594,988.7594,986.3055,0,0.0000,3,0.000000,1,0.248799,0.000000,0.000000,0.000000,0.000000,0,0.24879715260637258
2005-01-10,sz.399617,998.7777,998.7777,998.7777,998.7777,988.7594,0,0.0000,3,0.000000,1,1.013220,0.000000,0.000000,0.000000,0.000000,0,1.013219191645609
2005-01-11,sz.399617,1001.5610,1001.5610,1001.5610,1001.5610,998.7777,0,0.0000,3,0.000000,1,0.278691,0.000000,0.000000,0.000000,0.000000,0,0.2786706190977206
2005-01-12,sz.399617,1002.2330,1002.2330,1002.2330,1002.2330,1001.5610,0,0.0000,3,0.000000,1,0.067071,0.000000,0.000000,0.000000,0.000000,0,0.06709526429242718
2005-01-13,sz.399617,1003.6530,1003.6530,1003.6530,1003.6530,1002.2330,0,0.0000,3,0.000000,1,0.141645,0.000000,0.000000,0.000000,0.000000,0,0.14168362047548566
2005-01-14,sz.399617,998.7043,998.7043,998.7043,998.7043,1003.6530,0,0.0000,3,0.000000,1,-0.493030,0.000000,0.000000,0.000000,0.000000,0,-0.4930688196019939
2005-01-17,sz.399617,977.8066,977.8066,977.8066,977.8066,998.7043,0,0.0000,3,0.000000,1,-2.092482,0.000000,0.000000,0.000000,0.000000,0,-2.0924812279270233
2005-01-18,sz.399617,988.6847,988.6847,988.6847,988.6847,977.8066,0,0.0000,3,0.000000,1,1.112502,0.000000,0.000000,0.000000,0.000000,0,1.112500161074803
