date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2013-10-29,sz.399670,2139.4880,2169.3720,2080.0220,2121.0870,0.0000,1350407343,9875320000.0000,3,0.012802,1,0.000000,,,,,0,
2013-10-30,sz.399670,2121.8220,2153.1100,2115.0400,2152.6210,2121.0870,1026569565,8160300000.0000,3,0.009732,1,1.486699,,,,,0,1.4866905506469186
2013-10-31,sz.399670,2162.9000,2174.7230,2139.8600,2143.5620,2152.6210,1129447134,9362190000.0000,3,0.010706,1,-0.420840,,,,,0,-0.4208358089975106
2013-11-01,sz.399670,2146.6530,2170.0210,2141.8050,2164.5140,2143.5620,690092475,6147930000.0000,3,0.006542,1,0.977434,,,,,0,0.9774384879000619
2013-11-04,sz.399670,2179.4670,2186.2260,2162.1230,2163.9680,2164.5140,619852475,5798390000.0000,3,0.005876,1,-0.025220,,,,,0,-0.025225062069378357
2013-11-05,sz.399670,2153.8740,2174.3410,2134.4700,2171.5670,2163.9680,677483672,6053010000.0000,3,0.006422,1,0.351155,,,,,0,0.351160460783162
2013-11-06,sz.399670,2163.1570,2174.1430,2144.7140,2145.7780,2171.5670,756719386,6611050000.0000,3,0.007173,1,-1.187567,,,,,0,-1.1875756078444821
2013-11-07,sz.399670,2142.1440,2146.2280,2114.1750,2121.5370,2145.7780,588498641,5185080000.0000,3,0.005579,1,-1.129705,,,,,0,-1.1297068009831435
2013-11-08,sz.399670,2114.9960,2125.0220,2085.8010,2087.0550,2121.5370,614769425,5232790000.0000,3,0.005828,1,-1.625339,,,,,0,-1.6253310689372857
2013-11-11,sz.399670,2082.3010,2098.0840,2068.1460,2089.8210,2087.0550,536202165,4540560000.0000,3,0.005083,1,0.132537,,,,,0,0.13253124618182177
2013-11-12,sz.399670,2091.2760,2107.6490,2082.4880,2105.0950,2089.8210,506724469,4305470000.0000,3,0.004803,1,0.730873,,,,,0,0.7308759936855758
2013-11-13,sz.399670,2092.9850,2093.2280,2066.2620,2067.1740,2105.0950,574161999,4714510000.0000,3,0.005443,1,-1.801387,,,,,0,-1.8013913861369635
2013-11-14,sz.399670,2077.4720,2084.0110,2058.7500,2082.4670,2067.1740,557985817,4821260000.0000,3,0.005289,1,0.739801,,,,,0,0.7398022614448552
2013-11-15,sz.399670,2085.7570,2150.1540,2083.6690,2125.7420,2082.4670,986954602,8681690000.0000,3,0.009273,1,2.078059,,,,,0,2.0780641421928925
2013-11-18,sz.399670,2135.2690,2187.1220,2130.8340,2186.8080,2125.7420,1082871779,9646000000.0000,3,0.010174,1,2.872699,,,,,0,2.872691041528075
2013-11-19,sz.399670,2186.7420,2186.7420,2167.7200,2176.4770,2186.8080,830019139,7419460000.0000,3,0.007797,1,-0.472426,,,,,0,-0.47242373358795664
2013-11-20,sz.399670,2196.0470,2201.8020,2171.1800,2185.5350,2176.4770,704256003,5859660000.0000,3,0.006584,1,0.416171,,,,,0,0.41617715234298913
2013-11-21,sz.399670,2171.3300,2171.3300,2143.4660,2163.7460,2185.5350,910952700,7905830000.0000,3,0.008516,1,-0.996956,,,,,0,-0.9969641300642484
2013-11-22,sz.399670,2170.3300,2172.0470,2147.6250,2152.3010,2163.7460,998009977,6996160000.0000,3,0.009330,1,-0.528947,,,,,0,-0.5289437854535728
2013-11-25,sz.399670,2140.7370,2171.6180,2135.1950,2149.9970,2152.3010,762146277,6314830000.0000,3,0.007125,1,-0.107046,,,,,0,-0.10704822420284366
2013-11-26,sz.399670,2149.4770,2159.7490,2141.0020,2147.7560,2149.9970,762080225,6575830000.0000,3,0.007116,1,-0.104231,,,,,0,-0.10423270358052017
