date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-05-10,sz.399701,3777.5600,3834.8800,3741.7200,3822.0000,0.0000,701216200,9567220000.0000,3,0.008454,1,0.000000,,,,,0,
2010-05-11,sz.399701,3896.9800,3907.4500,3774.5000,3780.7300,3822.0000,925229900,12407050000.0000,3,0.011155,1,-1.079802,,,,,0,-1.07980115122972
2010-05-12,sz.399701,3754.1400,3816.1900,3713.7800,3800.3800,3780.7300,792860300,10154020000.0000,3,0.009559,1,0.519738,,,,,0,0.5197408965993411
2010-05-13,sz.399701,3808.2700,3888.9900,3783.5800,3888.9900,3800.3800,803157500,10947170000.0000,3,0.009564,1,2.331612,,,,,0,2.3316089443687016
2010-05-14,sz.399701,3860.4200,3871.0800,3826.7100,3847.0500,3888.9900,603958100,8114340000.0000,3,0.007165,1,-1.078428,,,,,0,-1.07842910370044
2010-05-17,sz.399701,3792.2500,3792.2500,3613.7500,3614.6200,3847.0500,818645200,10067800000.0000,3,0.009712,1,-6.041770,,,,,0,-6.041772267061784
2010-05-18,sz.399701,3612.9000,3715.7300,3564.9100,3699.8800,3614.6200,908816200,10969040000.0000,3,0.010782,1,2.358748,,,,,0,2.3587541705628823
2010-05-19,sz.399701,3666.9800,3736.8200,3626.0600,3679.8000,3699.8800,711903100,8875910000.0000,3,0.008446,1,-0.542716,,,,,0,-0.5427203044423012
2010-05-20,sz.399701,3655.1600,3753.9300,3647.9600,3664.2000,3679.8000,763412200,10510530000.0000,3,0.009033,1,-0.423939,,,,,0,-0.4239360834828121
2010-05-21,sz.399701,3574.1900,3753.2500,3560.8800,3753.2500,3664.2000,969532600,11909840000.0000,3,0.011472,1,2.430273,,,,,0,2.430271273402118
2010-05-24,sz.399701,3782.6700,3913.9800,3782.6700,3891.1000,3753.2500,1252107100,15898510000.0000,3,0.014815,1,3.672820,,,,,0,3.6728168920268978
2010-05-25,sz.399701,3863.0700,3864.6800,3785.9600,3804.3700,3891.1000,833608800,10741530000.0000,3,0.009864,1,-2.228932,,,,,0,-2.228932692554808
2010-05-26,sz.399701,3804.1700,3844.1900,3785.3300,3812.4400,3804.3700,652963200,8309320000.0000,3,0.007699,1,0.212120,,,,,0,0.21212447790304179
2010-05-27,sz.399701,3806.6000,3882.0600,3754.0100,3869.9900,3812.4400,820481400,10261630000.0000,3,0.009674,1,1.509533,,,,,0,1.5095319532897555
2010-05-28,sz.399701,3904.0500,3916.9200,3831.1600,3851.9300,3869.9900,840454000,10517200000.0000,3,0.009909,1,-0.466669,,,,,0,-0.46666787252680475
2010-05-31,sz.399701,3833.4100,3862.0600,3740.7400,3740.7400,3851.9300,719947700,9440230000.0000,3,0.008489,1,-2.886603,,,,,0,-2.886604896766043
2010-06-01,sz.399701,3714.1900,3751.1400,3660.0200,3701.2900,3740.7400,654896000,8428680000.0000,3,0.007722,1,-1.054603,,,,,0,-1.0546041692285457
2010-06-02,sz.399701,3692.2900,3742.3900,3663.3900,3742.3900,3701.2900,559536500,7013110000.0000,3,0.006570,1,1.110420,,,,,0,1.1104236631012343
2010-06-03,sz.399701,3762.7800,3790.6400,3721.7500,3721.7500,3742.3900,674761500,8629500000.0000,3,0.007923,1,-0.551516,,,,,0,-0.5515192163296656
2010-06-04,sz.399701,3709.1100,3734.8300,3688.3700,3729.4000,3721.7500,556400600,7013410000.0000,3,0.006531,1,0.205546,,,,,0,0.20554846510378866
2010-06-07,sz.399701,3655.9400,3672.9700,3616.0400,3637.4500,3729.4000,659952300,8578470000.0000,3,0.007746,1,-2.465543,,,,,0,-2.4655440553440267
2010-06-08,sz.399701,3630.9000,3671.9900,3618.7000,3649.4500,3637.4500,520346000,6845580000.0000,3,0.006108,1,0.329901,,,,,0,0.32990144194422477
2010-06-09,sz.399701,3665.6200,3756.6300,3641.4900,3752.3700,3649.4500,939603700,11708530000.0000,3,0.011029,1,2.820156,,,,,0,2.8201509816547787
2010-06-10,sz.399701,3728.0500,3754.6300,3713.0600,3721.8300,3752.3700,742323200,8855630000.0000,3,0.008668,1,-0.813887,,,,,0,-0.8138856242854486
2010-06-11,sz.399701,3740.6800,3761.0500,3727.1700,3739.0900,3721.8300,720515400,8849710000.0000,3,0.008414,1,0.463751,,,,,0,0.4637503593662329
2010-06-17,sz.399701,3760.3600,3771.0000,3721.5300,3722.2000,3739.0900,506801300,6084630000.0000,3,0.005918,1,-0.451718,,,,,0,-0.4517141871418051
2010-06-18,sz.399701,3725.4900,3748.4100,3649.1100,3660.3200,3722.2000,675803500,8298900000.0000,3,0.007892,1,-1.662455,,,,,0,-1.6624576863145335
2010-06-21,sz.399701,3656.3000,3779.1900,3635.0600,3776.0300,3660.3200,920605500,11060670000.0000,3,0.010673,1,3.161198,,,,,0,3.1611990208506358
2010-06-22,sz.399701,3765.6600,3808.6800,3756.3800,3786.7000,3776.0300,764105600,9796600000.0000,3,0.008858,1,0.282570,,,,,0,0.28257190753251393
2010-06-23,sz.399701,3761.2100,3781.3600,3710.5300,3744.3000,3786.7000,652484100,8224220000.0000,3,0.007564,1,-1.119706,,,,,0,-1.1197084532706514
2010-06-24,sz.399701,3738.3600,3774.9000,3715.9000,3748.7200,3744.3000,464118400,5868900000.0000,3,0.005334,1,0.118044,,,,,0,0.11804609673369271
2010-06-25,sz.399701,3727.7100,3731.8500,3676.2200,3699.2800,3748.7200,428932100,5424450000.0000,3,0.004929,1,-1.318849,,,,,0,-1.3188501675238329
2010-06-28,sz.399701,3696.4600,3712.9300,3660.3800,3674.3300,3699.2800,460669400,5571610000.0000,3,0.005283,1,-0.674454,,,,,0,-0.6744555697324905
2010-06-29,sz.399701,3678.0500,3687.7400,3498.9700,3498.9700,3674.3300,794687500,8929920000.0000,3,0.009114,1,-4.772573,,,,,0,-4.7725707816118845
2010-06-30,sz.399701,3474.9700,3480.6800,3434.3100,3453.6900,3498.9700,555081800,6307610000.0000,3,0.006365,1,-1.294096,,,,,0,-1.294095119420846
2010-07-01,sz.399701,3448.3000,3472.3900,3403.0400,3403.0400,3453.6900,597697100,5820550000.0000,3,0.006706,1,-1.466545,,,,,0,-1.46654737396813
2010-07-02,sz.399701,3399.2900,3433.9400,3322.9600,3422.6600,3403.0400,716981500,7346820000.0000,3,0.008033,1,0.576540,,,,,0,0.5765433259673713
2010-07-05,sz.399701,3387.9700,3431.1000,3337.8000,3407.8600,3422.6600,582706700,5942050000.0000,3,0.006506,1,-0.432407,,,,,0,-0.43241221739815927
2010-07-06,sz.399701,3394.0400,3484.5100,3388.9400,3472.3000,3407.8600,702135300,7218040000.0000,3,0.007791,1,1.890921,,,,,0,1.8909227491739733
2010-07-07,sz.399701,3478.9000,3507.0600,3461.4800,3507.0600,3472.3000,754208300,8659020000.0000,3,0.008369,1,1.001066,,,,,0,1.0010655761310883
2010-07-08,sz.399701,3522.3400,3537.2100,3486.1200,3499.7200,3507.0600,669603900,8025240000.0000,3,0.007430,1,-0.209295,,,,,0,-0.2092921136222392
2010-07-09,sz.399701,3504.2300,3657.5900,3474.9700,3637.2300,3499.7200,1189805200,13707430000.0000,3,0.013203,1,3.929172,,,,,0,3.929171476575277
2010-07-12,sz.399701,3638.2200,3705.9500,3623.7400,3692.7300,3637.2300,1217281200,13683400000.0000,3,0.013508,1,1.525886,,,,,0,1.5258864575514952
2010-07-13,sz.399701,3652.2100,3652.2100,3600.3100,3619.9900,3692.7300,831477100,9348020000.0000,3,0.009133,1,-1.969816,,,,,0,-1.9698163689194748
2010-07-14,sz.399701,3627.9700,3687.7400,3618.6900,3639.0900,3619.9900,860975400,10350380000.0000,3,0.009457,1,0.527628,,,,,0,0.5276257669220241
2010-07-15,sz.399701,3634.3100,3689.8500,3601.0400,3604.0300,3639.0900,853249800,9383990000.0000,3,0.009372,1,-0.963429,,,,,0,-0.9634276701043332
2010-07-16,sz.399701,3586.0900,3657.7200,3562.0100,3642.3200,3604.0300,703098000,8238940000.0000,3,0.007722,1,1.062423,,,,,0,1.0624217889418253
2010-07-19,sz.399701,3607.7700,3767.2100,3598.0900,3747.3500,3642.3200,1154892200,14598710000.0000,3,0.012491,1,2.883602,,,,,0,2.8836016604801173
2010-07-20,sz.399701,3746.4300,3842.6500,3746.4300,3827.7500,3747.3500,1419120600,17419360000.0000,3,0.015348,1,2.145514,,,,,0,2.1455161647564225
