date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2012-09-05,sz.399802,2819.9900,2819.9900,2819.9900,2819.9900,0.0000,958557849,8626580000.0000,3,0.007780,1,0.000000,,,,,0,
2012-09-06,sz.399802,2852.6000,2852.6000,2852.6000,2852.6000,2819.9900,952088369,8467360000.0000,3,0.007727,1,1.156391,,,,,0,1.1563870793868114
2012-09-07,sz.399802,2957.0100,2957.0100,2957.0100,2957.0100,2852.6000,2190651137,19467250000.0000,3,0.017780,1,3.660167,,,,,0,3.6601696697749597
2012-09-10,sz.399802,2983.3200,2983.3200,2983.3200,2983.3200,2957.0100,1862510237,16951460000.0000,3,0.014998,1,0.889752,,,,,0,0.8897501192082435
2012-09-11,sz.399802,2969.2900,2969.2900,2969.2900,2969.2900,2983.3200,1385744769,12692170000.0000,3,0.011159,1,-0.470282,,,,,0,-0.47028143142540113
2012-09-12,sz.399802,2989.2000,2989.2000,2989.2000,2989.2000,2969.2900,1448920594,13436420000.0000,3,0.011668,1,0.670528,,,,,0,0.6705306655799825
2012-09-13,sz.399802,2946.3300,2946.3300,2946.3300,2946.3300,2989.2000,1371278730,13373630000.0000,3,0.011042,1,-1.434159,,,,,0,-1.4341629867523076
2012-09-14,sz.399802,2953.4500,2953.4500,2953.4500,2953.4500,2946.3300,1419057764,13735790000.0000,3,0.011427,1,0.241652,,,,,0,0.24165656935917212
2012-09-17,sz.399802,2868.2600,2868.2600,2868.2600,2868.2600,2953.4500,1184413341,11384190000.0000,3,0.009538,1,-2.884421,,,,,0,-2.8844233015625664
2012-09-18,sz.399802,2859.7200,2859.7200,2859.7200,2859.7200,2868.2600,863281607,8714210000.0000,3,0.006952,1,-0.297743,,,,,0,-0.2977414878707063
2012-09-19,sz.399802,2885.3900,2885.3900,2885.3900,2885.3900,2859.7200,817398023,8368000000.0000,3,0.006582,1,0.897637,,,,,0,0.8976403284237655
2012-09-20,sz.399802,2803.6500,2803.6500,2803.6500,2803.6500,2885.3900,1143379313,10789970000.0000,3,0.009192,1,-2.832892,,,,,0,-2.832892607238524
2012-09-21,sz.399802,2786.2500,2786.2500,2786.2500,2786.2500,2803.6500,1009277102,10015230000.0000,3,0.008112,1,-0.620616,,,,,0,-0.6206195495158107
2012-09-24,sz.399802,2808.9700,2808.9700,2808.9700,2808.9700,2786.2500,876396063,8535350000.0000,3,0.007044,1,0.815432,,,,,0,0.8154329295648299
2012-09-25,sz.399802,2791.1600,2791.1600,2791.1600,2791.1600,2808.9700,865832228,8397560000.0000,3,0.006959,1,-0.634042,,,,,0,-0.6340402353887664
2012-09-26,sz.399802,2723.6400,2723.6400,2723.6400,2723.6400,2791.1600,935324824,8362260000.0000,3,0.007518,1,-2.419067,,,,,0,-2.4190659080812305
2012-09-27,sz.399802,2783.6900,2783.6900,2783.6900,2783.6900,2723.6400,1191737552,10985640000.0000,3,0.009561,1,2.204772,,,,,0,2.204770087089347
2012-09-28,sz.399802,2835.7000,2835.7000,2835.7000,2835.7000,2783.6900,1172146371,11802940000.0000,3,0.009404,1,1.868384,,,,,0,1.868383332914214
2012-11-02,sz.399802,2876.4600,2876.4600,2876.4600,2876.4600,2835.7000,1302301168,10284020000.0000,3,0.010337,1,1.437388,,,,,0,1.4373875938921588
2012-11-05,sz.399802,2860.6700,2860.6700,2860.6700,2860.6700,2876.4600,1180806124,9721480000.0000,3,0.009373,1,-0.548940,,,,,0,-0.5489386259499462
2012-11-06,sz.399802,2842.9600,2842.9600,2842.9600,2842.9600,2860.6700,1224336772,10018110000.0000,3,0.009718,1,-0.619084,,,,,0,-0.6190857386556337
2012-11-07,sz.399802,2838.4300,2838.4300,2838.4300,2838.4300,2842.9600,1011829953,9132580000.0000,3,0.008030,1,-0.159342,,,,,0,-0.15934096856797808
2012-11-08,sz.399802,2763.7600,2763.7600,2763.7600,2763.7600,2838.4300,1100478436,9217190000.0000,3,0.008734,1,-2.630677,,,,,0,-2.6306796362777884
2012-11-09,sz.399802,2751.6100,2751.6100,2751.6100,2751.6100,2763.7600,796612196,6771690000.0000,3,0.006318,1,-0.439615,,,,,0,-0.4396184907517364
2012-11-12,sz.399802,2767.4600,2767.4600,2767.4600,2767.4600,2751.6100,758513667,6698800000.0000,3,0.006010,1,0.576021,,,,,0,0.5760263990899794
2012-11-13,sz.399802,2709.6500,2709.6500,2709.6500,2709.6500,2767.4600,885529414,7408490000.0000,3,0.007016,1,-2.088921,,,,,0,-2.0889190810345903
2012-11-14,sz.399802,2714.8600,2714.8600,2714.8600,2714.8600,2709.6500,799927061,6686860000.0000,3,0.006324,1,0.192283,,,,,0,0.19227575517133388
2012-11-15,sz.399802,2666.2100,2666.2100,2666.2100,2666.2100,2714.8600,781006616,6525330000.0000,3,0.006174,1,-1.791995,,,,,0,-1.7919892738483822
2012-11-16,sz.399802,2649.6200,2649.6200,2649.6200,2649.6200,2666.2100,713906478,6104030000.0000,3,0.005644,1,-0.622226,,,,,0,-0.6222315571541626
2012-11-19,sz.399802,2657.3900,2657.3900,2657.3900,2657.3900,2649.6200,625596791,5186140000.0000,3,0.004927,1,0.293241,,,,,0,0.29324959805556716
2012-11-20,sz.399802,2646.2900,2646.2900,2646.2900,2646.2900,2657.3900,608265961,4966880000.0000,3,0.004791,1,-0.417698,,,,,0,-0.4177030846055696
2012-11-21,sz.399802,2670.8700,2670.8700,2670.8700,2670.8700,2646.2900,752823752,5902040000.0000,3,0.005929,1,0.928851,,,,,0,0.9288475563902665
2012-11-22,sz.399802,2639.0100,2639.0100,2639.0100,2639.0100,2670.8700,671989228,5224040000.0000,3,0.005292,1,-1.192874,,,,,0,-1.1928697390737764
2012-11-23,sz.399802,2646.0400,2646.0400,2646.0400,2646.0400,2639.0100,665253250,5212650000.0000,3,0.005239,1,0.266389,,,,,0,0.2663877742032028
2012-11-26,sz.399802,2609.3200,2609.3200,2609.3200,2609.3200,2646.0400,584027089,4844780000.0000,3,0.004599,1,-1.387733,,,,,0,-1.3877341234448393
2012-11-27,sz.399802,2515.4500,2515.4500,2515.4500,2515.4500,2609.3200,902236844,6662460000.0000,3,0.007045,1,-3.597493,,,,,0,-3.597489000965781
