date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-01-21,sz.399990,1747.6040,1800.9630,1744.6190,1798.4460,0.0000,1014812329,9115936430.0000,3,0.014530,1,0.000000,,,,,,
2015-01-22,sz.399990,1798.0230,1838.0010,1789.2670,1820.5760,1798.4460,1003521049,8967816143.0000,3,0.014368,1,1.230507,,,,,,1.2305067819662119
2015-01-23,sz.399990,1827.0000,1832.6530,1801.7980,1810.9740,1820.5760,784715465,6976405274.0000,3,0.011235,1,-0.527398,,,,,,-0.5274154992705671
2015-01-26,sz.399990,1803.2400,1835.1190,1795.7770,1835.1190,1810.9740,715679973,6202493592.0000,3,0.010247,1,1.333268,,,,,,1.333260444379647
2015-01-27,sz.399990,1835.2760,1843.2320,1796.6660,1822.4570,1835.1190,765212974,6785173732.0000,3,0.010956,1,-0.690028,,,,,,-0.6899825024970996
2015-01-28,sz.399990,1815.7320,1815.7320,1795.1670,1798.4800,1822.4570,736847707,5849749131.0000,3,0.010226,1,-1.315611,,,,,,-1.3156414664379001
2015-01-29,sz.399990,1782.0050,1812.8250,1775.0090,1797.7940,1798.4800,649851956,5476702878.0000,3,0.009019,1,-0.038152,,,,,,-0.0381433210266402
2015-01-30,sz.399990,1797.6630,1806.5500,1768.8220,1768.8220,1797.7940,518700461,4416493936.0000,3,0.007199,1,-1.611526,,,,,,-1.6115305758056975
2015-02-02,sz.399990,1754.5610,1758.3980,1737.9690,1741.3840,1768.8220,452965824,3828013403.0000,3,0.006287,1,-1.551229,,,,,,-1.5512018733371602
2015-02-03,sz.399990,1750.7990,1774.1320,1750.7990,1774.1320,1741.3840,488661130,4201924892.0000,3,0.006782,1,1.880625,,,,,,1.8805731533079406
2015-02-04,sz.399990,1784.7960,1797.0860,1777.3460,1777.6460,1774.1320,622807412,5235273658.0000,3,0.008603,1,0.198023,,,,,,0.19806868936471655
2015-02-05,sz.399990,1799.2560,1800.8230,1753.2510,1753.2510,1777.6460,720196482,5992549286.0000,3,0.009948,1,-1.372315,,,,,,-1.3723204732550842
2015-02-06,sz.399990,1745.8270,1752.1260,1702.8320,1711.8660,1753.2510,704433635,5870019820.0000,3,0.009730,1,-2.360438,,,,,,-2.3604720601899
2015-02-09,sz.399990,1707.8890,1721.8650,1696.9620,1711.5550,1711.8660,424140642,3605020971.0000,3,0.005858,1,-0.018212,,,,,,-0.01816730982447945
2015-02-10,sz.399990,1709.8180,1726.8730,1708.9080,1726.7230,1711.5550,434243754,3609021663.0000,3,0.005987,1,0.886260,,,,,,0.88621166132552
2015-02-11,sz.399990,1729.0580,1745.8470,1728.1370,1735.6980,1726.7230,444797931,3636167516.0000,3,0.006133,1,0.519720,,,,,,0.5197706870181396
2015-02-12,sz.399990,1734.5530,1737.1680,1722.2270,1733.8460,1735.6980,421014223,3439179530.0000,3,0.005805,1,-0.106675,,,,,,-0.10670058961870232
